U.S. HOUSE OF REPRESENTATIVES National Summary 2014
,
Office,RaceDate,CensusPop,Area,RepWinner,DemWinner,OtherWinner,RepVotes,DemVotes,OtherVotes,PluralityVotes,PluralityParty,RepVotesMajorPercent,DemVotesMajorPercent
House,20141104,N/A,Mississippi,3,1,0,"329,169","230,014","67,096","99,155",R,58.87,41.13
House,20141104,N/A,Missouri,6,2,0,"838,283","513,600","74,420","324,683",R,62.01,37.99
House,20141104,N/A,Montana,1,0,0,"203,871","148,690","15,402","55,181",R,57.83,42.17
House,20141104,N/A,Nebraska,2,1,0,"340,816","185,234","9,480","155,582",R,64.79,35.21
House,20141104,N/A,Nevada,3,1,0,"304,809","210,147","28,053","94,662",R,59.19,40.81
House,20141104,N/A,New Hampshire,1,1,0,"232,379","247,469","1,072","15,090",D,48.43,51.57
House,20141104,N/A,New Jersey,6,6,0,"877,265","914,172","29,928","36,907",D,48.97,51.03
House,20141104,N/A,New Mexico,1,2,0,"240,542","271,222",121,"30,680",D,47.00,53.00
House,20141104,N/A,New York,9,18,0,"1,554,274","2,009,444","87,989","455,170",D,43.61,56.39
House,20141104,N/A,North Carolina,10,3,0,"1,555,364","1,234,027","18,607","321,337",R,55.76,44.24
House,20141104,N/A,North Dakota,1,0,0,"138,100","95,678","14,892","42,422",R,59.07,40.93
House,20141104,N/A,Ohio,12,4,0,"1,770,923","1,179,587","49,651","591,336",R,60.02,39.98
House,20141104,N/A,Oklahoma,5,0,0,"457,613","174,022","21,778","283,591",R,72.45,27.55
House,20141104,N/A,Oregon,1,4,0,"582,909","778,139","89,654","195,230",D,42.83,57.17
House,20141104,N/A,Pennsylvania,13,5,0,"1,833,205","1,467,594","22,734","365,611",R,55.54,44.46
House,20141104,N/A,Rhode Island,0,2,0,"122,721","192,776",760,"70,055",D,38.90,61.10
House,20141104,N/A,South Carolina,6,1,0,"734,456","382,208","39,118","352,248",R,65.77,34.23
House,20141104,N/A,South Dakota,1,0,0,"183,834","92,485",0,"91,349",R,66.53,33.47
House,20141104,N/A,Tennessee,7,2,0,"848,846","448,421","73,894","400,425",R,65.43,34.57
House,20141104,N/A,Texas,25,11,0,"2,684,592","1,476,476","292,431","1,208,116",R,64.52,35.48
House,20141104,N/A,Utah,4,0,0,"351,034","183,491","31,445","167,543",R,65.67,34.33
House,20141104,N/A,Vermont,0,1,0,"59,432","123,349","8,723","63,917",D,32.52,67.48
House,20141104,N/A,Virginia,8,3,0,"1,143,747","845,939","145,627","297,808",R,57.48,42.52
House,20141104,N/A,Washington,4,6,0,"981,853","1,047,747",0,"65,894",D,48.38,51.62
House,20141104,N/A,West Virginia,3,0,0,"242,823","182,484","13,932","60,339",R,57.09,42.91
House,20141104,N/A,Wisconsin,5,3,0,"1,233,336","1,102,581","19,663","130,755",R,52.80,47.20
House,20141104,N/A,Wyoming,1,0,0,"113,038","37,803","14,259","75,235",R,74.94,25.06
,
CensusPopAll,AreaAll,RepWinnerAll,DemWinnerAll,OtherWinnerAll,TotalVotesAll,RepVotesAll,DemVotesAll,OtherVotesAll,PluralityVotesAll,PluralityPartyAll,RepVotesTotalPercentAll,DemVotesTotalPercentAll,OtherVotesTotalPercentAll,RepVotesMajorPercentAll,DemVotesMajorPercentAll
N/A,United State,247,188,0,"77,889,271","40,029,863","35,628,989","2,230,419","4,400,874",R,51.39,45.74,2.86,52.91,47.09
,
,
,
