Count,FIPS Code,State and area,Year,Month,Population,LaborForce,LaborForce_prct,Employed,Employed_prct,Unemployed,Unemployed_prct
83,32,Nevada,1976,2,454000,322146,71,293280,64.6,28866,9
84,33,New Hampshire,1976,2,595000,391323,65.8,364669,61.3,26654,6.8
85,34,New Jersey,1976,2,5363000,3280097,61.2,2944167,54.9,335930,10.2
86,35,New Mexico,1976,2,795000,474831,59.7,432640,54.4,42191,8.9
87,36,New York,1976,2,13202000,7684752,58.2,6895390,52.2,789362,10.3
88,51000,New York city,1976,2,5692000,3113272,54.7,2768463,48.6,344809,11.1
89,37,North Carolina,1976,2,3905000,2595355,66.5,2427272,62.2,168083,6.5
90,38,North Dakota,1976,2,443000,275468,62.2,266304,60.1,9164,3.3
91,39,Ohio,1976,2,7706000,4756607,61.7,4371539,56.7,385068,8.1
92,40,Oklahoma,1976,2,2003000,1180479,58.9,1110306,55.4,70173,5.9
93,41,Oregon,1976,2,1720000,1073446,62.4,969351,56.4,104095,9.7
94,42,Pennsylvania,1976,2,8780000,5104850,58.1,4691940,53.4,412910,8.1
95,44,Rhode Island,1976,2,692000,434907,62.8,399553,57.7,35354,8.1
96,45,South Carolina,1976,2,1988000,1292440,65,1194788,60.1,97652,7.6
97,46,South Dakota,1976,2,478000,308727,64.6,298906,62.5,9821,3.2
98,47,Tennessee,1976,2,3084000,1818088,59,1708651,55.4,109437,6
99,48,Texas,1976,2,8844000,5624823,63.6,5295497,59.9,329326,5.9
100,49,Utah,1976,2,826000,519124,62.8,488892,59.2,30232,5.8
101,50,Vermont,1976,2,340000,213554,62.8,194960,57.3,18594,8.7
102,51,Virginia,1976,2,3543000,2327900,65.7,2190461,61.8,137439,5.9
103,53,Washington,1976,2,2604000,1583350,60.8,1445338,55.5,138012,8.7
104,54,West Virginia,1976,2,1355000,702802,51.9,647556,47.8,55246,7.9
105,55,Wisconsin,1976,2,3248000,2124456,65.4,2002200,61.6,122256,5.8
106,56,Wyoming,1976,2,271000,175705,64.8,168416,62.1,7289,4.1
107,1,Alabama,1976,3,2615000,1490600,57,1392137,53.2,98463,6.6
108,2,Alaska,1976,3,236000,159067,67.4,147858,62.7,11209,7
109,4,Arizona,1976,3,1631000,971967,59.6,872637,53.5,99330,10.2
110,5,Arkansas,1976,3,1539000,881865,57.3,816687,53.1,65178,7.4
111,6,California,1976,3,15694000,9775283,62.3,8892402,56.7,882881,9
112,37,Los Angeles County,1976,3,5292000,3374522,63.8,3079158,58.2,295364,8.8
113,8,Colorado,1976,3,1841000,1231539,66.9,1164628,63.3,66911,5.4
114,9,Connecticut,1976,3,2253000,1442821,64,1301890,57.8,140931,9.8
115,10,Delaware,1976,3,418000,262596,62.8,242340,58,20256,7.7
116,11,District of Columbia,1976,3,519000,339517,65.4,309128,59.6,30389,9
117,12,Florida,1976,3,6452000,3591633,55.7,3249159,50.4,342474,9.5
118,13,Georgia,1976,3,3534000,2249490,63.7,2061445,58.3,188045,8.4
119,15,Hawaii,1976,3,586000,409265,69.8,367467,62.7,41798,10.2
120,16,Idaho,1976,3,583000,366000,62.8,346021,59.4,19979,5.5
121,17,Illinois,1976,3,8146000,5131818,63,4789790,58.8,342028,6.7
122,18,Indiana,1976,3,3797000,2418009,63.7,2260937,59.5,157072,6.5
123,19,Iowa,1976,3,2072000,1324428,63.9,1268901,61.2,55527,4.2
124,20,Kansas,1976,3,1640000,1060837,64.7,1015396,61.9,45441,4.3
125,21,Kentucky,1976,3,2470000,1488878,60.3,1406193,56.9,82685,5.6
126,22,Louisiana,1976,3,2685000,1513093,56.4,1417499,52.8,95594,6.3
127,23,Maine,1976,3,767000,475697,62,434134,56.6,41563,8.7
128,24,Maryland,1976,3,2962000,1904177,64.3,1781135,60.1,123042,6.5
129,25,Massachusetts,1976,3,4201000,2715650,64.6,2435324,58,280326,10.3
130,26,Michigan,1976,3,6430000,3959594,61.6,3567979,55.5,391615,9.9
131,27,Minnesota,1976,3,2797000,1831869,65.5,1722985,61.6,108884,5.9
132,28,Mississippi,1976,3,1647000,960931,58.3,897614,54.5,63317,6.6
133,29,Missouri,1976,3,3473000,2087996,60.1,1963435,56.5,124561,6
134,30,Montana,1976,3,533000,327131,61.4,308017,57.8,19114,5.8
135,31,Nebraska,1976,3,1097000,715419,65.2,692073,63.1,23346,3.3
136,32,Nevada,1976,3,456000,322327,70.7,293456,64.4,28871,9
137,33,New Hampshire,1976,3,596000,391413,65.7,364765,61.2,26648,6.8
138,34,New Jersey,1976,3,5367000,3282199,61.2,2945972,54.9,336227,10.2
139,35,New Mexico,1976,3,798000,475109,59.5,432733,54.2,42376,8.9
140,36,New York,1976,3,13207000,7684481,58.2,6897998,52.2,786483,10.2
141,51000,New York city,1976,3,5690000,3112681,54.7,2768557,48.7,344124,11.1
142,37,North Carolina,1976,3,3912000,2595712,66.4,2428876,62.1,166836,6.4
143,38,North Dakota,1976,3,444000,275531,62.1,266363,60,9168,3.3
144,39,Ohio,1976,3,7711000,4757822,61.7,4372663,56.7,385159,8.1
145,40,Oklahoma,1976,3,2007000,1180456,58.8,1110496,55.3,69960,5.9
146,41,Oregon,1976,3,1724000,1072689,62.2,969546,56.2,103143,9.6
147,42,Pennsylvania,1976,3,8786000,5106719,58.1,4691831,53.4,414888,8.1
148,44,Rhode Island,1976,3,693000,435032,62.8,399726,57.7,35306,8.1
149,45,South Carolina,1976,3,1992000,1291686,64.8,1195034,60,96652,7.5
150,46,South Dakota,1976,3,478000,308704,64.6,299010,62.6,9694,3.1
151,47,Tennessee,1976,3,3091000,1818191,58.8,1709613,55.3,108578,6
152,48,Texas,1976,3,8870000,5629458,63.5,5299209,59.7,330249,5.9
153,49,Utah,1976,3,828000,519114,62.7,489008,59.1,30106,5.8
154,50,Vermont,1976,3,341000,213610,62.6,194978,57.2,18632,8.7
155,51,Virginia,1976,3,3551000,2328207,65.6,2191511,61.7,136696,5.9
156,53,Washington,1976,3,2611000,1582676,60.6,1445169,55.3,137507,8.7
157,54,West Virginia,1976,3,1358000,702963,51.8,647481,47.7,55482,7.9
158,55,Wisconsin,1976,3,3252000,2124610,65.3,2002973,61.6,121637,5.7
159,56,Wyoming,1976,3,272000,175782,64.6,168487,61.9,7295,4.2
160,1,Alabama,1976,4,2620000,1489947,56.9,1393177,53.2,96770,6.5
161,2,Alaska,1976,4,237000,160192,67.6,148970,62.9,11222,7
162,4,Arizona,1976,4,1636000,974938,59.6,877217,53.6,97721,10
163,5,Arkansas,1976,4,1541000,882692,57.3,818130,53.1,64562,7.3
164,6,California,1976,4,15731000,9795836,62.3,8918330,56.7,877506,9
165,37,Los Angeles County,1976,4,5302000,3378725,63.7,3085543,58.2,293182,8.7
166,8,Colorado,1976,4,1846000,1231011,66.7,1164119,63.1,66892,5.4
167,9,Connecticut,1976,4,2255000,1446187,64.1,1306078,57.9,140109,9.7
168,10,Delaware,1976,4,419000,262989,62.8,241923,57.7,21066,8
169,11,District of Columbia,1976,4,518000,338609,65.4,308673,59.6,29936,8.8
170,12,Florida,1976,4,6468000,3594014,55.6,3258015,50.4,335999,9.3
171,13,Georgia,1976,4,3540000,2253611,63.7,2067967,58.4,185644,8.2
172,15,Hawaii,1976,4,588000,409939,69.7,368550,62.7,41389,10.1
173,16,Idaho,1976,4,585000,367439,62.8,347164,59.3,20275,5.5
174,17,Illinois,1976,4,8155000,5135150,63,4796640,58.8,338510,6.6
175,18,Indiana,1976,4,3801000,2421035,63.7,2269249,59.7,151786,6.3
176,19,Iowa,1976,4,2075000,1327210,64,1272547,61.3,54663,4.1
177,20,Kansas,1976,4,1642000,1063168,64.7,1017765,62,45403,4.3
178,21,Kentucky,1976,4,2475000,1489497,60.2,1407354,56.9,82143,5.5
179,22,Louisiana,1976,4,2692000,1516323,56.3,1418904,52.7,97419,6.4
180,23,Maine,1976,4,769000,476036,61.9,434823,56.5,41213,8.7
181,24,Maryland,1976,4,2966000,1905507,64.2,1781610,60.1,123897,6.5
182,25,Massachusetts,1976,4,4204000,2717527,64.6,2441683,58.1,275844,10.2
183,26,Michigan,1976,4,6436000,3969449,61.7,3580904,55.6,388545,9.8
184,27,Minnesota,1976,4,2802000,1834864,65.5,1728543,61.7,106321,5.8
185,28,Mississippi,1976,4,1650000,963165,58.4,901513,54.6,61652,6.4
186,29,Missouri,1976,4,3477000,2095946,60.3,1970155,56.7,125791,6
187,30,Montana,1976,4,534000,327166,61.3,308014,57.7,19152,5.9
188,31,Nebraska,1976,4,1098000,715705,65.2,692831,63.1,22874,3.2
189,32,Nevada,1976,4,458000,323929,70.7,295160,64.4,28769,8.9
190,33,New Hampshire,1976,4,598000,392657,65.7,366173,61.2,26484,6.7
191,34,New Jersey,1976,4,5372000,3290889,61.3,2952460,55,338429,10.3
192,35,New Mexico,1976,4,801000,476571,59.5,433984,54.2,42587,8.9
193,36,New York,1976,4,13213000,7689935,58.2,6906874,52.3,783061,10.2
194,51000,New York city,1976,4,5689000,3112243,54.7,2768172,48.7,344071,11.1
195,37,North Carolina,1976,4,3919000,2599283,66.3,2436634,62.2,162649,6.3
196,38,North Dakota,1976,4,444000,276266,62.2,266864,60.1,9402,3.4
197,39,Ohio,1976,4,7716000,4757433,61.7,4376405,56.7,381028,8
198,40,Oklahoma,1976,4,2011000,1181507,58.8,1112144,55.3,69363,5.9
199,41,Oregon,1976,4,1728000,1073735,62.1,972719,56.3,101016,9.4
200,42,Pennsylvania,1976,4,8792000,5112956,58.2,4696196,53.4,416760,8.2
201,44,Rhode Island,1976,4,693000,435469,62.8,400273,57.8,35196,8.1
202,45,South Carolina,1976,4,1996000,1291005,64.7,1196768,60,94237,7.3
203,46,South Dakota,1976,4,479000,308718,64.5,299231,62.5,9487,3.1
204,47,Tennessee,1976,4,3097000,1825620,58.9,1718077,55.5,107543,5.9
205,48,Texas,1976,4,8896000,5653373,63.5,5321425,59.8,331948,5.9
206,49,Utah,1976,4,830000,520609,62.7,490860,59.1,29749,5.7
207,50,Vermont,1976,4,341000,214211,62.8,195593,57.4,18618,8.7
208,51,Virginia,1976,4,3559000,2330919,65.5,2195231,61.7,135688,5.8
209,53,Washington,1976,4,2617000,1586708,60.6,1448989,55.4,137719,8.7
210,54,West Virginia,1976,4,1360000,702202,51.6,646833,47.6,55369,7.9
211,55,Wisconsin,1976,4,3256000,2128063,65.4,2008413,61.7,119650,5.6
212,56,Wyoming,1976,4,273000,176667,64.7,169387,62,7280,4.1
213,1,Alabama,1976,5,2626000,1490609,56.8,1394591,53.1,96018,6.4
214,2,Alaska,1976,5,239000,161814,67.7,150449,62.9,11365,7
215,4,Arizona,1976,5,1642000,979281,59.6,883408,53.8,95873,9.8
216,5,Arkansas,1976,5,1542000,884656,57.4,821026,53.2,63630,7.2
217,6,California,1976,5,15768000,9828900,62.3,8953226,56.8,875674,8.9
218,37,Los Angeles County,1976,5,5311000,3385461,63.7,3093326,58.2,292135,8.6
219,8,Colorado,1976,5,1850000,1231050,66.5,1163412,62.9,67638,5.5
220,9,Connecticut,1976,5,2257000,1451468,64.3,1312227,58.1,139241,9.6
221,10,Delaware,1976,5,420000,263585,62.8,241399,57.5,22186,8.4
222,11,District of Columbia,1976,5,518000,337253,65.1,307776,59.4,29477,8.7
223,12,Florida,1976,5,6483000,3597871,55.5,3269479,50.4,328392,9.1
224,13,Georgia,1976,5,3547000,2259949,63.7,2077016,58.6,182933,8.1
225,15,Hawaii,1976,5,590000,410495,69.6,369908,62.7,40587,9.9
226,16,Idaho,1976,5,587000,369500,62.9,348876,59.4,20624,5.6
227,17,Illinois,1976,5,8164000,5141327,63,4804591,58.9,336736,6.5
228,18,Indiana,1976,5,3806000,2426290,63.7,2280665,59.9,145625,6
229,19,Iowa,1976,5,2078000,1331126,64.1,1277629,61.5,53497,4
230,20,Kansas,1976,5,1644000,1066459,64.9,1021136,62.1,45323,4.2
231,21,Kentucky,1976,5,2480000,1490936,60.1,1409389,56.8,81547,5.5
232,22,Louisiana,1976,5,2699000,1521492,56.4,1421200,52.7,100292,6.6
233,23,Maine,1976,5,771000,476408,61.8,435607,56.5,40801,8.6
234,24,Maryland,1976,5,2971000,1908475,64.2,1783003,60,125472,6.6
235,25,Massachusetts,1976,5,4207000,2719627,64.6,2450016,58.2,269611,9.9
236,26,Michigan,1976,5,6442000,3982406,61.8,3599367,55.9,383039,9.6
237,27,Minnesota,1976,5,2806000,1839691,65.6,1735701,61.9,103990,5.7
238,28,Mississippi,1976,5,1653000,966295,58.5,905971,54.8,60324,6.2
239,29,Missouri,1976,5,3481000,2107426,60.5,1979762,56.9,127664,6.1
240,30,Montana,1976,5,535000,327296,61.2,308035,57.6,19261,5.9
241,31,Nebraska,1976,5,1100000,716356,65.1,693887,63.1,22469,3.1
242,32,Nevada,1976,5,460000,326152,70.9,297525,64.7,28627,8.8
243,33,New Hampshire,1976,5,599000,394491,65.9,368258,61.5,26233,6.6
244,34,New Jersey,1976,5,5376000,3301261,61.4,2960089,55.1,341172,10.3
245,35,New Mexico,1976,5,804000,478400,59.5,435737,54.2,42663,8.9
246,36,New York,1976,5,13219000,7699911,58.2,6917563,52.3,782348,10.2
247,51000,New York city,1976,5,5687000,3112773,54.7,2767660,48.7,345113,11.1
248,37,North Carolina,1976,5,3926000,2604867,66.3,2446767,62.3,158100,6.1
249,38,North Dakota,1976,5,445000,277312,62.3,267566,60.1,9746,3.5
250,39,Ohio,1976,5,7721000,4755323,61.6,4380800,56.7,374523,7.9
251,40,Oklahoma,1976,5,2015000,1183247,58.7,1114483,55.3,68764,5.8
252,41,Oregon,1976,5,1732000,1076382,62.1,977331,56.4,99051,9.2
253,42,Pennsylvania,1976,5,8798000,5120204,58.2,4703981,53.5,416223,8.1
254,44,Rhode Island,1976,5,694000,435966,62.8,400890,57.8,35076,8
255,45,South Carolina,1976,5,2001000,1291116,64.5,1199126,59.9,91990,7.1
256,46,South Dakota,1976,5,480000,308764,64.3,299427,62.4,9337,3
257,47,Tennessee,1976,5,3103000,1837093,59.2,1729974,55.8,107119,5.8
258,48,Texas,1976,5,8922000,5684052,63.7,5350734,60,333318,5.9
259,49,Utah,1976,5,833000,522952,62.8,493574,59.3,29378,5.6
260,50,Vermont,1976,5,342000,215053,62.9,196524,57.5,18529,8.6
261,51,Virginia,1976,5,3567000,2334945,65.5,2199661,61.7,135284,5.8
262,53,Washington,1976,5,2623000,1593891,60.8,1455187,55.5,138704,8.7
263,54,West Virginia,1976,5,1363000,700747,51.4,646032,47.4,54715,7.8
264,55,Wisconsin,1976,5,3260000,2133418,65.4,2015918,61.8,117500,5.5
265,56,Wyoming,1976,5,274000,177909,64.9,170664,62.3,7245,4.1
266,1,Alabama,1976,6,2631000,1493270,56.8,1396510,53.1,96760,6.5
267,2,Alaska,1976,6,240000,163686,68.2,152003,63.3,11683,7.1
268,4,Arizona,1976,6,1647000,984254,59.8,890022,54,94232,9.6
269,5,Arkansas,1976,6,1544000,887726,57.5,825275,53.5,62451,7
270,6,California,1976,6,15804000,9870502,62.5,8990510,56.9,879992,8.9
271,37,Los Angeles County,1976,6,5321000,3393630,63.8,3100486,58.3,293144,8.6
272,8,Colorado,1976,6,1855000,1232568,66.4,1163342,62.7,69226,5.6
273,9,Connecticut,1976,6,2259000,1457458,64.5,1319292,58.4,138166,9.5
274,10,Delaware,1976,6,420000,264322,62.9,240938,57.4,23384,8.8
275,11,District of Columbia,1976,6,517000,335657,64.9,306449,59.3,29208,8.7
276,12,Florida,1976,6,6499000,3602438,55.4,3280804,50.5,321634,8.9
277,13,Georgia,1976,6,3553000,2267990,63.8,2087124,58.7,180866,8
278,15,Hawaii,1976,6,591000,410779,69.5,371272,62.8,39507,9.6
279,16,Idaho,1976,6,588000,371921,63.3,350995,59.7,20926,5.6
280,17,Illinois,1976,6,8174000,5148731,63,4811721,58.9,337010,6.5
281,18,Indiana,1976,6,3810000,2433743,63.9,2292942,60.2,140801,5.8
282,19,Iowa,1976,6,2081000,1335660,64.2,1283290,61.7,52370,3.9
283,20,Kansas,1976,6,1647000,1070168,65,1025075,62.2,45093,4.2
284,21,Kentucky,1976,6,2485000,1492875,60.1,1411989,56.8,80886,5.4
285,22,Louisiana,1976,6,2705000,1527804,56.5,1424206,52.7,103598,6.8
286,23,Maine,1976,6,772000,476771,61.8,436293,56.5,40478,8.5
287,24,Maryland,1976,6,2975000,1912938,64.3,1785651,60,127287,6.7
288,25,Massachusetts,1976,6,4210000,2721925,64.7,2459155,58.4,262770,9.7
289,26,Michigan,1976,6,6448000,3996173,62,3620055,56.1,376118,9.4
290,27,Minnesota,1976,6,2811000,1846239,65.7,1743269,62,102970,5.6
291,28,Mississippi,1976,6,1656000,969806,58.6,909950,54.9,59856,6.2
292,29,Missouri,1976,6,3485000,2120593,60.8,1990642,57.1,129951,6.1
293,30,Montana,1976,6,536000,327764,61.2,308353,57.5,19411,5.9
294,31,Nebraska,1976,6,1101000,717505,65.2,695246,63.1,22259,3.1
295,32,Nevada,1976,6,462000,328597,71.1,300068,64.9,28529,8.7
296,33,New Hampshire,1976,6,601000,396701,66,370769,61.7,25932,6.5
297,34,New Jersey,1976,6,5381000,3311189,61.5,2967398,55.1,343791,10.4
298,35,New Mexico,1976,6,807000,480530,59.5,437826,54.3,42704,8.9
299,36,New York,1976,6,13224000,7710197,58.3,6926350,52.4,783847,10.2
300,51000,New York city,1976,6,5685000,3112378,54.7,2766261,48.7,346117,11.1
301,37,North Carolina,1976,6,3933000,2611298,66.4,2456438,62.5,154860,5.9
302,38,North Dakota,1976,6,446000,278512,62.4,268372,60.2,10140,3.6
303,39,Ohio,1976,6,7726000,4752606,61.5,4385437,56.8,367169,7.7
304,40,Oklahoma,1976,6,2019000,1185470,58.7,1117372,55.3,68098,5.7
305,41,Oregon,1976,6,1736000,1081143,62.3,983132,56.6,98011,9.1
306,42,Pennsylvania,1976,6,8804000,5126930,58.2,4714719,53.6,412211,8
307,44,Rhode Island,1976,6,695000,436521,62.8,401452,57.8,35069,8
308,45,South Carolina,1976,6,2005000,1292328,64.5,1201890,59.9,90438,7
309,46,South Dakota,1976,6,480000,308993,64.4,299623,62.4,9370,3
310,47,Tennessee,1976,6,3110000,1851184,59.5,1743304,56.1,107880,5.8
311,48,Texas,1976,6,8948000,5714998,63.9,5381718,60.1,333280,5.8
312,49,Utah,1976,6,835000,525864,63,496755,59.5,29109,5.5
313,50,Vermont,1976,6,342000,216002,63.2,197661,57.8,18341,8.5
314,51,Virginia,1976,6,3575000,2339651,65.4,2204049,61.7,135602,5.8
315,53,Washington,1976,6,2630000,1604708,61,1464167,55.7,140541,8.8
316,54,West Virginia,1976,6,1366000,698539,51.1,645282,47.2,53257,7.6
317,55,Wisconsin,1976,6,3263000,2140193,65.6,2024313,62,115880,5.4
318,56,Wyoming,1976,6,275000,179296,65.2,172109,62.6,7187,4
319,1,Alabama,1976,7,2636000,1497488,56.8,1398508,53.1,98980,6.6
320,2,Alaska,1976,7,242000,165354,68.3,153206,63.3,12148,7.3
321,4,Arizona,1976,7,1652000,988887,59.9,895746,54.2,93141,9.4
322,5,Arkansas,1976,7,1545000,891219,57.7,830028,53.7,61191,6.9
323,6,California,1976,7,15841000,9912233,62.6,9021152,56.9,891081,9
324,37,Los Angeles County,1976,7,5330000,3400753,63.8,3104324,58.2,296429,8.7
325,8,Colorado,1976,7,1859000,1235853,66.5,1164288,62.6,71565,5.8
326,9,Connecticut,1976,7,2261000,1462313,64.7,1325601,58.6,136712,9.3
327,10,Delaware,1976,7,421000,265027,63,240614,57.2,24413,9.2
328,11,District of Columbia,1976,7,517000,334066,64.6,304814,59,29252,8.8
329,12,Florida,1976,7,6514000,3605780,55.4,3288271,50.5,317509,8.8
330,13,Georgia,1976,7,3559000,2276334,64,2095905,58.9,180429,7.9
331,15,Hawaii,1976,7,593000,410576,69.2,372349,62.8,38227,9.3
332,16,Idaho,1976,7,590000,374265,63.4,353139,59.9,21126,5.6
333,17,Illinois,1976,7,8183000,5154904,63,4815656,58.8,339248,6.6
334,18,Indiana,1976,7,3814000,2441098,64,2302543,60.4,138555,5.7
335,19,Iowa,1976,7,2084000,1339836,64.3,1288246,61.8,51590,3.9
336,20,Kansas,1976,7,1649000,1073420,65.1,1028649,62.4,44771,4.2
337,21,Kentucky,1976,7,2490000,1494595,60,1414170,56.8,80425,5.4
338,22,Louisiana,1976,7,2712000,1533265,56.5,1426892,52.6,106373,6.9
339,23,Maine,1976,7,774000,477028,61.6,436637,56.4,40391,8.5
340,24,Maryland,1976,7,2979000,1917430,64.4,1788622,60,128808,6.7
341,25,Massachusetts,1976,7,4213000,2723542,64.6,2467055,58.6,256487,9.4
342,26,Michigan,1976,7,6454000,4007046,62.1,3637730,56.4,369316,9.2
343,27,Minnesota,1976,7,2815000,1853353,65.8,1749692,62.2,103661,5.6
344,28,Mississippi,1976,7,1659000,972883,58.6,912384,55,60499,6.2
345,29,Missouri,1976,7,3489000,2132641,61.1,2000098,57.3,132543,6.2
346,30,Montana,1976,7,537000,328695,61.2,309084,57.6,19611,6
347,31,Nebraska,1976,7,1102000,718924,65.2,696607,63.2,22317,3.1
348,32,Nevada,1976,7,464000,330705,71.3,302176,65.1,28529,8.6
