candidate,pct_estimate,lo,hi,date,election,cycle
Republicans,40.2748,35.93215,44.61744,4/30/17,11/6/18,2018
Democrats,44.97901,40.61963,49.33839,5/1/17,11/6/18,2018
Republicans,40.26677,35.90739,44.62615,5/1/17,11/6/18,2018
Democrats,44.97794,40.61798,49.33789,5/2/17,11/6/18,2018
Republicans,40.26557,35.90561,44.62552,5/2/17,11/6/18,2018
Democrats,44.84615,40.48459,49.2077,5/3/17,11/6/18,2018
Republicans,40.2158,35.85424,44.57736,5/3/17,11/6/18,2018
Democrats,44.84414,40.4821,49.20617,5/4/17,11/6/18,2018
Republicans,40.21423,35.85219,44.57627,5/4/17,11/6/18,2018
Democrats,44.84174,40.47903,49.20445,5/5/17,11/6/18,2018
Republicans,40.21287,35.85015,44.57558,5/5/17,11/6/18,2018
Democrats,44.8392,40.47575,49.20264,5/6/17,11/6/18,2018
Republicans,40.21222,35.84877,44.57567,5/6/17,11/6/18,2018
Democrats,44.83643,40.45766,49.2152,5/7/17,11/6/18,2018
Republicans,40.03039,35.65162,44.40916,5/7/17,11/6/18,2018
Democrats,44.83309,40.45338,49.2128,5/8/17,11/6/18,2018
Republicans,40.02834,35.64864,44.40805,5/8/17,11/6/18,2018
Democrats,44.83015,40.44965,49.21066,5/9/17,11/6/18,2018
Republicans,40.0264,35.6459,44.4069,5/9/17,11/6/18,2018
Democrats,46.04175,41.64602,50.43749,5/10/17,11/6/18,2018
Republicans,39.64114,35.26678,44.01549,5/10/17,11/6/18,2018
Democrats,46.04636,41.6498,50.44292,5/11/17,11/6/18,2018
Republicans,39.63644,35.26144,44.01144,5/11/17,11/6/18,2018
Democrats,46.04566,41.61885,50.47247,5/12/17,11/6/18,2018
Republicans,39.56344,35.16961,43.95728,5/12/17,11/6/18,2018
Democrats,46.05013,41.62199,50.47826,5/13/17,11/6/18,2018
Republicans,39.55898,35.16412,43.95385,5/13/17,11/6/18,2018
Democrats,46.05616,41.62694,50.48539,5/14/17,11/6/18,2018
Republicans,39.55384,35.1582,43.94947,5/14/17,11/6/18,2018
Democrats,46.21133,41.76869,50.65397,5/15/17,11/6/18,2018
Republicans,39.27381,34.86227,43.68535,5/15/17,11/6/18,2018
Democrats,46.21792,41.77414,50.6617,5/16/17,11/6/18,2018
Republicans,39.26698,34.85469,43.67926,5/16/17,11/6/18,2018
Democrats,46.18415,41.69811,50.67019,5/17/17,11/6/18,2018
Republicans,39.1219,34.66198,43.58182,5/17/17,11/6/18,2018
Democrats,46.18844,41.7012,50.67569,5/18/17,11/6/18,2018
Republicans,39.11496,34.65432,43.5756,5/18/17,11/6/18,2018
Democrats,46.19197,41.70339,50.68055,5/19/17,11/6/18,2018
Republicans,39.10622,34.64466,43.56778,5/19/17,11/6/18,2018
Democrats,46.19334,41.70345,50.68322,5/20/17,11/6/18,2018
Republicans,39.09966,34.63707,43.56225,5/20/17,11/6/18,2018
Democrats,46.19459,41.70348,50.68569,5/21/17,11/6/18,2018
Republicans,39.09417,34.6307,43.55764,5/21/17,11/6/18,2018
Democrats,46.19627,41.70385,50.68869,5/22/17,11/6/18,2018
Republicans,39.08649,34.62206,43.55092,5/22/17,11/6/18,2018
Democrats,46.15731,41.62218,50.69243,5/23/17,11/6/18,2018
Republicans,39.02171,34.52519,43.51822,5/23/17,11/6/18,2018
Democrats,45.77988,41.18823,50.37152,5/24/17,11/6/18,2018
Republicans,38.79729,34.27863,43.31594,5/24/17,11/6/18,2018
Democrats,45.66988,41.07747,50.26228,5/25/17,11/6/18,2018
Republicans,38.65286,34.1277,43.17802,5/25/17,11/6/18,2018
Democrats,45.49081,40.87888,50.10275,5/26/17,11/6/18,2018
Republicans,38.51482,33.97243,43.05721,5/26/17,11/6/18,2018
Democrats,45.20474,40.55003,49.85944,5/27/17,11/6/18,2018
Republicans,38.51439,33.97859,43.05019,5/27/17,11/6/18,2018
Democrats,45.197,40.54372,49.85028,5/28/17,11/6/18,2018
Republicans,38.3661,33.8037,42.92851,5/28/17,11/6/18,2018
Democrats,44.97048,40.2682,49.67276,5/29/17,11/6/18,2018
Republicans,38.41693,33.86431,42.96956,5/29/17,11/6/18,2018
Democrats,44.92205,40.20701,49.63709,5/30/17,11/6/18,2018
Republicans,38.34029,33.77063,42.90996,5/30/17,11/6/18,2018
Democrats,44.84825,40.09087,49.60562,5/31/17,11/6/18,2018
Republicans,38.25547,33.64868,42.86225,5/31/17,11/6/18,2018
Democrats,44.87814,40.12247,49.63381,6/1/17,11/6/18,2018
Republicans,38.37668,33.75282,43.00055,6/1/17,11/6/18,2018
Democrats,44.83812,40.07425,49.60198,6/2/17,11/6/18,2018
Republicans,38.33481,33.70237,42.96725,6/2/17,11/6/18,2018
Democrats,44.88162,40.11295,49.65029,6/3/17,11/6/18,2018
Republicans,38.27157,33.60734,42.9358,6/3/17,11/6/18,2018
Democrats,44.87888,40.11208,49.64568,6/4/17,11/6/18,2018
Republicans,38.29945,33.64829,42.95061,6/4/17,11/6/18,2018
Democrats,44.92675,40.17333,49.68017,6/5/17,11/6/18,2018
Republicans,38.2037,33.53133,42.87608,6/5/17,11/6/18,2018
Democrats,45.43636,40.64576,50.22696,6/6/17,11/6/18,2018
Republicans,38.35842,33.72168,42.99516,6/6/17,11/6/18,2018
Democrats,45.80342,40.95763,50.64922,6/7/17,11/6/18,2018
Republicans,38.5397,33.94057,43.13882,6/7/17,11/6/18,2018
Democrats,45.8086,40.96405,50.65315,6/8/17,11/6/18,2018
Republicans,38.51409,33.90708,43.12111,6/8/17,11/6/18,2018
Democrats,45.82113,40.97443,50.66782,6/9/17,11/6/18,2018
Republicans,38.47421,33.847,43.10142,6/9/17,11/6/18,2018
Democrats,45.85941,41.01529,50.70354,6/10/17,11/6/18,2018
Republicans,38.44493,33.79988,43.08997,6/10/17,11/6/18,2018
Democrats,45.88453,41.0407,50.72836,6/11/17,11/6/18,2018
Republicans,38.44344,33.79773,43.08914,6/11/17,11/6/18,2018
Democrats,46.12861,41.26199,50.99524,6/12/17,11/6/18,2018
Republicans,38.51061,33.89305,43.12817,6/12/17,11/6/18,2018
Democrats,46.09895,41.22848,50.96941,6/13/17,11/6/18,2018
Republicans,38.54833,33.95203,43.14462,6/13/17,11/6/18,2018
Democrats,45.96902,41.05204,50.886,6/14/17,11/6/18,2018
Republicans,38.57899,33.989,43.16898,6/14/17,11/6/18,2018
Democrats,45.95395,41.03351,50.87438,6/15/17,11/6/18,2018
Republicans,38.63037,34.05831,43.20243,6/15/17,11/6/18,2018
Democrats,45.95294,41.02959,50.87628,6/16/17,11/6/18,2018
Republicans,38.58621,33.9997,43.17272,6/16/17,11/6/18,2018
Democrats,45.98077,41.06101,50.90052,6/17/17,11/6/18,2018
Republicans,38.59926,34.01517,43.18336,6/17/17,11/6/18,2018
Democrats,46.02514,41.11006,50.94022,6/18/17,11/6/18,2018
Republicans,38.51381,33.89419,43.13344,6/18/17,11/6/18,2018
Democrats,46.04686,41.13176,50.96196,6/19/17,11/6/18,2018
Republicans,38.46207,33.81678,43.10736,6/19/17,11/6/18,2018
Democrats,46.07865,41.16858,50.98872,6/20/17,11/6/18,2018
Republicans,38.36554,33.69452,43.03655,6/20/17,11/6/18,2018
Democrats,46.35471,41.38958,51.31985,6/21/17,11/6/18,2018
Republicans,38.60004,33.96395,43.23613,6/21/17,11/6/18,2018
Democrats,46.30865,41.33453,51.28276,6/22/17,11/6/18,2018
Republicans,38.62903,34.01086,43.2472,6/22/17,11/6/18,2018
Democrats,46.30859,41.33146,51.28571,6/23/17,11/6/18,2018
Republicans,38.61768,33.99288,43.24247,6/23/17,11/6/18,2018
Democrats,46.28519,41.29877,51.27161,6/24/17,11/6/18,2018
Republicans,38.60323,33.97,43.23645,6/24/17,11/6/18,2018
Democrats,46.22076,41.21382,51.22771,6/25/17,11/6/18,2018
Republicans,38.62662,33.98941,43.26382,6/25/17,11/6/18,2018
Democrats,46.44912,41.48536,51.41289,6/26/17,11/6/18,2018
Republicans,38.60893,34.02437,43.19349,6/26/17,11/6/18,2018
Democrats,46.47245,41.51378,51.43111,6/27/17,11/6/18,2018
Republicans,38.55878,33.94283,43.17474,6/27/17,11/6/18,2018
Democrats,46.59091,41.66976,51.51206,6/28/17,11/6/18,2018
Republicans,38.9292,34.41273,43.44567,6/28/17,11/6/18,2018
Democrats,46.59264,41.67242,51.51286,6/29/17,11/6/18,2018
Republicans,38.94157,34.4352,43.44794,6/29/17,11/6/18,2018
Democrats,46.59903,41.67834,51.51972,6/30/17,11/6/18,2018
Republicans,38.92469,34.40668,43.4427,6/30/17,11/6/18,2018
Democrats,46.57553,41.64161,51.50946,7/1/17,11/6/18,2018
Republicans,38.94341,34.43384,43.45297,7/1/17,11/6/18,2018
Democrats,46.53063,41.57335,51.48792,7/2/17,11/6/18,2018
Republicans,38.96311,34.46637,43.45986,7/2/17,11/6/18,2018
Democrats,46.53236,41.57643,51.4883,7/3/17,11/6/18,2018
Republicans,38.96517,34.4717,43.45864,7/3/17,11/6/18,2018
Democrats,46.55212,41.60279,51.50146,7/4/17,11/6/18,2018
Republicans,38.97547,34.48417,43.46677,7/4/17,11/6/18,2018
Democrats,46.4577,41.45581,51.45959,7/5/17,11/6/18,2018
Republicans,38.95946,34.45963,43.4593,7/5/17,11/6/18,2018
Democrats,46.47581,41.47952,51.47211,7/6/17,11/6/18,2018
Republicans,38.96325,34.46684,43.45966,7/6/17,11/6/18,2018
Democrats,46.48034,41.48591,51.47476,7/7/17,11/6/18,2018
Republicans,38.94911,34.44962,43.4486,7/7/17,11/6/18,2018
Democrats,46.48843,41.49345,51.4834,7/8/17,11/6/18,2018
Republicans,38.92237,34.4077,43.43705,7/8/17,11/6/18,2018
Democrats,46.46951,41.46608,51.47293,7/9/17,11/6/18,2018
Republicans,38.92398,34.40873,43.43924,7/9/17,11/6/18,2018
Democrats,46.45364,41.4453,51.46198,7/10/17,11/6/18,2018
Republicans,38.91554,34.39053,43.44055,7/10/17,11/6/18,2018
Democrats,46.44035,41.42787,51.45284,7/11/17,11/6/18,2018
Republicans,38.89559,34.36194,43.42924,7/11/17,11/6/18,2018
Democrats,46.39123,41.35941,51.42305,7/12/17,11/6/18,2018
Republicans,38.76581,34.17727,43.35435,7/12/17,11/6/18,2018
Democrats,46.34658,41.29819,51.39497,7/13/17,11/6/18,2018
Republicans,38.76704,34.18392,43.35016,7/13/17,11/6/18,2018
Democrats,46.93778,41.77463,52.10094,7/14/17,11/6/18,2018
Republicans,38.65548,34.14135,43.16961,7/14/17,11/6/18,2018
Democrats,46.9339,41.76892,52.09887,7/15/17,11/6/18,2018
Republicans,38.64195,34.12358,43.16032,7/15/17,11/6/18,2018
Democrats,46.8964,41.7202,52.0726,7/16/17,11/6/18,2018
Republicans,38.66561,34.14916,43.18205,7/16/17,11/6/18,2018
Democrats,46.88561,41.70399,52.06723,7/17/17,11/6/18,2018
Republicans,38.69371,34.19209,43.19533,7/17/17,11/6/18,2018
Democrats,47.04633,41.87259,52.22007,7/18/17,11/6/18,2018
Republicans,38.74165,34.2701,43.2132,7/18/17,11/6/18,2018
Democrats,47.0233,41.84439,52.20221,7/19/17,11/6/18,2018
Republicans,38.70926,34.22721,43.19131,7/19/17,11/6/18,2018
Democrats,46.96715,41.76227,52.17203,7/20/17,11/6/18,2018
Republicans,38.72298,34.24936,43.19661,7/20/17,11/6/18,2018
Democrats,46.94849,41.73191,52.16507,7/21/17,11/6/18,2018
Republicans,38.72415,34.24825,43.20005,7/21/17,11/6/18,2018
Democrats,46.90601,41.66372,52.1483,7/22/17,11/6/18,2018
Republicans,38.69889,34.20964,43.18814,7/22/17,11/6/18,2018
Democrats,46.8766,41.6166,52.13661,7/23/17,11/6/18,2018
Republicans,38.67142,34.16595,43.1769,7/23/17,11/6/18,2018
Democrats,46.85537,41.58102,52.12972,7/24/17,11/6/18,2018
Republicans,38.6943,34.1969,43.1917,7/24/17,11/6/18,2018
Democrats,46.77657,41.49792,52.05521,7/25/17,11/6/18,2018
Republicans,38.70665,34.21338,43.19991,7/25/17,11/6/18,2018
Democrats,46.74053,41.45195,52.02911,7/26/17,11/6/18,2018
Republicans,38.66378,34.15213,43.17543,7/26/17,11/6/18,2018
Democrats,46.78214,41.50741,52.05686,7/27/17,11/6/18,2018
Republicans,38.63931,34.11894,43.15968,7/27/17,11/6/18,2018
Democrats,46.7667,41.48882,52.04457,7/28/17,11/6/18,2018
Republicans,38.63885,34.12013,43.15757,7/28/17,11/6/18,2018
Democrats,46.82519,41.5663,52.08408,7/29/17,11/6/18,2018
Republicans,38.54149,33.9776,43.10538,7/29/17,11/6/18,2018
Democrats,46.82657,41.56883,52.08431,7/30/17,11/6/18,2018
Republicans,38.46989,33.89364,43.04614,7/30/17,11/6/18,2018
Democrats,46.82244,41.56488,52.08001,7/31/17,11/6/18,2018
Republicans,38.43682,33.84947,43.02417,7/31/17,11/6/18,2018
Democrats,46.69923,41.49994,51.89852,8/1/17,11/6/18,2018
Republicans,38.51077,33.99779,43.02375,8/1/17,11/6/18,2018
Democrats,46.87876,41.61066,52.14685,8/2/17,11/6/18,2018
Republicans,38.40768,33.92268,42.89268,8/2/17,11/6/18,2018
Democrats,46.84026,41.55271,52.1278,8/3/17,11/6/18,2018
Republicans,38.42025,33.94419,42.8963,8/3/17,11/6/18,2018
Democrats,46.81446,41.51262,52.11631,8/4/17,11/6/18,2018
Republicans,38.42327,33.95147,42.89508,8/4/17,11/6/18,2018
Democrats,46.81365,41.50923,52.11806,8/5/17,11/6/18,2018
Republicans,38.43772,33.96982,42.90561,8/5/17,11/6/18,2018
Democrats,46.83884,41.54131,52.13636,8/6/17,11/6/18,2018
Republicans,38.41124,33.92923,42.89325,8/6/17,11/6/18,2018
Democrats,47.23803,41.92945,52.5466,8/7/17,11/6/18,2018
Republicans,38.6648,34.15865,43.17095,8/7/17,11/6/18,2018
Democrats,47.23901,41.92915,52.54886,8/8/17,11/6/18,2018
Republicans,38.6642,34.16212,43.16629,8/8/17,11/6/18,2018
Democrats,47.23614,41.91775,52.55452,8/9/17,11/6/18,2018
Republicans,38.63617,34.1198,43.15255,8/9/17,11/6/18,2018
Democrats,47.23029,41.9104,52.55017,8/10/17,11/6/18,2018
Republicans,38.62631,34.10736,43.14525,8/10/17,11/6/18,2018
Democrats,47.20463,41.87381,52.53545,8/11/17,11/6/18,2018
Republicans,38.62088,34.09691,43.14485,8/11/17,11/6/18,2018
Democrats,47.20079,41.86485,52.53672,8/12/17,11/6/18,2018
Republicans,38.62895,34.10707,43.15083,8/12/17,11/6/18,2018
Democrats,47.15102,41.89301,52.40903,8/13/17,11/6/18,2018
Republicans,38.83564,34.37193,43.29934,8/13/17,11/6/18,2018
Democrats,47.14596,41.88185,52.41007,8/14/17,11/6/18,2018
Republicans,38.81948,34.34281,43.29615,8/14/17,11/6/18,2018
Democrats,47.11177,41.83781,52.38573,8/15/17,11/6/18,2018
Republicans,38.78865,34.30151,43.2758,8/15/17,11/6/18,2018
Democrats,47.10002,41.8628,52.33723,8/16/17,11/6/18,2018
Republicans,38.82664,34.34378,43.30951,8/16/17,11/6/18,2018
Democrats,47.11431,41.88298,52.34564,8/17/17,11/6/18,2018
Republicans,38.78311,34.27081,43.2954,8/17/17,11/6/18,2018
Democrats,47.0373,41.87476,52.19983,8/18/17,11/6/18,2018
Republicans,38.86123,34.40396,43.3185,8/18/17,11/6/18,2018
Democrats,46.99599,41.81659,52.17538,8/19/17,11/6/18,2018
Republicans,38.85271,34.38986,43.31557,8/19/17,11/6/18,2018
Democrats,46.94981,41.75321,52.1464,8/20/17,11/6/18,2018
Republicans,38.82054,34.35846,43.28262,8/20/17,11/6/18,2018
Democrats,46.94901,41.75433,52.14369,8/21/17,11/6/18,2018
Republicans,38.80647,34.34001,43.27293,8/21/17,11/6/18,2018
Democrats,46.96451,41.77538,52.15364,8/22/17,11/6/18,2018
Republicans,38.55369,34.07342,43.03396,8/22/17,11/6/18,2018
Democrats,46.91053,41.71666,52.1044,8/23/17,11/6/18,2018
Republicans,38.45145,33.98462,42.91829,8/23/17,11/6/18,2018
Democrats,46.91761,41.72765,52.10757,8/24/17,11/6/18,2018
Republicans,38.44606,33.98043,42.91169,8/24/17,11/6/18,2018
Democrats,46.91161,41.71544,52.10778,8/25/17,11/6/18,2018
Republicans,38.43987,33.96881,42.91093,8/25/17,11/6/18,2018
Democrats,46.93081,41.74098,52.12064,8/26/17,11/6/18,2018
Republicans,38.43272,33.95629,42.90914,8/26/17,11/6/18,2018
Democrats,46.93109,41.73765,52.12452,8/27/17,11/6/18,2018
Republicans,38.42961,33.94997,42.90926,8/27/17,11/6/18,2018
Democrats,46.93942,41.74475,52.13409,8/28/17,11/6/18,2018
Republicans,38.40829,33.91303,42.90355,8/28/17,11/6/18,2018
Democrats,46.8252,41.63166,52.01875,8/29/17,11/6/18,2018
Republicans,38.57202,34.04762,43.09642,8/29/17,11/6/18,2018
Democrats,46.7883,41.57563,52.00098,8/30/17,11/6/18,2018
Republicans,38.49239,33.92419,43.06059,8/30/17,11/6/18,2018
Democrats,46.74677,41.51053,51.98302,8/31/17,11/6/18,2018
Republicans,38.51167,33.95381,43.06953,8/31/17,11/6/18,2018
Democrats,46.72109,41.47186,51.97032,9/1/17,11/6/18,2018
Republicans,38.52526,33.9711,43.07941,9/1/17,11/6/18,2018
Democrats,46.71576,41.46611,51.9654,9/2/17,11/6/18,2018
Republicans,38.52457,33.96942,43.07973,9/2/17,11/6/18,2018
Democrats,46.73098,41.4862,51.97575,9/3/17,11/6/18,2018
Republicans,38.52496,33.96566,43.08425,9/3/17,11/6/18,2018
Democrats,46.7389,41.49572,51.98209,9/4/17,11/6/18,2018
Republicans,38.5479,33.99596,43.09985,9/4/17,11/6/18,2018
Democrats,46.73388,41.48932,51.97844,9/5/17,11/6/18,2018
Republicans,38.54284,33.99176,43.09393,9/5/17,11/6/18,2018
Democrats,46.68554,41.41535,51.95573,9/6/17,11/6/18,2018
Republicans,38.49465,33.92122,43.06807,9/6/17,11/6/18,2018
Democrats,46.64492,41.35669,51.93316,9/7/17,11/6/18,2018
Republicans,38.52722,33.96311,43.09132,9/7/17,11/6/18,2018
Democrats,46.63966,41.34815,51.93118,9/8/17,11/6/18,2018
Republicans,38.52381,33.95638,43.09124,9/8/17,11/6/18,2018
Democrats,46.62088,41.31914,51.92263,9/9/17,11/6/18,2018
Republicans,38.52408,33.95412,43.09404,9/9/17,11/6/18,2018
Democrats,46.60268,41.29067,51.91468,9/10/17,11/6/18,2018
Republicans,38.52552,33.95229,43.09875,9/10/17,11/6/18,2018
Democrats,46.60566,41.29377,51.91756,9/11/17,11/6/18,2018
Republicans,38.49796,33.91287,43.08304,9/11/17,11/6/18,2018
Democrats,46.5742,41.25548,51.89293,9/12/17,11/6/18,2018
Republicans,38.44426,33.84865,43.03988,9/12/17,11/6/18,2018
Democrats,46.56833,41.2431,51.89355,9/13/17,11/6/18,2018
Republicans,38.3179,33.6599,42.9759,9/13/17,11/6/18,2018
Democrats,46.58435,41.26236,51.90635,9/14/17,11/6/18,2018
Republicans,38.30017,33.63644,42.96391,9/14/17,11/6/18,2018
Democrats,46.59354,41.26933,51.91775,9/15/17,11/6/18,2018
Republicans,38.27617,33.59833,42.95401,9/15/17,11/6/18,2018
Democrats,46.6045,41.27743,51.93158,9/16/17,11/6/18,2018
Republicans,38.27292,33.59186,42.95398,9/16/17,11/6/18,2018
Democrats,46.57343,41.23627,51.91058,9/17/17,11/6/18,2018
Republicans,38.26887,33.58385,42.9539,9/17/17,11/6/18,2018
Democrats,46.59982,41.26639,51.93324,9/18/17,11/6/18,2018
Republicans,38.23755,33.54806,42.92705,9/18/17,11/6/18,2018
Democrats,46.68517,41.42342,51.94691,9/19/17,11/6/18,2018
Republicans,38.4682,33.76365,43.17275,9/19/17,11/6/18,2018
Democrats,46.61685,41.323,51.9107,9/20/17,11/6/18,2018
Republicans,38.46859,33.76439,43.17279,9/20/17,11/6/18,2018
Democrats,46.71883,41.47221,51.96546,9/21/17,11/6/18,2018
Republicans,38.78325,34.04193,43.52457,9/21/17,11/6/18,2018
Democrats,46.73614,41.49494,51.97734,9/22/17,11/6/18,2018
Republicans,38.77669,34.03005,43.52332,9/22/17,11/6/18,2018
Democrats,46.75985,41.52025,51.99945,9/23/17,11/6/18,2018
Republicans,38.74265,33.97239,43.51291,9/23/17,11/6/18,2018
Democrats,46.75194,41.50688,51.997,9/24/17,11/6/18,2018
Republicans,38.73804,33.96082,43.51527,9/24/17,11/6/18,2018
Democrats,46.72461,41.46938,51.97983,9/25/17,11/6/18,2018
Republicans,38.76467,34.00016,43.52918,9/25/17,11/6/18,2018
Democrats,46.69638,41.4669,51.92587,9/26/17,11/6/18,2018
Republicans,38.70516,33.98639,43.42393,9/26/17,11/6/18,2018
Democrats,46.46949,41.30957,51.62942,9/27/17,11/6/18,2018
Republicans,38.63993,33.97467,43.30518,9/27/17,11/6/18,2018
Democrats,46.42302,41.2426,51.60343,9/28/17,11/6/18,2018
Republicans,38.65917,34.00237,43.31598,9/28/17,11/6/18,2018
Democrats,46.40648,41.21751,51.59544,9/29/17,11/6/18,2018
Republicans,38.67527,34.02122,43.32933,9/29/17,11/6/18,2018
Democrats,46.40821,41.22054,51.59589,9/30/17,11/6/18,2018
Republicans,38.65259,33.98713,43.31805,9/30/17,11/6/18,2018
Democrats,46.41552,41.23084,51.60019,10/1/17,11/6/18,2018
Republicans,38.62055,33.93708,43.30402,10/1/17,11/6/18,2018
Democrats,46.38895,41.18906,51.58885,10/2/17,11/6/18,2018
Republicans,38.6601,33.9837,43.3365,10/2/17,11/6/18,2018
Democrats,46.38909,41.19171,51.58646,10/3/17,11/6/18,2018
Republicans,38.65017,33.96919,43.33115,10/3/17,11/6/18,2018
Democrats,46.35923,41.13877,51.5797,10/4/17,11/6/18,2018
Republicans,38.5905,33.87746,43.30353,10/4/17,11/6/18,2018
Democrats,46.34592,41.12273,51.56912,10/5/17,11/6/18,2018
Republicans,38.59029,33.87729,43.30329,10/5/17,11/6/18,2018
Democrats,46.34767,41.1227,51.57264,10/6/17,11/6/18,2018
Republicans,38.57064,33.84444,43.29685,10/6/17,11/6/18,2018
Democrats,46.44252,41.24284,51.64221,10/7/17,11/6/18,2018
Republicans,38.87248,34.07999,43.66497,10/7/17,11/6/18,2018
Democrats,46.41228,41.19821,51.62636,10/8/17,11/6/18,2018
Republicans,38.87548,34.07993,43.67103,10/8/17,11/6/18,2018
Democrats,46.39727,41.17501,51.61953,10/9/17,11/6/18,2018
Republicans,38.86452,34.05823,43.67082,10/9/17,11/6/18,2018
Democrats,46.39591,41.17196,51.61987,10/10/17,11/6/18,2018
Republicans,38.83503,34.02986,43.64021,10/10/17,11/6/18,2018
Democrats,46.42175,41.21216,51.63134,10/11/17,11/6/18,2018
Republicans,38.99878,34.20082,43.79674,10/11/17,11/6/18,2018
Democrats,46.40121,41.18441,51.61802,10/12/17,11/6/18,2018
Republicans,38.99185,34.1885,43.7952,10/12/17,11/6/18,2018
Democrats,46.3652,41.2022,51.5282,10/13/17,11/6/18,2018
Republicans,39.01051,34.21597,43.80504,10/13/17,11/6/18,2018
Democrats,46.3392,41.16278,51.51562,10/14/17,11/6/18,2018
Republicans,39.01608,34.21985,43.81232,10/14/17,11/6/18,2018
Democrats,46.19064,40.9983,51.38298,10/15/17,11/6/18,2018
Republicans,39.13071,34.31629,43.94513,10/15/17,11/6/18,2018
Democrats,46.62217,41.28043,51.96391,10/16/17,11/6/18,2018
Republicans,38.92997,34.17025,43.6897,10/16/17,11/6/18,2018
Democrats,46.64377,41.3107,51.97685,10/17/17,11/6/18,2018
Republicans,38.88166,34.11707,43.64624,10/17/17,11/6/18,2018
Democrats,46.63668,41.30078,51.97259,10/18/17,11/6/18,2018
Republicans,38.88698,34.12338,43.65058,10/18/17,11/6/18,2018
Democrats,46.63409,41.29704,51.97115,10/19/17,11/6/18,2018
Republicans,38.87792,34.10864,43.6472,10/19/17,11/6/18,2018
Democrats,46.63967,41.30161,51.97774,10/20/17,11/6/18,2018
Republicans,38.85396,34.06748,43.64043,10/20/17,11/6/18,2018
Democrats,46.60044,41.24318,51.9577,10/21/17,11/6/18,2018
Republicans,38.85003,34.05796,43.64211,10/21/17,11/6/18,2018
Democrats,46.57105,41.19688,51.94523,10/22/17,11/6/18,2018
Republicans,38.84957,34.05321,43.64592,10/22/17,11/6/18,2018
Democrats,46.56252,41.18288,51.94215,10/23/17,11/6/18,2018
Republicans,38.83587,34.02842,43.64333,10/23/17,11/6/18,2018
Democrats,46.56717,41.19366,51.94067,10/24/17,11/6/18,2018
Republicans,38.77254,33.95158,43.5935,10/24/17,11/6/18,2018
Democrats,46.93014,41.56336,52.29691,10/25/17,11/6/18,2018
Republicans,38.19822,33.38815,43.00829,10/25/17,11/6/18,2018
Democrats,46.94408,41.58187,52.30629,10/26/17,11/6/18,2018
Republicans,38.18012,33.36211,42.99813,10/26/17,11/6/18,2018
Democrats,46.97791,41.66127,52.29454,10/27/17,11/6/18,2018
Republicans,38.24512,33.4366,43.05364,10/27/17,11/6/18,2018
Democrats,46.96006,41.63421,52.28592,10/28/17,11/6/18,2018
Republicans,38.25982,33.46333,43.0563,10/28/17,11/6/18,2018
Democrats,46.9198,41.56779,52.27181,10/29/17,11/6/18,2018
Republicans,38.27192,33.48008,43.06376,10/29/17,11/6/18,2018
Democrats,47.02097,41.67715,52.3648,10/30/17,11/6/18,2018
Republicans,38.34804,33.56897,43.12712,10/30/17,11/6/18,2018
