,...1,date,GDPC1,quarter_yr,quarter_cycle,year,year_qt,GDP_growth_qt,GDP_growth_pct
42,42,4/1/57,2985.663,2,2,1957,1957_2,-6.556,-0.21910161
43,43,7/1/57,3014.919,3,3,1957,1957_3,29.256,0.97988286
44,44,10/1/57,2983.727,4,4,1957,1957_4,-31.192,-1.034588326
45,45,1/1/58,2906.274,1,5,1958,1958_5,-77.453,-2.595847408
46,46,4/1/58,2925.379,2,6,1958,1958_6,19.105,0.657370915
47,47,7/1/58,2993.068,3,7,1958,1958_7,67.689,2.313854034
48,48,10/1/58,3063.085,4,8,1958,1958_8,70.017,2.339305355
49,49,1/1/59,3121.936,1,1,1959,1959_1,58.851,1.921298299
50,50,4/1/59,3192.38,2,2,1959,1959_2,70.444,2.256420375
51,51,7/1/59,3194.653,3,3,1959,1959_3,2.273,0.071200797
52,52,10/1/59,3203.759,4,4,1959,1959_4,9.106,0.285038782
53,53,1/1/60,3275.757,1,5,1960,1960_5,71.998,2.247297628
54,54,4/1/60,3258.088,2,6,1960,1960_6,-17.669,-0.539386774
55,55,7/1/60,3274.029,3,7,1960,1960_7,15.941,0.489274691
56,56,10/1/60,3232.009,4,8,1960,1960_8,-42.02,-1.283433959
57,57,1/1/61,3253.826,1,1,1961,1961_1,21.817,0.675029061
58,58,4/1/61,3309.059,2,2,1961,1961_2,55.233,1.697478599
59,59,7/1/61,3372.581,3,3,1961,1961_3,63.522,1.91963939
60,60,10/1/61,3438.721,4,4,1961,1961_4,66.14,1.961109311
61,61,1/1/62,3500.054,1,5,1962,1962_5,61.333,1.783599193
62,62,4/1/62,3531.683,2,6,1962,1962_6,31.629,0.903671772
63,63,7/1/62,3575.07,3,7,1962,1962_7,43.387,1.228507768
64,64,10/1/62,3586.827,4,8,1962,1962_8,11.757,0.328860694
65,65,1/1/63,3625.981,1,1,1963,1963_1,39.154,1.091605477
66,66,4/1/63,3666.669,2,2,1963,1963_2,40.688,1.122123916
67,67,7/1/63,3747.278,3,3,1963,1963_3,80.609,2.198425874
68,68,10/1/63,3771.845,4,4,1963,1963_4,24.567,0.655595875
69,69,1/1/64,3851.366,1,5,1964,1964_5,79.521,2.108278575
70,70,4/1/64,3893.296,2,6,1964,1964_6,41.93,1.088704631
71,71,7/1/64,3954.121,3,7,1964,1964_7,60.825,1.56230094
72,72,10/1/64,3966.335,4,8,1964,1964_8,12.214,0.308892925
73,73,1/1/65,4062.311,1,1,1965,1965_1,95.976,2.41976535
74,74,4/1/65,4113.629,2,2,1965,1965_2,51.318,1.263271079
75,75,7/1/65,4205.086,3,3,1965,1965_3,91.457,2.223268068
76,76,10/1/65,4301.973,4,4,1965,1965_4,96.887,2.304043247
77,77,1/1/66,4406.693,1,5,1966,1966_5,104.72,2.434231921
78,78,4/1/66,4421.747,2,6,1966,1966_6,15.054,0.341616718
79,79,7/1/66,4459.195,3,7,1966,1966_7,37.448,0.846905081
80,80,10/1/66,4495.777,4,8,1966,1966_8,36.582,0.820372287
81,81,1/1/67,4535.591,1,1,1967,1967_1,39.814,0.885586629
82,82,4/1/67,4538.37,2,2,1967,1967_2,2.779,0.061270957
83,83,7/1/67,4581.309,3,3,1967,1967_3,42.939,0.946132642
84,84,10/1/67,4615.853,4,4,1967,1967_4,34.544,0.754020303
85,85,1/1/68,4709.993,1,5,1968,1968_5,94.14,2.039493025
86,86,4/1/68,4788.688,2,6,1968,1968_6,78.695,1.670809277
87,87,7/1/68,4825.799,3,7,1968,1968_7,37.111,0.774972184
88,88,10/1/68,4844.779,4,8,1968,1968_8,18.98,0.393302746
89,89,1/1/69,4920.605,1,1,1969,1969_1,75.826,1.565107511
90,90,4/1/69,4935.564,2,2,1969,1969_2,14.959,0.304007332
91,91,7/1/69,4968.164,3,3,1969,1969_3,32.6,0.660512152
92,92,10/1/69,4943.935,4,4,1969,1969_4,-24.229,-0.487685189
93,93,1/1/70,4936.594,1,5,1970,1970_5,-7.341,-0.148484962
94,94,4/1/70,4943.6,2,6,1970,1970_6,7.006,0.141919712
95,95,7/1/70,4989.159,3,7,1970,1970_7,45.559,0.92157537
96,96,10/1/70,4935.693,4,8,1970,1970_8,-53.466,-1.071643538
97,97,1/1/71,5069.746,1,1,1971,1971_1,134.053,2.715991452
98,98,4/1/71,5097.179,2,2,1971,1971_2,27.433,0.541111922
99,99,7/1/71,5139.128,3,3,1971,1971_3,41.949,0.822984635
100,100,10/1/71,5151.245,4,4,1971,1971_4,12.117,0.2357793
101,101,1/1/72,5245.974,1,5,1972,1972_5,94.729,1.838953496
102,102,4/1/72,5365.045,2,6,1972,1972_6,119.071,2.269759629
103,103,7/1/72,5415.712,3,7,1972,1972_7,50.667,0.94439096
104,104,10/1/72,5506.396,4,8,1972,1972_8,90.684,1.674461271
105,105,1/1/73,5642.669,1,1,1973,1973_1,136.273,2.474812927
106,106,4/1/73,5704.098,2,2,1973,1973_2,61.429,1.088651487
107,107,7/1/73,5674.1,3,3,1973,1973_3,-29.998,-0.525902605
108,108,10/1/73,5727.96,4,4,1973,1973_4,53.86,0.949225428
109,109,1/1/74,5678.713,1,5,1974,1974_5,-49.247,-0.859765082
110,110,4/1/74,5692.21,2,6,1974,1974_6,13.497,0.237677093
111,111,7/1/74,5638.411,3,7,1974,1974_7,-53.799,-0.945133788
112,112,10/1/74,5616.526,4,8,1974,1974_8,-21.885,-0.388141269
113,113,1/1/75,5548.156,1,1,1975,1975_1,-68.37,-1.217300516
114,114,4/1/75,5587.8,2,2,1975,1975_2,39.644,0.714543715
115,115,7/1/75,5683.444,3,3,1975,1975_3,95.644,1.71165754
116,116,10/1/75,5759.972,4,4,1975,1975_4,76.528,1.346507505
117,117,1/1/76,5889.5,1,5,1976,1976_5,129.528,2.248760931
118,118,4/1/76,5932.711,2,6,1976,1976_6,43.211,0.73369556
119,119,7/1/76,5965.265,3,7,1976,1976_7,32.554,0.548720475
120,120,10/1/76,6008.504,4,8,1976,1976_8,43.239,0.724846256
121,121,1/1/77,6079.494,1,1,1977,1977_1,70.99,1.181492099
122,122,4/1/77,6197.686,2,2,1977,1977_2,118.192,1.944109164
123,123,7/1/77,6309.514,3,3,1977,1977_3,111.828,1.80435085
124,124,10/1/77,6309.652,4,4,1977,1977_4,0.138,0.002187173
125,125,1/1/78,6329.791,1,5,1978,1978_5,20.139,0.319177666
126,126,4/1/78,6574.39,2,6,1978,1978_6,244.599,3.86425081
127,127,7/1/78,6640.497,3,7,1978,1978_7,66.107,1.005522946
128,128,10/1/78,6729.755,4,8,1978,1978_8,89.258,1.344146379
129,129,1/1/79,6741.854,1,1,1979,1979_1,12.099,0.179783662
130,130,4/1/79,6749.063,2,2,1979,1979_2,7.209,0.106929044
131,131,7/1/79,6799.2,3,3,1979,1979_3,50.137,0.742873492
132,132,10/1/79,6816.203,4,4,1979,1979_4,17.003,0.250073538
133,133,1/1/80,6837.641,1,5,1980,1980_5,21.438,0.314515281
134,134,4/1/80,6696.753,2,6,1980,1980_6,-140.888,-2.060476705
135,135,7/1/80,6688.794,3,7,1980,1980_7,-7.959,-0.118848642
136,136,10/1/80,6813.535,4,8,1980,1980_8,124.741,1.864925127
137,137,1/1/81,6947.042,1,1,1981,1981_1,133.507,1.959438089
138,138,4/1/81,6895.559,2,2,1981,1981_2,-51.483,-0.741078001
139,139,7/1/81,6978.135,3,3,1981,1981_3,82.576,1.197524378
140,140,10/1/81,6902.105,4,4,1981,1981_4,-76.03,-1.089546132
141,141,1/1/82,6794.878,1,5,1982,1982_5,-107.227,-1.55354055
142,142,4/1/82,6825.876,2,6,1982,1982_6,30.998,0.456196565
143,143,7/1/82,6799.781,3,7,1982,1982_7,-26.095,-0.382295254
144,144,10/1/82,6802.497,4,8,1982,1982_8,2.716,0.039942463
145,145,1/1/83,6892.144,1,1,1983,1983_1,89.647,1.317854311
146,146,4/1/83,7048.982,2,2,1983,1983_2,156.838,2.275605385
147,147,7/1/83,7189.896,3,3,1983,1983_3,140.914,1.999068802
148,148,10/1/83,7339.893,4,4,1983,1983_4,149.997,2.086219328
149,149,1/1/84,7483.371,1,5,1984,1984_5,143.478,1.95476964
150,150,4/1/84,7612.668,2,6,1984,1984_6,129.297,1.727790858
151,151,7/1/84,7686.059,3,7,1984,1984_7,73.391,0.96406411
152,152,10/1/84,7749.151,4,8,1984,1984_8,63.092,0.820862811
153,153,1/1/85,7824.247,1,1,1985,1985_1,75.096,0.969086807
154,154,4/1/85,7893.136,2,2,1985,1985_2,68.889,0.880455333
155,155,7/1/85,8013.674,3,3,1985,1985_3,120.538,1.527124327
156,156,10/1/85,8073.239,4,4,1985,1985_4,59.565,0.743292028
157,157,1/1/86,8148.603,1,5,1986,1986_5,75.364,0.933503889
158,158,4/1/86,8185.303,2,6,1986,1986_6,36.7,0.450383949
159,159,7/1/86,8263.639,3,7,1986,1986_7,78.336,0.957032379
160,160,10/1/86,8308.021,4,8,1986,1986_8,44.382,0.537075736
161,161,1/1/87,8369.93,1,1,1987,1987_1,61.909,0.745171443
162,162,4/1/87,8460.233,2,2,1987,1987_2,90.303,1.078897912
163,163,7/1/87,8533.635,3,3,1987,1987_3,73.402,0.867612039
164,164,10/1/87,8680.162,4,4,1987,1987_4,146.527,1.717052581
165,165,1/1/88,8725.006,1,5,1988,1988_5,44.844,0.516626303
166,166,4/1/88,8839.641,2,6,1988,1988_6,114.635,1.313867291
167,167,7/1/88,8891.435,3,7,1988,1988_7,51.794,0.585928772
168,168,10/1/88,9009.913,4,8,1988,1988_8,118.478,1.332495823
169,169,1/1/89,9101.508,1,1,1989,1989_1,91.595,1.016602491
170,170,4/1/89,9170.977,2,2,1989,1989_2,69.469,0.76326912
171,171,7/1/89,9238.923,3,3,1989,1989_3,67.946,0.740880715
172,172,10/1/89,9257.128,4,4,1989,1989_4,18.205,0.197046777
173,173,1/1/90,9358.289,1,5,1990,1990_5,101.161,1.092790334
174,174,4/1/90,9392.251,2,6,1990,1990_6,33.962,0.36290822
175,175,7/1/90,9398.499,3,7,1990,1990_7,6.248,0.066522924
176,176,10/1/90,9312.937,4,8,1990,1990_8,-85.562,-0.910379413
177,177,1/1/91,9269.367,1,1,1991,1991_1,-43.57,-0.467843818
178,178,4/1/91,9341.642,2,2,1991,1991_2,72.275,0.779718831
179,179,7/1/91,9388.845,3,3,1991,1991_3,47.203,0.505296606
180,180,10/1/91,9421.565,4,4,1991,1991_4,32.72,0.34849867
181,181,1/1/92,9534.346,1,5,1992,1992_5,112.781,1.197051658
182,182,4/1/92,9637.732,2,6,1992,1992_6,103.386,1.084353347
183,183,7/1/92,9732.979,3,7,1992,1992_7,95.247,0.98827193
184,184,10/1/92,9834.51,4,8,1992,1992_8,101.531,1.043164688
185,185,1/1/93,9850.973,1,1,1993,1993_1,16.463,0.167400308
186,186,4/1/93,9908.347,2,2,1993,1993_2,57.374,0.582419625
187,187,7/1/93,9955.641,3,3,1993,1993_3,47.294,0.477314733
188,188,10/1/93,10091.049,4,4,1993,1993_4,135.408,1.360113327
189,189,1/1/94,10188.954,1,5,1994,1994_5,97.905,0.970216278
190,190,4/1/94,10327.019,2,6,1994,1994_6,138.065,1.355045866
191,191,7/1/94,10387.382,3,7,1994,1994_7,60.363,0.584515241
192,192,10/1/94,10506.372,4,8,1994,1994_8,118.99,1.145524445
193,193,1/1/95,10543.644,1,1,1995,1995_1,37.272,0.354756142
194,194,4/1/95,10575.1,2,2,1995,1995_2,31.456,0.298340877
195,195,7/1/95,10665.06,3,3,1995,1995_3,89.96,0.850677535
196,196,10/1/95,10737.478,4,4,1995,1995_4,72.418,0.679021028
197,197,1/1/96,10817.896,1,5,1996,1996_5,80.418,0.74894682
198,198,4/1/96,10998.322,2,6,1996,1996_6,180.426,1.667847426
199,199,7/1/96,11096.976,3,7,1996,1996_7,98.654,0.896991377
200,200,10/1/96,11212.205,4,8,1996,1996_8,115.229,1.038381988
201,201,1/1/97,11284.587,1,1,1997,1997_1,72.382,0.645564365
202,202,4/1/97,11472.137,2,2,1997,1997_2,187.55,1.662001454
203,203,7/1/97,11615.636,3,3,1997,1997_3,143.499,1.250848033
204,204,10/1/97,11715.393,4,4,1997,1997_4,99.757,0.858816513
205,205,1/1/98,11832.486,1,5,1998,1998_5,117.093,0.999479915
206,206,4/1/98,11942.032,2,6,1998,1998_6,109.546,0.925807138
207,207,7/1/98,12091.614,3,7,1998,1998_7,149.582,1.252567402
208,208,10/1/98,12287,4,8,1998,1998_8,195.386,1.615880229
209,209,1/1/99,12403.293,1,1,1999,1999_1,116.293,0.946471881
210,210,4/1/99,12498.694,2,2,1999,1999_2,95.401,0.769158642
211,211,7/1/99,12662.385,3,3,1999,1999_3,163.691,1.309664834
212,212,10/1/99,12877.593,4,4,1999,1999_4,215.208,1.699585031
213,213,1/1/00,12924.179,1,5,2000,2000_5,46.586,0.361760152
214,214,4/1/00,13160.842,2,6,2000,2000_6,236.663,1.831164672
215,215,7/1/00,13178.419,3,7,2000,2000_7,17.577,0.133555285
216,216,10/1/00,13260.506,4,8,2000,2000_8,82.087,0.622889589
217,217,1/1/01,13222.69,1,1,2001,2001_1,-37.816,-0.285177655
218,218,4/1/01,13299.984,2,2,2001,2001_2,77.294,0.58455579
219,219,7/1/01,13244.784,3,3,2001,2001_3,-55.2,-0.415038093
220,220,10/1/01,13280.859,4,4,2001,2001_4,36.075,0.272371373
221,221,1/1/02,13397.002,1,5,2002,2002_5,116.143,0.874514216
222,222,4/1/02,13478.152,2,6,2002,2002_6,81.15,0.605732536
223,223,7/1/02,13538.072,3,7,2002,2002_7,59.92,0.444571333
224,224,10/1/02,13559.032,4,8,2002,2002_8,20.96,0.154822636
225,225,1/1/03,13634.253,1,1,2003,2003_1,75.221,0.554766741
226,226,4/1/03,13751.543,2,2,2003,2003_2,117.29,0.860259818
227,227,7/1/03,13985.073,3,3,2003,2003_3,233.53,1.69820943
228,228,10/1/03,14145.645,4,4,2003,2003_4,160.572,1.148167049
229,229,1/1/04,14221.147,1,5,2004,2004_5,75.502,0.533747312
230,230,4/1/04,14329.523,2,6,2004,2004_6,108.376,0.762076364
231,231,7/1/04,14464.984,3,7,2004,2004_7,135.461,0.945328048
232,232,10/1/04,14609.876,4,8,2004,2004_8,144.892,1.001674112
233,233,1/1/05,14771.602,1,1,2005,2005_1,161.726,1.106963536
234,234,4/1/05,14839.782,2,2,2005,2005_2,68.18,0.461561312
235,235,7/1/05,14972.054,3,3,2005,2005_3,132.272,0.891333848
236,236,10/1/05,15066.597,4,4,2005,2005_4,94.543,0.631463125
237,237,1/1/06,15267.026,1,5,2006,2006_5,200.429,1.330287125
238,238,4/1/06,15302.705,2,6,2006,2006_6,35.679,0.23369974
239,239,7/1/06,15326.368,3,7,2006,2006_7,23.663,0.154632792
240,240,10/1/06,15456.928,4,8,2006,2006_8,130.56,0.85186523
241,241,1/1/07,15493.328,1,1,2007,2007_1,36.4,0.235493107
242,242,4/1/07,15582.085,2,2,2007,2007_2,88.757,0.5728724
243,243,7/1/07,15666.738,3,3,2007,2007_3,84.653,0.543271327
244,244,10/1/07,15761.967,4,4,2007,2007_4,95.229,0.607841913
245,245,1/1/08,15671.383,1,5,2008,2008_5,-90.584,-0.574699846
246,246,4/1/08,15752.308,2,6,2008,2008_6,80.925,0.516387099
247,247,7/1/08,15667.032,3,7,2008,2008_7,-85.276,-0.541355591
248,248,10/1/08,15328.027,4,8,2008,2008_8,-339.005,-2.163811244
249,249,1/1/09,15155.94,1,1,2009,2009_1,-172.087,-1.122695047
250,250,4/1/09,15134.117,2,2,2009,2009_2,-21.823,-0.143989749
251,251,7/1/09,15189.222,3,3,2009,2009_3,55.105,0.364111101
252,252,10/1/09,15356.058,4,4,2009,2009_4,166.836,1.098384104
253,253,1/1/10,15415.145,1,5,2010,2010_5,59.087,0.38477974
254,254,4/1/10,15557.277,2,6,2010,2010_6,142.132,0.922028304
255,255,7/1/10,15671.967,3,7,2010,2010_7,114.69,0.737211274
256,256,10/1/10,15750.625,4,8,2010,2010_8,78.658,0.501902537
257,257,1/1/11,15712.754,1,1,2011,2011_1,-37.871,-0.240441252
258,258,4/1/11,15825.096,2,2,2011,2011_2,112.342,0.714973327
259,259,7/1/11,15820.7,3,3,2011,2011_3,-4.396,-0.027778662
260,260,10/1/11,16004.107,4,4,2011,2011_4,183.407,1.159284987
261,261,1/1/12,16129.418,1,5,2012,2012_5,125.311,0.782992766
262,262,4/1/12,16198.807,2,6,2012,2012_6,69.389,0.430201511
263,263,7/1/12,16220.667,3,7,2012,2012_7,21.86,0.134948209
264,264,10/1/12,16239.138,4,8,2012,2012_8,18.471,0.113873246
265,265,1/1/13,16382.964,1,1,2013,2013_1,143.826,0.885675089
266,266,4/1/13,16403.18,2,2,2013,2013_2,20.216,0.123396475
267,267,7/1/13,16531.685,3,3,2013,2013_3,128.505,0.783415167
268,268,10/1/13,16663.649,4,4,2013,2013_4,131.964,0.798248938
269,269,1/1/14,16616.54,1,5,2014,2014_5,-47.109,-0.282705187
270,270,4/1/14,16841.475,2,6,2014,2014_6,224.935,1.353681332
271,271,7/1/14,17047.098,3,7,2014,2014_7,205.623,1.220932252
272,272,10/1/14,17143.038,4,8,2014,2014_8,95.94,0.562793738
273,273,1/1/15,17305.752,1,1,2015,2015_1,162.714,0.949154986
274,274,4/1/15,17422.845,2,2,2015,2015_2,117.093,0.676613186
275,275,7/1/15,17486.021,3,3,2015,2015_3,63.176,0.362604385
276,276,10/1/15,17514.062,4,4,2015,2015_4,28.041,0.160362383
277,277,1/1/16,17613.264,1,5,2016,2016_5,99.202,0.566413434
278,278,4/1/16,17668.203,2,6,2016,2016_6,54.939,0.311918336
279,279,7/1/16,17764.388,3,7,2016,2016_7,96.185,0.544396054
280,280,10/1/16,17876.179,4,8,2016,2016_8,111.791,0.629298347
281,281,1/1/17,17977.299,1,1,2017,2017_1,101.12,0.565668983
282,282,4/1/17,18054.052,2,2,2017,2017_2,76.753,0.426944003
283,283,7/1/17,18185.636,3,3,2017,2017_3,131.584,0.728833616
284,284,10/1/17,18359.432,4,4,2017,2017_4,173.796,0.955677327
285,285,1/1/18,18530.483,1,5,2018,2018_5,171.051,0.93167915
286,286,4/1/18,18654.383,2,6,2018,2018_6,123.9,0.668628011
287,287,7/1/18,18752.355,3,7,2018,2018_7,97.972,0.525195607
288,288,10/1/18,18813.923,4,8,2018,2018_8,61.568,0.328321429
289,289,1/1/19,18950.347,1,1,2019,2019_1,136.424,0.72512256
290,290,4/1/19,19020.599,2,2,2019,2019_2,70.252,0.370716167
291,291,7/1/19,19141.744,3,3,2019,2019_3,121.145,0.636914747
292,292,10/1/19,19253.959,4,4,2019,2019_4,112.215,0.58623185
293,293,1/1/20,19010.848,1,5,2020,2020_5,-243.111,-1.262654605
294,294,4/1/20,17205.822,2,6,2020,2020_6,-1805.026,-9.494715859
295,295,7/1/20,21170.3,3,7,2020,2020_7,3964.478,23.04149142
296,296,10/1/20,21479.5,4,8,2020,2020_8,309.2,1.460536695
297,297,1/1/21,22038.2,1,1,2021,2021_1,558.7,2.601084755
298,298,4/1/21,22741,2,2,2021,2021_2,702.8,3.189008177
299,299,7/1/21,23202.3,3,3,2021,2021_3,461.3,2.028494789
300,300,10/1/21,24002.8,4,4,2021,2021_4,800.5,3.450089
301,301,1/1/22,24386.7,1,5,2022,2022_5,383.9,1.599396737
302,302,4/1/22,24882.9,2,6,2022,2022_6,496.2,2.034715644
