"","District","cpr","cpr_num","inside_elections","inside_elections_num","crystal_ball","crystal_ball_num","avg"
"92","FL-05","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"93","FL-06","Lean Republican",5,"Lean Republican",5,"Lean Republican",5,5
"94","FL-07","Likely Democratic",2,"Solid Democratic",1,"Likely Democratic",2,1.66666666666667
"95","FL-08","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"96","FL-09","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"97","FL-10","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"98","FL-11","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"99","FL-12","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"100","FL-13","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"101","FL-14","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"102","FL-15","Toss-up",4,"Tilt Republican",4.5,"Lean Republican",5,4.5
"103","FL-16","Lean Republican",5,"Likely Republican",6,"Likely Republican",6,5.66666666666667
"104","FL-17","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"105","FL-18","Lean Republican",5,"Likely Republican",6,"Lean Republican",5,5.33333333333333
"106","FL-19","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"107","FL-20","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"108","FL-21","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"109","FL-22","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"110","FL-23","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"111","FL-24","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"112","FL-25","Lean Republican",5,"Solid Republican",7,"Likely Republican",6,6
"113","FL-26","Toss-up",4,"Toss-up",4,"Lean Republican",5,4.33333333333333
"114","FL-27","Lean Democratic",3,"Lean Democratic",3,"Lean Democratic",3,3
"115","GA-01","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"116","GA-02","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"117","GA-03","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"118","GA-04","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"119","GA-05","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"120","GA-06","Toss-up",4,"Lean Republican",5,"Lean Republican",5,4.66666666666667
"121","GA-07","Lean Republican",5,"Lean Republican",5,"Lean Republican",5,5
"122","GA-08","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"123","GA-09","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"124","GA-10","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"125","GA-11","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"126","GA-12","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"127","GA-13","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"128","GA-14","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"129","HI-01","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"130","HI-02","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"131","IA-01","Lean Democratic",3,"Lean Democratic",3,"Lean Democratic",3,3
"132","IA-02","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"133","IA-03","Toss-up",4,"Toss-up",4,"Lean Democratic",3,3.66666666666667
"134","IA-04","Lean Republican",5,"Likely Republican",6,"Lean Republican",5,5.33333333333333
"135","ID-01","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"136","ID-02","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"137","IL-01","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"138","IL-02","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"139","IL-03","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"140","IL-04","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"141","IL-05","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"142","IL-06","Lean Democratic",3,"Tilt Democratic",3.5,"Lean Democratic",3,3.16666666666667
"143","IL-07","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"144","IL-08","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"145","IL-09","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"146","IL-10","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"147","IL-11","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"148","IL-12","Lean Republican",5,"Tilt Republican",4.5,"Lean Republican",5,4.83333333333333
"149","IL-13","Lean Republican",5,"Lean Republican",5,"Lean Republican",5,5
"150","IL-14","Toss-up",4,"Toss-up",4,"Lean Democratic",3,3.66666666666667
"151","IL-15","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"152","IL-16","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"153","IL-17","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"154","IL-18","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"155","IN-01","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"156","IN-02","Likely Republican",6,"Likely Republican",6,"Likely Republican",6,6
"157","IN-03","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"158","IN-04","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"159","IN-05","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"160","IN-06","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"161","IN-07","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"162","IN-08","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"163","IN-09","Solid Republican",7,"Solid Republican",7,"Likely Republican",6,6.66666666666667
"164","KS-01","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"165","KS-02","Toss-up",4,"Toss-up",4,"Lean Democratic",3,3.66666666666667
"166","KS-03","Lean Democratic",3,"Lean Democratic",3,"Lean Democratic",3,3
"167","KS-04","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"168","KY-01","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"169","KY-02","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"170","KY-03","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"171","KY-04","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"172","KY-05","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"173","KY-06","Toss-up",4,"Toss-up",4,"Lean Republican",5,4.33333333333333
"174","LA-01","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"175","LA-02","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"176","LA-03","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"177","LA-04","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"178","LA-05","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"179","LA-06","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"180","MA-01","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"181","MA-02","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"182","MA-03","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"183","MA-04","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"184","MA-05","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"185","MA-06","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"186","MA-07","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"187","MA-08","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"188","MA-09","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"189","MD-01","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"190","MD-02","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"191","MD-03","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"192","MD-04","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"193","MD-05","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"194","MD-06","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"195","MD-07","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"196","MD-08","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"197","ME-01","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"198","ME-02","Toss-up",4,"Toss-up",4,"Lean Democratic",3,3.66666666666667
"199","MI-01","Likely Republican",6,"Solid Republican",7,"Likely Republican",6,6.33333333333333
"200","MI-02","Solid Republican",7,"Solid Republican",7,"Likely Republican",6,6.66666666666667
"201","MI-03","Likely Republican",6,"Solid Republican",7,"Likely Republican",6,6.33333333333333
"202","MI-04","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"203","MI-05","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"204","MI-06","Lean Republican",5,"Likely Republican",6,"Lean Republican",5,5.33333333333333
"205","MI-07","Likely Republican",6,"Likely Republican",6,"Likely Republican",6,6
"206","MI-08","Toss-up",4,"Toss-up",4,"Lean Democratic",3,3.66666666666667
"207","MI-09","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"208","MI-10","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"209","MI-11","Lean Democratic",3,"Tilt Democratic",3.5,"Lean Democratic",3,3.16666666666667
"210","MI-12","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"211","MI-13","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"212","MI-14","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"213","MN-01","Toss-up",4,"Toss-up",4,"Lean Democratic",3,3.66666666666667
"214","MN-02","Lean Democratic",3,"Tilt Democratic",3.5,"Lean Democratic",3,3.16666666666667
"215","MN-03","Lean Democratic",3,"Tilt Democratic",3.5,"Lean Democratic",3,3.16666666666667
"216","MN-04","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"217","MN-05","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"218","MN-06","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"219","MN-07","Likely Democratic",2,"Solid Democratic",1,"Likely Democratic",2,1.66666666666667
"220","MN-08","Lean Republican",5,"Lean Republican",5,"Lean Republican",5,5
"221","MO-01","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"222","MO-02","Lean Republican",5,"Solid Republican",7,"Likely Republican",6,6
"223","MO-03","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"224","MO-04","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"225","MO-05","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"226","MO-06","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"227","MO-07","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"228","MO-08","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"229","MS-01","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"230","MS-02","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"231","MS-03","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"232","MS-04","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"233","MT-01","Lean Republican",5,"Likely Republican",6,"Lean Republican",5,5.33333333333333
"234","NC-01","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"235","NC-02","Lean Republican",5,"Lean Republican",5,"Lean Republican",5,5
"236","NC-03","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"237","NC-04","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"238","NC-05","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"239","NC-06","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"240","NC-07","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"241","NC-08","Likely Republican",6,"Solid Republican",7,"Likely Republican",6,6.33333333333333
"242","NC-09","Toss-up",4,"Toss-up",4,"Lean Democratic",3,3.66666666666667
"243","NC-10","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"244","NC-11","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"245","NC-12","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"246","NC-13","Toss-up",4,"Tilt Republican",4.5,"Lean Republican",5,4.5
"247","ND-01","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"248","NE-01","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"249","NE-02","Lean Republican",5,"Lean Republican",5,"Lean Republican",5,5
"250","NE-03","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"251","NH-01","Likely Democratic",2,"Lean Democratic",3,"Likely Democratic",2,2.33333333333333
"252","NH-02","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"253","NJ-01","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"254","NJ-02","Likely Democratic",2,"Likely Democratic",2,"Safe Democratic",1,1.66666666666667
"255","NJ-03","Toss-up",4,"Tilt Democratic",3.5,"Lean Democratic",3,3.5
"256","NJ-04","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"257","NJ-05","Likely Democratic",2,"Solid Democratic",1,"Likely Democratic",2,1.66666666666667
"258","NJ-06","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"259","NJ-07","Toss-up",4,"Toss-up",4,"Lean Democratic",3,3.66666666666667
"260","NJ-08","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"261","NJ-09","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"262","NJ-10","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"263","NJ-11","Lean Democratic",3,"Lean Democratic",3,"Lean Democratic",3,3
"264","NJ-12","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"265","NM-01","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"266","NM-02","Toss-up",4,"Tilt Republican",4.5,"Lean Democratic",3,3.83333333333333
"267","NM-03","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"268","NV-01","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"269","NV-02","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"270","NV-03","Lean Democratic",3,"Tilt Democratic",3.5,"Lean Democratic",3,3.16666666666667
"271","NV-04","Lean Democratic",3,"Lean Democratic",3,"Likely Democratic",2,2.66666666666667
"272","NY-01","Likely Republican",6,"Solid Republican",7,"Lean Republican",5,6
"273","NY-02","Likely Republican",6,"Solid Republican",7,"Likely Republican",6,6.33333333333333
"274","NY-03","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"275","NY-04","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"276","NY-05","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"277","NY-06","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"278","NY-07","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"279","NY-08","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"280","NY-09","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"281","NY-10","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"282","NY-11","Lean Republican",5,"Lean Republican",5,"Lean Republican",5,5
"283","NY-12","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"284","NY-13","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"285","NY-14","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"286","NY-15","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"287","NY-16","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"288","NY-17","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"289","NY-18","Solid Democratic",1,"Solid Democratic",1,"Likely Democratic",2,1.33333333333333
"290","NY-19","Toss-up",4,"Tilt Democratic",3.5,"Lean Democratic",3,3.5
"291","NY-20","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"292","NY-21","Likely Republican",6,"Solid Republican",7,"Likely Republican",6,6.33333333333333
"293","NY-22","Toss-up",4,"Tilt Democratic",3.5,"Lean Democratic",3,3.5
"294","NY-23","Likely Republican",6,"Solid Republican",7,"Likely Republican",6,6.33333333333333
"295","NY-24","Lean Republican",5,"Lean Republican",5,"Lean Republican",5,5
"296","NY-25","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"297","NY-26","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"298","NY-27","Lean Republican",5,"Lean Republican",5,"Lean Republican",5,5
"299","OH-01","Lean Republican",5,"Tilt Republican",4.5,"Lean Republican",5,4.83333333333333
"300","OH-02","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"301","OH-03","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"302","OH-04","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"303","OH-05","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"304","OH-06","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"305","OH-07","Solid Republican",7,"Solid Republican",7,"Likely Republican",6,6.66666666666667
"306","OH-08","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"307","OH-09","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"308","OH-10","Likely Republican",6,"Solid Republican",7,"Likely Republican",6,6.33333333333333
"309","OH-11","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"310","OH-12","Toss-up",4,"Toss-up",4,"Lean Republican",5,4.33333333333333
"311","OH-13","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"312","OH-14","Likely Republican",6,"Likely Republican",6,"Lean Republican",5,5.66666666666667
"313","OH-15","Solid Republican",7,"Solid Republican",7,"Likely Republican",6,6.66666666666667
"314","OH-16","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"315","OK-01","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"316","OK-02","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"317","OK-03","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"318","OK-04","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"319","OK-05","Likely Republican",6,"Solid Republican",7,"Likely Republican",6,6.33333333333333
"320","OR-01","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"321","OR-02","Solid Republican",7,"Solid Republican",7,"Safe Republican",7,7
"322","OR-03","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"323","OR-04","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"324","OR-05","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"325","PA-01","Toss-up",4,"Toss-up",4,"Lean Republican",5,4.33333333333333
"326","PA-02","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"327","PA-03","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"328","PA-04","Solid Democratic",1,"Solid Democratic",1,"Safe Democratic",1,1
"329","PA-05","Likely Democratic",2,"Likely Democratic",2,"Safe Democratic",1,1.66666666666667
"330","PA-06","Likely Democratic",2,"Likely Democratic",2,"Safe Democratic",1,1.66666666666667
"331","PA-07","Lean Democratic",3,"Lean Democratic",3,"Lean Democratic",3,3
