"","...1.x","date","year","quarter_yr","quarter_cycle","year_qt","DSPIC_qt","DSPIC_change_qt","DSPIC_change_pct","...1.y","AreaAll","R_seats","D_seats","Other_seats","total_votes","R_votes","D_votes","Other_votes","winning_vote_margin","winner_party","R_totalvote_pct","D_totalvote_pct","Other_totalvote_pct","R_majorvote_pct","D_majorvote_pct","president_party","H_incumbent_party_winner","H_incumbent_party_majorvote_pct","H_incumbent_party"
"12",24,"10/1/64",1964,4,8,"1964_8",8441.6,95.1,1.139399748,9,"United State",140,295,4,73565373,30997556,41545599,1022218,10548043,"D",42.14,56.47,1.39,42.73,57.27,"D",TRUE,57.27,"D"
"13",29,"1/1/66",1966,1,5,"1966_5",9141.7,89.7,0.990941228,10,"United State",187,248,3,53199376,25700061,26596037,903278,895976,"D",48.31,49.99,1.7,49.14,50.86,"D",TRUE,50.86,"D"
"14",30,"4/1/66",1966,2,6,"1966_6",9165.8,24.1,0.263627115,10,"United State",187,248,3,53199376,25700061,26596037,903278,895976,"D",48.31,49.99,1.7,49.14,50.86,"D",TRUE,50.86,"D"
"15",31,"7/1/66",1966,3,7,"1966_7",9277.8,112,1.22193371,10,"United State",187,248,3,53199376,25700061,26596037,903278,895976,"D",48.31,49.99,1.7,49.14,50.86,"D",TRUE,50.86,"D"
"16",32,"10/1/66",1966,4,8,"1966_8",9386.5,108.7,1.17161396,10,"United State",187,248,3,53199376,25700061,26596037,903278,895976,"D",48.31,49.99,1.7,49.14,50.86,"D",TRUE,50.86,"D"
"17",37,"1/1/68",1968,1,5,"1968_5",9928.6,162.6,1.664960066,11,"United State",192,243,0,66455377,32183586,33395717,876074,1212131,"D",48.43,50.25,1.32,49.08,50.92,"R",TRUE,50.92,"D"
"18",38,"4/1/68",1968,2,6,"1968_6",10092.1,163.5,1.646757851,11,"United State",192,243,0,66455377,32183586,33395717,876074,1212131,"D",48.43,50.25,1.32,49.08,50.92,"R",TRUE,50.92,"D"
"19",39,"7/1/68",1968,3,7,"1968_7",10124.4,32.3,0.320052318,11,"United State",192,243,0,66455377,32183586,33395717,876074,1212131,"D",48.43,50.25,1.32,49.08,50.92,"R",TRUE,50.92,"D"
"20",40,"10/1/68",1968,4,8,"1968_8",10202.6,78.2,0.77239145,11,"United State",192,243,0,66455377,32183586,33395717,876074,1212131,"D",48.43,50.25,1.32,49.08,50.92,"R",TRUE,50.92,"D"
"21",45,"1/1/70",1970,1,5,"1970_5",10730.7,111.6,1.05093652,12,"United State",180,255,0,54147415,24414855,28921540,811020,4506685,"D",45.09,53.41,1.5,45.78,54.22,"R",TRUE,54.22,"D"
"22",46,"4/1/70",1970,2,6,"1970_6",10863.2,132.5,1.234774991,12,"United State",180,255,0,54147415,24414855,28921540,811020,4506685,"D",45.09,53.41,1.5,45.78,54.22,"R",TRUE,54.22,"D"
"23",47,"7/1/70",1970,3,7,"1970_7",11036.8,173.6,1.598055821,12,"United State",180,255,0,54147415,24414855,28921540,811020,4506685,"D",45.09,53.41,1.5,45.78,54.22,"R",TRUE,54.22,"D"
"24",48,"10/1/70",1970,4,8,"1970_8",11010.3,-26.5,-0.240105828,12,"United State",180,255,0,54147415,24414855,28921540,811020,4506685,"D",45.09,53.41,1.5,45.78,54.22,"R",TRUE,54.22,"D"
"25",53,"1/1/72",1972,1,5,"1972_5",11639.7,53.1,0.458288022,13,"United State",192,242,1,71254917,33160947,37120058,973912,3959111,"D",46.54,52.09,1.37,47.18,52.82,"R",TRUE,52.82,"D"
"26",54,"4/1/72",1972,2,6,"1972_6",11760.5,120.8,1.037827435,13,"United State",192,242,1,71254917,33160947,37120058,973912,3959111,"D",46.54,52.09,1.37,47.18,52.82,"R",TRUE,52.82,"D"
"27",55,"7/1/72",1972,3,7,"1972_7",11989.2,228.7,1.944645211,13,"United State",192,242,1,71254917,33160947,37120058,973912,3959111,"D",46.54,52.09,1.37,47.18,52.82,"R",TRUE,52.82,"D"
"28",56,"10/1/72",1972,4,8,"1972_8",12469.7,480.5,4.007773663,13,"United State",192,242,1,71254917,33160947,37120058,973912,3959111,"D",46.54,52.09,1.37,47.18,52.82,"R",TRUE,52.82,"D"
"29",61,"1/1/74",1974,1,5,"1974_5",12653.8,-213,-1.65542326,14,"United State",144,291,0,52324462,21286921,30089520,948021,8802599,"D",40.68,57.51,1.81,41.43,58.57,"R",TRUE,58.57,"D"
"30",62,"4/1/74",1974,2,6,"1974_6",12535.8,-118,-0.932526198,14,"United State",144,291,0,52324462,21286921,30089520,948021,8802599,"D",40.68,57.51,1.81,41.43,58.57,"R",TRUE,58.57,"D"
"31",63,"7/1/74",1974,3,7,"1974_7",12547,11.2,0.089344118,14,"United State",144,291,0,52324462,21286921,30089520,948021,8802599,"D",40.68,57.51,1.81,41.43,58.57,"R",TRUE,58.57,"D"
"32",64,"10/1/74",1974,4,8,"1974_8",12530,-17,-0.135490556,14,"United State",144,291,0,52324462,21286921,30089520,948021,8802599,"D",40.68,57.51,1.81,41.43,58.57,"R",TRUE,58.57,"D"
"33",69,"1/1/76",1976,1,5,"1976_5",13157.6,156.5,1.203744299,15,"United State",143,292,0,74256718,31241822,41742193,1272703,10500371,"D",42.07,56.21,1.71,42.81,57.19,"D",TRUE,57.19,"D"
"34",70,"4/1/76",1976,2,6,"1976_6",13232.4,74.8,0.568492734,15,"United State",143,292,0,74256718,31241822,41742193,1272703,10500371,"D",42.07,56.21,1.71,42.81,57.19,"D",TRUE,57.19,"D"
"35",71,"7/1/76",1976,3,7,"1976_7",13335.7,103.3,0.780659593,15,"United State",143,292,0,74256718,31241822,41742193,1272703,10500371,"D",42.07,56.21,1.71,42.81,57.19,"D",TRUE,57.19,"D"
"36",72,"10/1/76",1976,4,8,"1976_8",13420.4,84.7,0.635137263,15,"United State",143,292,0,74256718,31241822,41742193,1272703,10500371,"D",42.07,56.21,1.71,42.81,57.19,"D",TRUE,57.19,"D"
"37",77,"1/1/78",1978,1,5,"1978_5",14138.8,110.3,0.786256549,16,"United State",158,277,0,55261245,24891165,29587800,782280,4696635,"D",45.04,53.54,1.42,45.69,54.31,"D",TRUE,54.31,"D"
"38",78,"4/1/78",1978,2,6,"1978_6",14288.5,149.7,1.058788582,16,"United State",158,277,0,55261245,24891165,29587800,782280,4696635,"D",45.04,53.54,1.42,45.69,54.31,"D",TRUE,54.31,"D"
"39",79,"7/1/78",1978,3,7,"1978_7",14399.4,110.9,0.776148651,16,"United State",158,277,0,55261245,24891165,29587800,782280,4696635,"D",45.04,53.54,1.42,45.69,54.31,"D",TRUE,54.31,"D"
"40",80,"10/1/78",1978,4,8,"1978_8",14494.2,94.8,0.658360765,16,"United State",158,277,0,55261245,24891165,29587800,782280,4696635,"D",45.04,53.54,1.42,45.69,54.31,"D",TRUE,54.31,"D"
"41",85,"1/1/80",1980,1,5,"1980_5",14678.9,50.5,0.345218889,17,"United State",192,242,1,77865321,37320299,39289061,1255961,1968762,"D",47.93,50.46,1.61,48.72,51.28,"R",TRUE,51.28,"D"
"42",86,"4/1/80",1980,2,6,"1980_6",14550.2,-128.7,-0.876768695,17,"United State",192,242,1,77865321,37320299,39289061,1255961,1968762,"D",47.93,50.46,1.61,48.72,51.28,"R",TRUE,51.28,"D"
"43",87,"7/1/80",1980,3,7,"1980_7",14713.5,163.3,1.122321343,17,"United State",192,242,1,77865321,37320299,39289061,1255961,1968762,"D",47.93,50.46,1.61,48.72,51.28,"R",TRUE,51.28,"D"
"44",88,"10/1/80",1980,4,8,"1980_8",14916,202.5,1.376287083,17,"United State",192,242,1,77865321,37320299,39289061,1255961,1968762,"D",47.93,50.46,1.61,48.72,51.28,"R",TRUE,51.28,"D"
"45",93,"1/1/82",1982,1,5,"1982_5",15287.9,36.8,0.241294071,18,"United State",166,269,1,64362196,27796580,35588614,977002,7792034,"D",43.19,55.29,1.52,43.85,56.15,"R",TRUE,56.15,"D"
"46",94,"4/1/82",1982,2,6,"1982_6",15380.3,92.4,0.604399558,18,"United State",166,269,1,64362196,27796580,35588614,977002,7792034,"D",43.19,55.29,1.52,43.85,56.15,"R",TRUE,56.15,"D"
"47",95,"7/1/82",1982,3,7,"1982_7",15454,73.7,0.479184411,18,"United State",166,269,1,64362196,27796580,35588614,977002,7792034,"D",43.19,55.29,1.52,43.85,56.15,"R",TRUE,56.15,"D"
"48",96,"10/1/82",1982,4,8,"1982_8",15502.5,48.5,0.313834606,18,"United State",166,269,1,64362196,27796580,35588614,977002,7792034,"D",43.19,55.29,1.52,43.85,56.15,"R",TRUE,56.15,"D"
"49",101,"1/1/84",1984,1,5,"1984_5",16675.9,326.1,1.994519811,19,"United State",182,253,0,82995246,38894020,43371948,729278,4477928,"D",46.86,52.26,0.88,47.28,52.72,"R",TRUE,52.72,"D"
"50",102,"4/1/84",1984,2,6,"1984_6",16953.4,277.5,1.664078101,19,"United State",182,253,0,82995246,38894020,43371948,729278,4477928,"D",46.86,52.26,0.88,47.28,52.72,"R",TRUE,52.72,"D"
"51",103,"7/1/84",1984,3,7,"1984_7",17177.2,223.8,1.320089186,19,"United State",182,253,0,82995246,38894020,43371948,729278,4477928,"D",46.86,52.26,0.88,47.28,52.72,"R",TRUE,52.72,"D"
"52",104,"10/1/84",1984,4,8,"1984_8",17317.4,140.2,0.816198216,19,"United State",182,253,0,82995246,38894020,43371948,729278,4477928,"D",46.86,52.26,0.88,47.28,52.72,"R",TRUE,52.72,"D"
"53",109,"1/1/86",1986,1,5,"1986_5",17972.5,233.2,1.314595277,20,"United State",177,258,0,59899733,26599585,32758176,541972,6158591,"D",44.41,54.69,0.9,44.81,55.19,"R",TRUE,55.19,"D"
"54",110,"4/1/86",1986,2,6,"1986_6",18202.3,229.8,1.278620114,20,"United State",177,258,0,59899733,26599585,32758176,541972,6158591,"D",44.41,54.69,0.9,44.81,55.19,"R",TRUE,55.19,"D"
"55",111,"7/1/86",1986,3,7,"1986_7",18318.7,116.4,0.639479626,20,"United State",177,258,0,59899733,26599585,32758176,541972,6158591,"D",44.41,54.69,0.9,44.81,55.19,"R",TRUE,55.19,"D"
"56",112,"10/1/86",1986,4,8,"1986_8",18346.4,27.7,0.151211603,20,"United State",177,258,0,59899733,26599585,32758176,541972,6158591,"D",44.41,54.69,0.9,44.81,55.19,"R",TRUE,55.19,"D"
"57",117,"1/1/88",1988,1,5,"1988_5",19199.7,277.7,1.467603847,21,"United State",175,260,0,82022316,37305980,43793276,923060,6487296,"D",45.48,53.39,1.13,46,54,"R",TRUE,54,"D"
"58",118,"4/1/88",1988,2,6,"1988_6",19397.4,197.7,1.029703589,21,"United State",175,260,0,82022316,37305980,43793276,923060,6487296,"D",45.48,53.39,1.13,46,54,"R",TRUE,54,"D"
"59",119,"7/1/88",1988,3,7,"1988_7",19584.6,187.2,0.965077794,21,"United State",175,260,0,82022316,37305980,43793276,923060,6487296,"D",45.48,53.39,1.13,46,54,"R",TRUE,54,"D"
"60",120,"10/1/88",1988,4,8,"1988_8",19769.6,185,0.944619752,21,"United State",175,260,0,82022316,37305980,43793276,923060,6487296,"D",45.48,53.39,1.13,46,54,"R",TRUE,54,"D"
"61",125,"1/1/90",1990,1,5,"1990_5",20393.3,155.3,0.767368317,22,"United State",167,267,1,62407173,28052184,33052166,1302823,4999982,"D",44.95,52.96,2.09,45.91,54.09,"R",TRUE,54.09,"D"
"62",126,"4/1/90",1990,2,6,"1990_6",20535.3,142,0.69630712,22,"United State",167,267,1,62407173,28052184,33052166,1302823,4999982,"D",44.95,52.96,2.09,45.91,54.09,"R",TRUE,54.09,"D"
"63",127,"7/1/90",1990,3,7,"1990_7",20528.4,-6.9,-0.033600678,22,"United State",167,267,1,62407173,28052184,33052166,1302823,4999982,"D",44.95,52.96,2.09,45.91,54.09,"R",TRUE,54.09,"D"
"64",128,"10/1/90",1990,4,8,"1990_8",20352.9,-175.5,-0.854913193,22,"United State",167,267,1,62407173,28052184,33052166,1302823,4999982,"D",44.95,52.96,2.09,45.91,54.09,"R",TRUE,54.09,"D"
"65",133,"1/1/92",1992,1,5,"1992_5",21227.3,418.8,2.012639066,23,"United State",176,258,1,95216606,43257458,48511831,3447317,5254373,"D",45.43,50.95,3.62,47.14,52.86,"D",TRUE,52.86,"D"
"66",134,"4/1/92",1992,2,6,"1992_6",21437.8,210.5,0.991647548,23,"United State",176,258,1,95216606,43257458,48511831,3447317,5254373,"D",45.43,50.95,3.62,47.14,52.86,"D",TRUE,52.86,"D"
"67",135,"7/1/92",1992,3,7,"1992_7",21537.4,99.6,0.464599912,23,"United State",176,258,1,95216606,43257458,48511831,3447317,5254373,"D",45.43,50.95,3.62,47.14,52.86,"D",TRUE,52.86,"D"
"68",136,"10/1/92",1992,4,8,"1992_8",21635,97.6,0.453165192,23,"United State",176,258,1,95216606,43257458,48511831,3447317,5254373,"D",45.43,50.95,3.62,47.14,52.86,"D",TRUE,52.86,"D"
"69",141,"1/1/94",1994,1,5,"1994_5",22099,145.2,0.661388917,24,"United State",230,204,1,70763202,37099921,32124517,1538764,4975404,"R",52.43,45.4,2.17,53.59,46.41,"D",FALSE,46.41,"D"
"70",142,"4/1/94",1994,2,6,"1994_6",22321.4,222.4,1.006380379,24,"United State",230,204,1,70763202,37099921,32124517,1538764,4975404,"R",52.43,45.4,2.17,53.59,46.41,"D",FALSE,46.41,"D"
"71",143,"7/1/94",1994,3,7,"1994_7",22451.8,130.4,0.584192748,24,"United State",230,204,1,70763202,37099921,32124517,1538764,4975404,"R",52.43,45.4,2.17,53.59,46.41,"D",FALSE,46.41,"D"
"72",144,"10/1/94",1994,4,8,"1994_8",22773.8,322,1.434183451,24,"United State",230,204,1,70763202,37099921,32124517,1538764,4975404,"R",52.43,45.4,2.17,53.59,46.41,"D",FALSE,46.41,"D"
"73",149,"1/1/96",1996,1,5,"1996_5",23602,221.4,0.946938915,25,"United State",226,207,2,88217606,42842236,43110112,2265258,267876,"D",48.56,48.87,2.57,49.84,50.16,"D",FALSE,49.84,"R"
"74",150,"4/1/96",1996,2,6,"1996_6",23818.2,216.2,0.916024066,25,"United State",226,207,2,88217606,42842236,43110112,2265258,267876,"D",48.56,48.87,2.57,49.84,50.16,"D",FALSE,49.84,"R"
"75",151,"7/1/96",1996,3,7,"1996_7",24011.1,192.9,0.809884878,25,"United State",226,207,2,88217606,42842236,43110112,2265258,267876,"D",48.56,48.87,2.57,49.84,50.16,"D",FALSE,49.84,"R"
"76",152,"10/1/96",1996,4,8,"1996_8",24139.1,128,0.533086781,25,"United State",226,207,2,88217606,42842236,43110112,2265258,267876,"D",48.56,48.87,2.57,49.84,50.16,"D",FALSE,49.84,"R"
"77",157,"1/1/98",1998,1,5,"1998_5",25772,531.3,2.104933698,26,"United State",223,211,1,65896772,32254557,31482036,2160179,772521,"R",48.95,47.77,3.28,50.61,49.39,"D",FALSE,49.39,"D"
"78",158,"4/1/98",1998,2,6,"1998_6",26126.4,354.4,1.375135806,26,"United State",223,211,1,65896772,32254557,31482036,2160179,772521,"R",48.95,47.77,3.28,50.61,49.39,"D",FALSE,49.39,"D"
"79",159,"7/1/98",1998,3,7,"1998_7",26389.6,263.2,1.007410129,26,"United State",223,211,1,65896772,32254557,31482036,2160179,772521,"R",48.95,47.77,3.28,50.61,49.39,"D",FALSE,49.39,"D"
"80",160,"10/1/98",1998,4,8,"1998_8",26598.6,209,0.791978658,26,"United State",223,211,1,65896772,32254557,31482036,2160179,772521,"R",48.95,47.77,3.28,50.61,49.39,"D",FALSE,49.39,"D"
"81",165,"1/1/00",2000,1,5,"2000_5",28016.2,526.5,1.915262808,27,"United State",221,212,2,97226268,46954281,46520851,3751136,433430,"R",48.29,47.85,3.86,50.23,49.77,"R",TRUE,50.23,"R"
"82",166,"4/1/00",2000,2,6,"2000_6",28325.7,309.5,1.104717985,27,"United State",221,212,2,97226268,46954281,46520851,3751136,433430,"R",48.29,47.85,3.86,50.23,49.77,"R",TRUE,50.23,"R"
"83",167,"7/1/00",2000,3,7,"2000_7",28654.9,329.2,1.162195462,27,"United State",221,212,2,97226268,46954281,46520851,3751136,433430,"R",48.29,47.85,3.86,50.23,49.77,"R",TRUE,50.23,"R"
"84",168,"10/1/00",2000,4,8,"2000_8",28757.2,102.3,0.357007004,27,"United State",221,212,2,97226268,46954281,46520851,3751136,433430,"R",48.29,47.85,3.86,50.23,49.77,"R",TRUE,50.23,"R"
"85",173,"1/1/02",2002,1,5,"2002_5",29920.6,659.6,2.254195004,28,"United State",229,204,1,73449133,37387921,33758288,2302924,3629633,"R",50.9,45.96,3.14,52.55,47.45,"R",TRUE,52.55,"R"
"86",174,"4/1/02",2002,2,6,"2002_6",30123.1,202.5,0.676791241,28,"United State",229,204,1,73449133,37387921,33758288,2302924,3629633,"R",50.9,45.96,3.14,52.55,47.45,"R",TRUE,52.55,"R"
"87",175,"7/1/02",2002,3,7,"2002_7",30096.8,-26.3,-0.087308411,28,"United State",229,204,1,73449133,37387921,33758288,2302924,3629633,"R",50.9,45.96,3.14,52.55,47.45,"R",TRUE,52.55,"R"
"88",176,"10/1/02",2002,4,8,"2002_8",30275.5,178.7,0.593750831,28,"United State",229,204,1,73449133,37387921,33758288,2302924,3629633,"R",50.9,45.96,3.14,52.55,47.45,"R",TRUE,52.55,"R"
"89",181,"1/1/04",2004,1,5,"2004_5",31462.2,144.3,0.460758863,29,"United State",232,202,1,111619190,55956623,52971423,2691144,2985200,"R",50.13,47.46,2.41,51.37,48.63,"R",TRUE,51.37,"R"
"90",182,"4/1/04",2004,2,6,"2004_6",31822.5,360.3,1.145183744,29,"United State",232,202,1,111619190,55956623,52971423,2691144,2985200,"R",50.13,47.46,2.41,51.37,48.63,"R",TRUE,51.37,"R"
"91",183,"7/1/04",2004,3,7,"2004_7",32030.5,208,0.653625579,29,"United State",232,202,1,111619190,55956623,52971423,2691144,2985200,"R",50.13,47.46,2.41,51.37,48.63,"R",TRUE,51.37,"R"
"92",184,"10/1/04",2004,4,8,"2004_8",32434.6,404.1,1.261610028,29,"United State",232,202,1,111619190,55956623,52971423,2691144,2985200,"R",50.13,47.46,2.41,51.37,48.63,"R",TRUE,51.37,"R"
"93",189,"1/1/06",2006,1,5,"2006_5",33509.8,639.1,1.944284728,30,"United State",202,233,0,80051355,35884573,42281320,1885462,6396747,"D",44.83,52.82,2.36,45.91,54.09,"R",FALSE,45.91,"R"
"94",190,"4/1/06",2006,2,6,"2006_6",33591.3,81.5,0.243212433,30,"United State",202,233,0,80051355,35884573,42281320,1885462,6396747,"D",44.83,52.82,2.36,45.91,54.09,"R",FALSE,45.91,"R"
"95",191,"7/1/06",2006,3,7,"2006_7",33678.4,87.1,0.259293329,30,"United State",202,233,0,80051355,35884573,42281320,1885462,6396747,"D",44.83,52.82,2.36,45.91,54.09,"R",FALSE,45.91,"R"
"96",192,"10/1/06",2006,4,8,"2006_8",34122.9,444.5,1.319837047,30,"United State",202,233,0,80051355,35884573,42281320,1885462,6396747,"D",44.83,52.82,2.36,45.91,54.09,"R",FALSE,45.91,"R"
"97",197,"1/1/08",2008,1,5,"2008_5",34651.4,95.9,0.277524562,31,"United State",178,256,0,120720320,52187151,65247248,3285921,13060097,"D",43.23,54.05,2.72,44.44,55.56,"D",TRUE,55.56,"D"
"98",198,"4/1/08",2008,2,6,"2008_6",35284.5,633.1,1.827054607,31,"United State",178,256,0,120720320,52187151,65247248,3285921,13060097,"D",43.23,54.05,2.72,44.44,55.56,"D",TRUE,55.56,"D"
"99",199,"7/1/08",2008,3,7,"2008_7",34544.1,-740.4,-2.098371806,31,"United State",178,256,0,120720320,52187151,65247248,3285921,13060097,"D",43.23,54.05,2.72,44.44,55.56,"D",TRUE,55.56,"D"
"100",200,"10/1/08",2008,4,8,"2008_8",34845.9,301.8,0.873665836,31,"United State",178,256,0,120720320,52187151,65247248,3285921,13060097,"D",43.23,54.05,2.72,44.44,55.56,"D",TRUE,55.56,"D"
"101",205,"1/1/10",2010,1,5,"2010_5",34858.2,195,0.562556256,32,"United State",242,193,0,83583446,43288427,37663261,2631758,5625166,"R",51.79,45.06,3.15,53.47,46.53,"D",FALSE,46.53,"D"
"102",206,"4/1/10",2010,2,6,"2010_6",35432.6,574.4,1.647818878,32,"United State",242,193,0,83583446,43288427,37663261,2631758,5625166,"R",51.79,45.06,3.15,53.47,46.53,"D",FALSE,46.53,"D"
"103",207,"7/1/10",2010,3,7,"2010_7",35684.7,252.1,0.711491677,32,"United State",242,193,0,83583446,43288427,37663261,2631758,5625166,"R",51.79,45.06,3.15,53.47,46.53,"D",FALSE,46.53,"D"
"104",208,"10/1/10",2010,4,8,"2010_8",35884.6,199.9,0.560184056,32,"United State",242,193,0,83583446,43288427,37663261,2631758,5625166,"R",51.79,45.06,3.15,53.47,46.53,"D",FALSE,46.53,"D"
"105",213,"1/1/12",2012,1,5,"2012_5",37124,682.1,1.871746534,33,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,"D",FALSE,49.39,"R"
"106",214,"4/1/12",2012,2,6,"2012_6",37461.7,337.7,0.909654132,33,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,"D",FALSE,49.39,"R"
"107",215,"7/1/12",2012,3,7,"2012_7",37193.7,-268,-0.715397326,33,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,"D",FALSE,49.39,"R"
"108",216,"10/1/12",2012,4,8,"2012_8",38223.8,1030.1,2.769555059,33,"United State",234,200,0,121136773,58141241,59586011,3409521,1444770,"D",48,49.19,2.81,49.39,50.61,"D",FALSE,49.39,"R"
"109",221,"1/1/14",2014,1,5,"2014_5",37793.7,519.4,1.393453398,34,"United State",247,188,0,77889271,40029863,35628989,2230419,4400874,"R",51.39,45.74,2.86,52.91,47.09,"D",FALSE,47.09,"D"
"110",222,"4/1/14",2014,2,6,"2014_6",38307.8,514.1,1.360279623,34,"United State",247,188,0,77889271,40029863,35628989,2230419,4400874,"R",51.39,45.74,2.86,52.91,47.09,"D",FALSE,47.09,"D"
"111",223,"7/1/14",2014,3,7,"2014_7",38755,447.2,1.167386276,34,"United State",247,188,0,77889271,40029863,35628989,2230419,4400874,"R",51.39,45.74,2.86,52.91,47.09,"D",FALSE,47.09,"D"
"112",224,"10/1/14",2014,4,8,"2014_8",39267.4,512.4,1.32215198,34,"United State",247,188,0,77889271,40029863,35628989,2230419,4400874,"R",51.39,45.74,2.86,52.91,47.09,"D",FALSE,47.09,"D"
"113",229,"1/1/16",2016,1,5,"2016_5",40782.5,310.9,0.768193004,35,"United State",241,194,0,128377310,62977862,61730626,3668822,1247236,"R",49.06,48.09,2.86,50.5,49.5,"R",TRUE,50.5,"R"
"114",230,"4/1/16",2016,2,6,"2016_6",40755.7,-26.8,-0.065714461,35,"United State",241,194,0,128377310,62977862,61730626,3668822,1247236,"R",49.06,48.09,2.86,50.5,49.5,"R",TRUE,50.5,"R"
"115",231,"7/1/16",2016,3,7,"2016_7",40949.4,193.7,0.475270944,35,"United State",241,194,0,128377310,62977862,61730626,3668822,1247236,"R",49.06,48.09,2.86,50.5,49.5,"R",TRUE,50.5,"R"
"116",232,"10/1/16",2016,4,8,"2016_8",41204.5,255.1,0.622963951,35,"United State",241,194,0,128377310,62977862,61730626,3668822,1247236,"R",49.06,48.09,2.86,50.5,49.5,"R",TRUE,50.5,"R"
"117",237,"1/1/18",2018,1,5,"2018_5",43159.9,542.3,1.272478976,36,"United State",199,235,0,113985831,51117086,60860585,2008160,9743499,"D",44.85,53.39,1.76,45.65,54.35,"R",FALSE,45.65,"R"
"118",238,"4/1/18",2018,2,6,"2018_6",43540.8,380.9,0.882532165,36,"United State",199,235,0,113985831,51117086,60860585,2008160,9743499,"D",44.85,53.39,1.76,45.65,54.35,"R",FALSE,45.65,"R"
"119",239,"7/1/18",2018,3,7,"2018_7",43897.8,357,0.819920626,36,"United State",199,235,0,113985831,51117086,60860585,2008160,9743499,"D",44.85,53.39,1.76,45.65,54.35,"R",FALSE,45.65,"R"
"120",240,"10/1/18",2018,4,8,"2018_8",44196.8,299,0.681127528,36,"United State",199,235,0,113985831,51117086,60860585,2008160,9743499,"D",44.85,53.39,1.76,45.65,54.35,"R",FALSE,45.65,"R"
"121",245,"1/1/20",2020,1,5,"2020_5",45178.9,285.3,0.635502611,37,"United State",212,222,0,152701256,72916809,77430912,2353535,4514103,"D",47.75,50.71,1.54,48.5,51.5,"D",TRUE,51.5,"D"
"122",246,"4/1/20",2020,2,6,"2020_6",49572.2,4393.3,9.724229674,37,"United State",212,222,0,152701256,72916809,77430912,2353535,4514103,"D",47.75,50.71,1.54,48.5,51.5,"D",TRUE,51.5,"D"
"123",247,"7/1/20",2020,3,7,"2020_7",47349.2,-2223,-4.484368255,37,"United State",212,222,0,152701256,72916809,77430912,2353535,4514103,"D",47.75,50.71,1.54,48.5,51.5,"D",TRUE,51.5,"D"
