"","pollster","sponsors","display_name","fte_grade","start_date","end_date","sample_size","population","year","election_date","candidate_name","state","st_fips","cd_fips","st_cd_fips","dem_cand","rep_cand","DEM","REP"
"18","RMG Research","United States Term Limits","RMG Research","B-","7/21/22","7/28/22","400","lv","2022","11/8/22","Regan Deering","Illinois","17","13","1713","Sharice Davids","Regan Deering","45","36"
"19","RMG Research","United States Term Limits","RMG Research","B-","7/21/22","7/28/22","400","lv","2022","11/8/22","Amanda L. Adkins","Kansas","20","03","2003","Annette Taddeo","Amanda L. Adkins","34","46"
"20","Alvarado Strategies","Floridians for Economic Advancement","Alvarado Strategies",NA,"7/26/22","7/27/22","440","lv","2022","11/8/22","Marìa Elvira Salazar","Florida","12","27","1227","Jahana Hayes","Marìa Elvira Salazar","45","39"
"21","RMG Research","United States Term Limits","RMG Research","B-","7/20/22","7/26/22","400","lv","2022","11/8/22","George Logan","Connecticut","09","05","0905","Josh Harder","George Logan","38","37"
"22","RMG Research","United States Term Limits","RMG Research","B-","7/19/22","7/26/22","400","lv","2022","11/8/22","Tom Patti","California","06","09","0609","Angie Craig","Tom Patti","47","38"
"23","RMG Research","United States Term Limits","RMG Research","B-","7/19/22","7/26/22","400","lv","2022","11/8/22","Tyler Kistner","Minnesota","27","02","2702","Adam Frisch","Tyler Kistner","42","46"
"24","Keating Research",NA,"Keating Research","B/C","7/21/22","7/25/22","550","lv","2022","11/8/22","Lauren Boebert","Colorado","08","03","0803","Mary S. Peltola","Lauren Boebert","c(41.1, 45.3, 50.8)","49"
"25","Alaska Survey Research",NA,"Alaska Survey Research","B/C","7/20/22","7/25/22","1219","lv","2022","8/16/22","Sarah Palin","Alaska","02","01","0201","Mary S. Peltola","Sarah Palin","c(39.4, 41.9, 45.8, 52.5)","c(29.4, 49.2)"
"26","Alaska Survey Research",NA,"Alaska Survey Research","B/C","7/20/22","7/25/22","1253","lv","2022","11/8/22","Mary S. Peltola","Alaska","02","01","0201","Mary S. Peltola","Sarah Palin","c(39.4, 41.9, 45.8, 52.5)","c(26.9, 28.7, 47.6)"
"27","Alaska Survey Research",NA,"Alaska Survey Research","B/C","7/20/22","7/25/22","1253","lv","2022","11/8/22","Nick Begich","Alaska","02","01","0201","Gabriel Vasquez","Nick Begich","45","c(25.8, 29.4, 54.2)"
"28","Global Strategy Group",NA,"Global Strategy Group","B/C","7/19/22","7/25/22","500","lv","2022","11/8/22","Gabriel Vasquez","New Mexico","35","02","3502","Gabriel Vasquez","Yvette Herrell","45","44"
"29","Tarrance","Congressional Leadership Fund","Tarrance Group","B+","7/16/22","7/24/22","400","rv","2022","11/8/22","Jahana Hayes","Connecticut","09","05","0905","Jahana Hayes","George Logan","45","45"
"30","McLaughlin",NA,"McLaughlin & Associates","C/D","7/19/22","7/21/22","400","lv","2022","11/8/22","Sean Patrick Maloney","New York","36","17","3617","Sean Patrick Maloney","Michael V. Lawler","44","c(46, 47)"
"31","McLaughlin",NA,"McLaughlin & Associates","C/D","7/19/22","7/21/22","400","lv","2022","11/8/22","Alessandra Biaggi","New York","36","17","3617","Alessandra Biaggi","Erik Aadland","41","42"
"32","Meeting Street Insights","Congressional Leadership Fund","Meeting Street Insights","B/C","7/18/22","7/21/22","400","lv","2022","11/8/22","Erik Aadland","Colorado","08","07","0807","Liz Mathis","Erik Aadland","44","42"
"33","PPP",NA,"Public Policy Polling","A-","7/19/22","7/20/22","594","v","2022","11/8/22","Ashley Hinson","Iowa","19","02","1902","Asif Mahmood","Ashley Hinson","35","44"
"34","POS","NRCC","Public Opinion Strategies","A-","7/16/22","7/20/22","400","lv","2022","11/8/22","Young Kim","California","06","40","0640","Donald W. Norcross","Young Kim","49","51"
"35","Grassroots Targeting",NA,"Grassroots Targeting",NA,"7/13/22","7/19/22","625","lv","2022","11/8/22","Claire Gustafson","New Jersey","34","01","3401","Rudy Salas","Claire Gustafson","43","44"
"36","David Binder Research","DCCC","David Binder Research","B/C","7/13/22","7/15/22","600","lv","2022","11/8/22","David G. Valadao","California","06","22","0622","Joshua Alexander Lafazan","David G. Valadao","33","35"
"37","co/efficient",NA,"co/efficient","B/C","7/11/22","7/12/22","714","lv","2022","11/8/22","George A.D. Santos","New York","36","03","3603","Cindy Axne","George A.D. Santos","43","44"
"38","Moore Information","NRCC","Moore Information","B/C","7/9/22","7/11/22","400","lv","2022","11/8/22","Zach Nunn","Iowa","19","03","1903","Dina Titus","Zach Nunn","41.1","43"
"39","Emerson College Polling Society","KLAS-TV Las Vegas | The Hill","Emerson College","A-","7/7/22","7/10/22","500","rv","2022","11/8/22","Mark Robertson","Nevada","32","01","3201","Elizabeth Mercedes Krause","Mark Robertson","35.9","36.7"
"40","Emerson College Polling Society","KLAS-TV Las Vegas | The Hill","Emerson College","A-","7/7/22","7/10/22","500","rv","2022","11/8/22","Mark E. Amodei","Nevada","32","02","3202","Susie Lee","Mark E. Amodei","41.8","46.4"
"41","Emerson College Polling Society","KLAS-TV Las Vegas | The Hill","Emerson College","A-","7/7/22","7/10/22","500","rv","2022","11/8/22","April Becker","Nevada","32","03","3203","Steven A. Horsford","April Becker","41.7","39.7"
"42","Emerson College Polling Society","KLAS-TV Las Vegas | The Hill","Emerson College","A-","7/7/22","7/10/22","500","rv","2022","11/8/22","Sam Peters","Nevada","32","04","3204","Mary S. Peltola","Sam Peters","c(40, 43)","38.7"
"43","Alaska Survey Research",NA,"Alaska Survey Research","B/C","7/2/22","7/5/22","1201","lv","2022","8/16/22","Nick Begich","Alaska","02","01","0201","Mary S. Peltola","Nick Begich","c(40.6, 44, 37.5)","c(31, 57)"
"44","Alaska Survey Research",NA,"Alaska Survey Research","B/C","7/2/22","7/5/22","1201","lv","2022","11/8/22","Mary S. Peltola","Alaska","02","01","0201","Mary S. Peltola","Nick Begich","c(40.6, 44, 37.5)","c(30.6, 56, 27.2)"
"45","Alaska Survey Research",NA,"Alaska Survey Research","B/C","7/2/22","7/5/22","1201","lv","2022","11/8/22","Sarah Palin","Alaska","02","01","0201","Christina Bohannan","Sarah Palin","38","c(28.8, 26.9)"
"46","Change Research",NA,"Change Research","B-","6/30/22","7/4/22","375","lv","2022","11/8/22","Christina Bohannan","Iowa","19","01","1901","Christina Bohannan","Mariannette Miller-Meeks","38","39"
"47","PPP",NA,"Public Policy Polling","A-","6/29/22","6/30/22","581","lv","2022","8/23/22","Pat Ryan","New York","36","19","3619","Pat Ryan","Marcus Molinaro","40","43"
"48","POS","NRCC","Public Opinion Strategies","A-","6/29/22","6/30/22","400","lv","2022","11/8/22","Jahana Hayes","Connecticut","09","05","0905","Jahana Hayes","George Logan","46","41"
"49","ISNE","Knight Takes Rook","Info Strategy Northeast",NA,"6/28/22","6/30/22","1254","lv","2022","11/8/22","Marcy Kaptur","Ohio","39","09","3909","Marcy Kaptur","J.R. Majewski","47","41.8"
"50","GBAO",NA,"GBAO","B/C","6/27/22","6/30/22","500","lv","2022","11/8/22","Tony Vargas","Nebraska","31","02","3102","Tony Vargas","Don Bacon","48","47"
"51","1892 Polling","NRCC","1892 Polling","B/C","6/23/22","6/26/22","400","lv","2022","11/8/22","Max Rose","New York","36","11","3611","Max Rose","Nicole Malliotakis","36","51"
"52","PPP",NA,"Public Policy Polling","A-","6/24/22","6/25/22","626","lv","2022","11/8/22","Ashley Ehasz","Pennsylvania","42","01","4201","Ashley Ehasz","Brian Fitzpatrick","38","45"
"53","Cygnal Political","NRCC","Cygnal","B+","6/23/22","6/25/22","400","lv","2022","11/8/22","Matt Cartwright","Pennsylvania","42","08","4208","Matt Cartwright","Jim Bognet","45","46"
"54","Sachs Media",NA,"Sachs Media",NA,"6/20/22","6/23/22","400","lv","2022","11/8/22","Al Lawson","Florida","12","02","1202","Al Lawson","Neal Dunn","40","43"
"55","Tarrance","NRCC","Tarrance Group","B+","6/20/22","6/23/22","400","lv","2022","11/8/22","Susie Lee","Nevada","32","03","3203","Susie Lee","April Becker","44","46"
"56","Suffolk","Boston Globe","Suffolk University","B+","6/19/22","6/22/22","423","lv","2022","11/8/22","Omar Bah","Rhode Island","44","02","4402","Omar Bah","Allan W. Fung","33.81","c(44.21, 44.68, 44.92, 45.86, 43.26, 44.68)"
"57","Suffolk","Boston Globe","Suffolk University","B+","6/19/22","6/22/22","423","lv","2022","11/8/22","Joy Fox","Rhode Island","44","02","4402","Joy Fox","Marcus Molinaro","34.04","51.6"
"58","Suffolk","Boston Globe","Suffolk University","B+","6/19/22","6/22/22","423","lv","2022","11/8/22","Cameron Moquin","Rhode Island","44","02","4402","Cameron Moquin","Marcus Molinaro","32.15","51.6"
"59","Suffolk","Boston Globe","Suffolk University","B+","6/19/22","6/22/22","423","lv","2022","11/8/22","David Segal","Rhode Island","44","02","4402","David Segal","Marcus Molinaro","34.52","51.6"
"60","Triton Polling & Research","Freedom Council USA","Triton Polling & Research","C/D","6/16/22","6/20/22","505","v","2022","8/23/22","Marcus Molinaro","New York","36","19","3619","Elissa Slotkin","Marcus Molinaro","43.6","51.6"
"61","Cygnal Political","NRCC","Cygnal","B+","6/14/22","6/16/22","400","lv","2022","11/8/22","Tom Barrett","Michigan","26","07","2607","Yadira Caraveo","Tom Barrett","36","46.1"
"62","Global Strategy Group","314 Action","Global Strategy Group","B/C","6/9/22","6/13/22","500","lv","2022","11/8/22","Barbara Kirkmeyer","Colorado","08","08","0808","Dan Sanchez","Barbara Kirkmeyer","34","44"
"63","RRH/PMI","Poll Project USA","RRH Elections","B/C","6/8/22","6/11/22","484","lv","2022","6/14/22","Mayra Flores","Texas","48","34","4834","Rene Coronado","Mayra Flores","7","43"
"64","RRH/PMI","Poll Project USA","RRH Elections","B/C","6/8/22","6/11/22","484","lv","2022","6/14/22","Juana Cantu-Cabrera","Texas","48","34","4834","Eric Lynn","Juana Cantu-Cabrera","c(36, 41, 36)","3"
"65","Global Strategy Group",NA,"Global Strategy Group","B/C","6/6/22","6/9/22","500","rv","2022","11/8/22","Anna Paulina Luna","Florida","12","13","1213","Jeff Ettinger","Anna Paulina Luna","47","45"
"66","Global Strategy Group",NA,"Global Strategy Group","B/C","6/6/22","6/9/22","500","rv","2022","11/8/22","Kevin Hayslett","Florida","12","13","1213","Jeff Ettinger","Kevin Hayslett","47","39"
"67","Expedition Strategies",NA,"Expedition Strategies",NA,"6/6/22","6/9/22","400","lv","2022","8/9/22","Brad Finstad","Minnesota","27","01","2701","Andrea Salinas","Brad Finstad","46","48"
"68","RMG Research","United States Term Limits","RMG Research","B-","6/4/22","6/9/22","500","lv","2022","11/8/22","Mike Erickson","Oregon","41","06","4106","Kathy Manning","Mike Erickson","48","43"
"69","RMG Research","United States Term Limits","RMG Research","B-","6/4/22","6/6/22","500","lv","2022","11/8/22","Christian Castelli","North Carolina","37","06","3706","Don Davis","Christian Castelli","45","39"
"70","RMG Research","United States Term Limits","RMG Research","B-","6/4/22","6/6/22","500","lv","2022","11/8/22","Sandy Smith","North Carolina","37","01","3701","Val Hoyle","Sandy Smith","46","39"
"71","RMG Research","United States Term Limits","RMG Research","B-","6/4/22","6/6/22","500","lv","2022","11/8/22","Alek Skarlatos","Oregon","41","04","4104","Chris Deluzio","Alek Skarlatos","44","45"
"72","RMG Research","United States Term Limits","RMG Research","B-","6/4/22","6/6/22","500","lv","2022","11/8/22","Jeremy Shaffer","Pennsylvania","42","17","4217","Deb Baldus McGrath","Jeremy Shaffer","38","44"
"73","PPP",NA,"Public Policy Polling","A-","6/1/22","6/2/22","602","v","2022","11/8/22","Derrick Van Orden","Wisconsin","55","03","5503","Jamie McLeod-Skinner","Derrick Van Orden","41","47"
"74","PPP","314 Action","Public Policy Polling","A-","6/1/22","6/2/22","572","v","2022","11/8/22","Lori Chavez-DeRemer","Oregon","41","05","4105","Emilia Sykes","Lori Chavez-DeRemer","47","42"
"75","Greenberg Quinlan Rosner",NA,"GQR Research","B","5/23/22","5/31/22","500","lv","2022","11/8/22","Madison Gesiotto Gilbert","Ohio","39","13","3913","Carl J. Marlinga","Madison Gesiotto Gilbert","44","45"
"76","Target Insyght",NA,"Target Insyght","C/D","5/24/22","5/27/22","400","lv","2022","11/8/22","John James","Michigan","26","10","2610","Hillary Scholten","John James","c(39, 44)","40"
"77","PPP",NA,"Public Policy Polling","A-","5/25/22","5/26/22","676","rv","2022","11/8/22","Peter Meijer","Michigan","26","03","2603","Annette Taddeo","Peter Meijer","45","37"
"78","SEA Polling",NA,"SEA Polling and Strategic Design","B/C","5/23/22","5/26/22","400","rv","2022","11/8/22","Annette Taddeo","Florida","12","27","1227","Annette Taddeo","Marìa Elvira Salazar","45","47"
"79","RMG Research","United States Term Limits","RMG Research","B-","5/19/22","5/20/22","500","lv","2022","11/8/22","Emilia Sykes","Ohio","39","13","3913","Emilia Sykes","Madison Gesiotto Gilbert","37","46"
"80","RMG Research","United States Term Limits","RMG Research","B-","5/19/22","5/20/22","500","lv","2022","11/8/22","Tony Vargas","Nebraska","31","02","3102","Tony Vargas","Don Bacon","37","52"
"81","RMG Research","United States Term Limits","RMG Research","B-","5/19/22","5/20/22","500","lv","2022","11/8/22","Frank J. Mrvan","Indiana","18","01","1801","Frank J. Mrvan","Jennifer-Ruth Green","47","40"
"82","Survey 160",NA,"Survey 160",NA,"5/18/22","5/20/22","308","lv","2022","11/8/22","Jasmine Beach-Ferrara","North Carolina","37","11","3711","Jasmine Beach-Ferrara","Chuck Edwards","40","46"
"83","DCCC Targeting Team","DCCC","DCCC Targeting and Analytics Department","B/C","5/18/22","5/19/22","429","lv","2022","11/8/22","Wiley Nickel","North Carolina","37","13","3713","Wiley Nickel","Bo Hines","45","43"
"84","Cygnal Political",NA,"Cygnal","B+","5/14/22","5/15/22","450","lv","2022","11/8/22","Angie Craig","Minnesota","27","02","2702","Angie Craig","Tyler Kistner","42.9","38.2"
"85","Impact Research",NA,"Impact Research","B/C","5/9/22","5/15/22","500","lv","2022","11/8/22","Greg Landsman","Ohio","39","01","3901","Greg Landsman","Steve Chabot","47","47"
"86","Fabrizio/Impact","AARP","Fabrizio, Lee & Associates/Impact Research",NA,"5/10/22","5/13/22","250","lv","2022","11/8/22","Chellie M. Pingree","Maine","23","01","2301","Chellie M. Pingree","Edwin Thelander","57","33"
"87","Fabrizio/Impact","AARP","Fabrizio, Lee & Associates/Impact Research",NA,"5/10/22","5/13/22","250","lv","2022","11/8/22","Jared Forrest Golden","Maine","23","02","2302","Jared Forrest Golden","Bruce Poliquin","50","43"
"88","DCCC Targeting Team","DCCC","DCCC Targeting and Analytics Department","B/C","5/9/22","5/10/22","494","lv","2022","11/8/22","Chris Deluzio","Pennsylvania","42","17","4217","Chris Deluzio","Jeremy Shaffer","44","41"
"89","Change Research","314 Action","Change Research","B-","5/6/22","5/10/22","564","lv","2022","11/8/22","Tony Vargas","Nebraska","31","02","3102","Tony Vargas","Don Bacon","42","39"
"90","Alaska Survey Research",NA,"Alaska Survey Research","B/C","5/6/22","5/9/22","605","lv","2022","8/16/22","Sarah Palin","Alaska","02","01","0201","Christopher Constant","Sarah Palin","17","c(26, 29, 28, 28, 26, 28, 25, 28)"
"91","Alaska Survey Research",NA,"Alaska Survey Research","B/C","5/6/22","5/9/22","605","lv","2022","8/16/22","Tara M. Sweeney","Alaska","02","01","0201","Christopher Constant","Tara M. Sweeney","17","11"
"92","Alaska Survey Research",NA,"Alaska Survey Research","B/C","5/6/22","5/9/22","605","lv","2022","8/16/22","Mary S. Peltola","Alaska","02","01","0201","Mary S. Peltola","Jesse Jensen","19","42"
"93","NMB Research","Lead the Way PAC","NMB Research","A-","5/2/22","5/5/22","400","lv","2022","11/8/22","Jesse Jensen","Washington","53","08","5308","Chellie M. Pingree","Jesse Jensen","51.3","42"
"94","Pan Atlantic/SMS",NA,"Pan Atlantic Research","B/C","4/21/22","5/5/22","421","lv","2022","11/8/22","Chellie M. Pingree","Maine","23","01","2301","Chellie M. Pingree","Edwin Thelander","51.3","31"
"95","Pan Atlantic/SMS",NA,"Pan Atlantic Research","B/C","4/21/22","5/5/22","404","lv","2022","11/8/22","Jared Forrest Golden","Maine","23","02","2302","Jared Forrest Golden","Bruce Poliquin","45.3","36.4"
"96","Tarrance",NA,"Tarrance Group","B+","4/24/22","4/26/22","400","lv","2022","11/8/22","Carl J. Marlinga","Michigan","26","10","2610","Carl J. Marlinga","John James","41","47"
"97","Ragnar Research Partners","NRCC","Ragnar Research Partners","B/C","4/19/22","4/21/22","400","lv","2022","6/14/22","Dan Sanchez","Texas","48","34","4834","Dan Sanchez","Mayra Flores","19","24"
"98","Ragnar Research Partners","NRCC","Ragnar Research Partners","B/C","4/19/22","4/21/22","400","lv","2022","6/14/22","Juana Cantu-Cabrera","Texas","48","34","4834","Rene Coronado","Juana Cantu-Cabrera","9","7"
"99","Kitchens",NA,"The Kitchens Group","B/C","4/18/22","4/21/22","350","lv","2022","11/8/22","Ken Russell","Florida","12","27","1227","Ken Russell","Marìa Elvira Salazar","41","43"
"100","Remington","United States Term Limits","Remington Research Group","B","4/19/22","4/20/22","801","lv","2022","11/8/22","Quaye Quartey","California","06","27","0627","Quaye Quartey","Mike Garcia","41","c(47, 47)"
"101","Remington","United States Term Limits","Remington Research Group","B","4/19/22","4/20/22","801","lv","2022","11/8/22","Christy Smith","California","06","27","0627","Christy Smith","Loren Culp","45","38"
"102","Spry Strategies",NA,"Spry Strategies","B/C","4/17/22","4/20/22","720","lv","2022","11/8/22","Dan Newhouse","Washington","53","04","5304","Becca Balint","Dan Newhouse","48","37"
"103","U. New Hampshire",NA,"University of New Hampshire","B-","4/14/22","4/18/22","583","lv","2022","11/8/22","Marcia E. Horne","Vermont","50","01","5001","Molly Gray","Marcia E. Horne","49","c(25, 27, 26, 25)"
"104","U. New Hampshire",NA,"University of New Hampshire","B-","4/14/22","4/18/22","583","lv","2022","11/8/22","Kesha K. Ram Hinsdale","Vermont","50","01","5001","Kesha K. Ram Hinsdale","Jarome Bell","47","33"
"105","Slingshot Strategies",NA,"Slingshot Strategies","B/C","4/10/22","4/15/22","600","rv","2022","11/8/22","Elaine G. Luria","Virginia","51","02","5102","Elaine G. Luria","Jarome Bell","c(38, 39)","33"
"106","Slingshot Strategies",NA,"Slingshot Strategies","B/C","4/10/22","4/15/22","600","rv","2022","11/8/22","Jen A. Kiggans","Virginia","51","02","5102","Elissa Slotkin","Jen A. Kiggans","40","34"
"107","Slingshot Strategies",NA,"Slingshot Strategies","B/C","4/10/22","4/15/22","600","rv","2022","11/8/22","Tom Barrett","Michigan","26","07","2607","David J. Trone","Tom Barrett","44.5","34"
"108","McLaughlin",NA,"McLaughlin & Associates","C/D","4/7/22","4/10/22","300","lv","2022","11/8/22","Jason C. Buckel","Maryland","24","06","2406","Christina Bohannan","Jason C. Buckel","42","40"
"109","PPP","314 Action","Public Policy Polling","A-","4/5/22","4/6/22","534","rv","2022","11/8/22","Mariannette Miller-Meeks","Iowa","19","01","1901","Tony Vargas","Mariannette Miller-Meeks","40","43"
"110","Change Research","314 Action","Change Research","B-","3/26/22","3/29/22","550","lv","2022","11/8/22","Don Bacon","Nebraska","31","02","3102","Sean Patrick Maloney","Don Bacon","49","39"
"111","Change Research","314 Action","Change Research","B-","3/25/22","3/29/22","728","lv","2022","8/16/22","Josh C. Revak","Alaska","02","01","0201","Sean Patrick Maloney","Josh C. Revak","49","c(9, 11, 34)"
"112","Global Strategy Group",NA,"Global Strategy Group","B/C","3/10/22","3/13/22","500","lv","2022","11/8/22","Sean Patrick Maloney","New York","36","18","3618","Sean Patrick Maloney","Colin J. Schmitt","49","37"
"113","The Political Matrix/The Listener Group",NA,"The Political Matrix/The Listener Group",NA,"2/25/22","3/8/22","432","lv","2022","11/8/22","Rebekah Jones","Florida","12","01","1201","Rebekah Jones","Matt Gaetz","52.8","47.2"
"114","McLaughlin",NA,"McLaughlin & Associates","C/D","3/3/22","3/6/22","300","lv","2022","11/8/22","Laura Gillen","New York","36","04","3604","Laura Gillen","Anthony D'Esposito","36","48"
"115","Tulchin Research","The Welcome PAC","Tulchin Research","B/C","2/25/22","3/3/22","600","lv","2022","11/8/22","Will Rollins","California","06","41","0641","Will Rollins","Ken Calvert","42","41"
"116","BK Strategies",NA,"BK Strategies","B/C","2/5/22","2/7/22","300","lv","2022","11/8/22","Sean Patrick Maloney","New York","36","18","3618","Sean Patrick Maloney","Colin J. Schmitt","37","38"
"117","PPP",NA,"Public Policy Polling","A-","2/2/22","2/3/22","623","v","2022","11/8/22","Liz Mathis","Iowa","19","02","1902","Liz Mathis","Ashley Hinson","42","43"
"118","Target Insyght","Deadline Detroit","Target Insyght","C/D","1/25/22","1/27/22","500","rv","2022","11/8/22","Michael C. Taylor","Michigan","26","10","2610","Michael C. Taylor","John James","c(46, 39)","c(42, 43)"
"119","Target Insyght","Deadline Detroit","Target Insyght","C/D","1/25/22","1/27/22","500","rv","2022","11/8/22","Carl J. Marlinga","Michigan","26","10","2610","Carl J. Marlinga","Eric S. Esshaki","c(52, 46)","c(31, 34)"
"120","Greenberg Quinlan Rosner",NA,"GQR Research","B","1/19/22","1/27/22","600","lv","2022","11/8/22","Tom Malinowski","New Jersey","34","07","3407","Tom Malinowski","Thomas H. Kean Jr.","46","46"
"121","Spry Strategies",NA,"Spry Strategies","B/C","12/9/21","12/11/21","600","lv","2022","11/8/22","Loren Culp","Washington","53","04","5304","Rebekah Jones","Loren Culp","33.8","37.9"
"122","The Political Matrix/The Listener Group",NA,"The Political Matrix/The Listener Group",NA,"10/8/21","10/28/21","532","lv","2022","11/8/22","Rebekah Jones","Florida","12","01","1201","Rebekah Jones","Matt Gaetz","33.8","41.7"
"123","Emerson College Polling Society","Nexstar | NBC 4 Ohio","Emerson College","A-","10/14/21","10/16/21","445","lv","2021","11/2/21","Allison Russo","Ohio","39","15","3915","Allison Russo","Mike Carey","38.9","50"
"124","Moore Information",NA,"Moore Information","B/C","9/9/21","9/9/21","1000","lv","2022","11/8/22","Cindy Axne","Iowa","19","03","1903","Cindy Axne","Zach Nunn","46","42"
"125","American Viewpoint",NA,"American Viewpoint","B/C","7/19/21","7/21/21","400","lv","2021","7/27/21","Susan Wright","Texas","48","06","4806","Melanie Ann Stansbury","Susan Wright","49","44"
"126","American Viewpoint",NA,"American Viewpoint","B/C","6/1/21","6/3/21","400","lv","2021","7/27/21","Susan Wright","Texas","48","06","4806","Melanie Ann Stansbury","Susan Wright","49","49"
"127","RRH/PMI","Elections Daily","RRH Elections","B/C","5/18/21","5/21/21","555","lv","2021","6/1/21","Melanie Ann Stansbury","New Mexico","35","01","3501","Melanie Ann Stansbury","Mark David Moores","49","33"
"128","Victory Insights",NA,"Victory Insights",NA,"5/18/21","5/19/21","600","lv","2022","11/8/22","Mikie Sherrill","New Jersey","34","11","3411","Mikie Sherrill","Rosemary Becchi","c(51, 51.34)","49"
"129","Victory Insights",NA,"Victory Insights",NA,"5/18/21","5/19/21","600","lv","2022","11/8/22","Hillery Brotschol","New Jersey","34","11","3411","Jana Lynne Sanchez","Hillery Brotschol","c(16, 20)","48.66"
"130","Meeting Street Insights","Washington Free Beacon","Meeting Street Insights","B/C","4/11/21","4/13/21","400","rv","2021","5/1/21","Susan Wright","Texas","48","06","4806","Lydia Bean","Susan Wright","c(5, 7)","c(15, 17)"
"131","Meeting Street Insights","Washington Free Beacon","Meeting Street Insights","B/C","4/11/21","4/13/21","400","rv","2021","5/1/21","Lydia Bean","Texas","48","06","4806","Lydia Bean","Brian Harrison","c(5, 7)","c(12, 12)"
"132","Meeting Street Insights","Washington Free Beacon","Meeting Street Insights","B/C","4/11/21","4/13/21","400","rv","2021","5/1/21","Shawn Lassiter","Texas","48","06","4806","Shawn Lassiter","John Anthony Castro","c(3, 5)","3"
"133","Meeting Street Insights","Washington Free Beacon","Meeting Street Insights","B/C","4/11/21","4/13/21","400","rv","2021","5/1/21","Daniel Stephen Rodimer","Texas","48","06","4806","Tammy Allison","Daniel Stephen Rodimer","1","c(2, 2)"
"134","Meeting Street Insights","Washington Free Beacon","Meeting Street Insights","B/C","4/11/21","4/13/21","400","rv","2021","5/1/21","Michael Wood","Texas","48","06","4806","Brian K. Stephenson","Michael Wood","1","1"
"135","Meeting Street Insights","Washington Free Beacon","Meeting Street Insights","B/C","4/11/21","4/13/21","400","rv","2021","5/1/21","Mike Egan","Texas","48","06","4806","Christopher Suprun","Mike Egan","1","1"
