U.S. HOUSE OF REPRESENTATIVES National Summary 2014
,
Office,RaceDate,CensusPop,Area,RepWinner,DemWinner,OtherWinner,RepVotes,DemVotes,OtherVotes,PluralityVotes,PluralityParty,RepVotesMajorPercent,DemVotesMajorPercent
House,20141104,N/A,Mississippi,3,1,0,"329,169","230,014","67,096","99,155",R,58.87,41.13
House,20141104,N/A,Missouri,6,2,0,"838,283","513,600","74,420","324,683",R,62.01,37.99
House,20141104,N/A,Montana,1,0,0,"203,871","148,690","15,402","55,181",R,57.83,42.17
House,20141104,N/A,Nebraska,2,1,0,"340,816","185,234","9,480","155,582",R,64.79,35.21
House,20141104,N/A,Nevada,3,1,0,"304,809","210,147","28,053","94,662",R,59.19,40.81
House,20141104,N/A,New Hampshire,1,1,0,"232,379","247,469","1,072","15,090",D,48.43,51.57
House,20141104,N/A,New Jersey,6,6,0,"877,265","914,172","29,928","36,907",D,48.97,51.03
House,20141104,N/A,New Mexico,1,2,0,"240,542","271,222",121,"30,680",D,47.00,53.00
House,20141104,N/A,New York,9,18,0,"1,554,274","2,009,444","87,989","455,170",D,43.61,56.39
House,20141104,N/A,North Carolina,10,3,0,"1,555,364","1,234,027","18,607","321,337",R,55.76,44.24
House,20141104,N/A,North Dakota,1,0,0,"138,100","95,678","14,892","42,422",R,59.07,40.93
House,20141104,N/A,Ohio,12,4,0,"1,770,923","1,179,587","49,651","591,336",R,60.02,39.98
House,20141104,N/A,Oklahoma,5,0,0,"457,613","174,022","21,778","283,591",R,72.45,27.55
House,20141104,N/A,Oregon,1,4,0,"582,909","778,139","89,654","195,230",D,42.83,57.17
House,20141104,N/A,Pennsylvania,13,5,0,"1,833,205","1,467,594","22,734","365,611",R,55.54,44.46
House,20141104,N/A,Rhode Island,0,2,0,"122,721","192,776",760,"70,055",D,38.90,61.10
House,20141104,N/A,South Carolina,6,1,0,"734,456","382,208","39,118","352,248",R,65.77,34.23
House,20141104,N/A,South Dakota,1,0,0,"183,834","92,485",0,"91,349",R,66.53,33.47
House,20141104,N/A,Tennessee,7,2,0,"848,846","448,421","73,894","400,425",R,65.43,34.57
House,20141104,N/A,Texas,25,11,0,"2,684,592","1,476,476","292,431","1,208,116",R,64.52,35.48
House,20141104,N/A,Utah,4,0,0,"351,034","183,491","31,445","167,543",R,65.67,34.33
House,20141104,N/A,Vermont,0,1,0,"59,432","123,349","8,723","63,917",D,32.52,67.48
House,20141104,N/A,Virginia,8,3,0,"1,143,747","845,939","145,627","297,808",R,57.48,42.52
House,20141104,N/A,Washington,4,6,0,"981,853","1,047,747",0,"65,894",D,48.38,51.62
House,20141104,N/A,West Virginia,3,0,0,"242,823","182,484","13,932","60,339",R,57.09,42.91
House,20141104,N/A,Wisconsin,5,3,0,"1,233,336","1,102,581","19,663","130,755",R,52.80,47.20
House,20141104,N/A,Wyoming,1,0,0,"113,038","37,803","14,259","75,235",R,74.94,25.06
,
CensusPopAll,AreaAll,RepWinnerAll,DemWinnerAll,OtherWinnerAll,TotalVotesAll,RepVotesAll,DemVotesAll,OtherVotesAll,PluralityVotesAll,PluralityPartyAll,RepVotesTotalPercentAll,DemVotesTotalPercentAll,OtherVotesTotalPercentAll,RepVotesMajorPercentAll,DemVotesMajorPercentAll
N/A,United State,247,188,0,"77,889,271","40,029,863","35,628,989","2,230,419","4,400,874",R,51.39,45.74,2.86,52.91,47.09
,
,
,
U.S. HOUSE OF REPRESENTATIVES National Summary 2012
,
Office,RaceDate,CensusPop,Area,RepWinner,DemWinner,OtherWinner,RepVotes,DemVotes,OtherVotes,PluralityVotes,PluralityParty,RepVotesMajorPercent,DemVotesMajorPercent
House,20121106,N/A,Alabama,6,1,0,"1,233,624","693,498","6,508","540,126",R,64.01,35.99
House,20121106,N/A,Alaska,1,0,0,"185,296","82,927","21,581","102,369",R,69.08,30.92
House,20121106,N/A,Arizona,4,5,0,"1,131,663","946,994","94,660","184,669",R,54.44,45.56
House,20121106,N/A,Arkansas,4,0,0,"637,591","304,770","95,693","332,821",R,67.66,32.34
House,20121106,N/A,California,15,38,0,"4,530,012","7,392,703","281,642","2,862,691",D,37.99,62.01
House,20121106,N/A,Colorado,4,3,0,"1,143,796","1,080,454","226,589","63,342",R,51.42,48.58
House,20121106,N/A,Connecticut,0,5,0,"500,290","951,281","14,940","450,991",D,34.47,65.53
House,20121106,N/A,Delaware,0,1,0,"129,757","249,933","8,369","120,176",D,34.17,65.83
House,20121106,N/A,Florida,17,10,0,"3,826,522","3,392,402","294,615","434,120",R,53.01,46.99
House,20121106,N/A,Georgia,9,5,0,"2,104,098","1,448,869",620,"655,229",R,59.22,40.78
House,20121106,N/A,Hawaii,0,2,0,"137,531","285,008",0,"147,477",D,32.55,67.45
House,20121106,N/A,Idaho,2,0,0,"406,814","208,297","20,107","198,517",R,66.14,33.86
House,20121106,N/A,Illinois,6,12,0,"2,207,818","2,743,702","106,613","535,884",D,44.59,55.41
House,20121106,N/A,Indiana,7,2,0,"1,351,760","1,142,554","59,432","209,206",R,54.19,45.81
House,20121106,N/A,Iowa,2,2,0,"726,505","772,387","37,957","45,882",D,48.47,51.53
House,20121106,N/A,Kansas,4,0,0,"740,981","195,505","121,253","545,476",R,79.12,20.88
House,20121106,N/A,Kentucky,5,1,0,"1,027,582","684,744","33,051","342,838",R,60.01,39.99
House,20121106,N/A,Louisiana,4,1,0,"902,469","292,120","199,635","610,349",R,75.55,24.45
House,20121208,N/A,Louisiana,1,0,0,"96,587",0,0,"96,587",R,100.00,.00
House,20121106,N/A,Maine,0,2,0,"265,982","427,819",0,"161,837",D,38.34,61.66
House,20121106,N/A,Maryland,1,7,0,"858,406","1,626,872","100,236","768,466",D,34.54,65.46
House,20121106,N/A,Massachusetts,0,9,0,"697,637","2,080,594","113,203","1,382,957",D,25.11,74.89
House,20121106,N/A,Michigan,9,5,0,"2,086,804","2,327,985","159,843","241,181",D,47.27,52.73
House,20121106,N/A,Minnesota,3,5,0,"1,210,409","1,560,984","41,990","350,575",D,43.68,56.32
House,20121106,N/A,Mississippi,3,1,0,"703,635","411,398","93,142","292,237",R,63.10,36.90
House,20121106,N/A,Missouri,6,2,0,"1,463,586","1,119,554","92,760","344,032",R,56.66,43.34
House,20121106,N/A,Montana,1,0,0,"255,468","204,939","19,333","50,529",R,55.49,44.51
House,20121106,N/A,Nebraska,3,0,0,"496,276","276,239",0,"220,037",R,64.24,35.76
House,20121106,N/A,Nevada,2,2,0,"457,239","453,310","63,193","3,929",R,50.22,49.78
House,20121106,N/A,New Hampshire,0,2,0,"311,636","340,925","29,855","29,289",D,47.76,52.24
House,20121106,N/A,New Jersey,6,6,0,"1,430,386","1,794,407","57,161","364,021",D,44.36,55.64
House,20121106,N/A,New Mexico,1,2,0,"343,269","422,189",632,"78,920",D,44.84,55.16
House,20121106,N/A,New York,6,21,0,"2,245,236","4,143,414","81,075","1,898,178",D,35.14,64.86
House,20121106,N/A,North Carolina,9,4,0,"2,137,167","2,218,357","28,588","81,190",D,49.07,50.93
House,20121106,N/A,North Dakota,1,0,0,"173,433","131,869","10,769","41,564",R,56.81,43.19
House,20121106,N/A,Ohio,12,4,0,"2,620,251","2,412,451","107,878","207,800",R,52.06,47.94
House,20121106,N/A,Oklahoma,5,0,0,"856,872","410,324","58,739","446,548",R,67.62,32.38
House,20121106,N/A,Oregon,1,4,0,"687,839","949,660","70,669","261,821",D,42.01,57.99
House,20121106,N/A,Pennsylvania,13,5,0,"2,710,070","2,793,538","52,722","83,468",D,49.24,50.76
House,20121106,N/A,Rhode Island,0,2,0,"161,926","232,679","33,170","70,753",D,41.03,58.97
House,20121106,N/A,South Carolina,6,1,0,"1,026,129","742,805","33,800","283,324",R,58.01,41.99
House,20121106,N/A,South Dakota,1,0,0,"207,640","153,789",0,"53,851",R,57.45,42.55
House,20121106,N/A,Tennessee,7,2,0,"1,369,562","796,513","117,652","573,049",R,63.23,36.77
House,20121106,N/A,Texas,24,12,0,"4,429,270","2,949,900","285,038","1,479,370",R,60.02,39.98
House,20121106,N/A,Utah,3,1,0,"647,873","324,309","26,715","323,564",R,66.64,33.36
House,20121106,N/A,Vermont,0,1,0,"67,543","208,600","13,788","141,057",D,24.46,75.54
House,20121106,N/A,Virginia,8,3,0,"1,876,761","1,806,025","57,669","70,736",R,50.96,49.04
House,20121106,N/A,Washington,4,6,0,"1,369,540","1,636,726",0,"267,186",D,45.56,54.44
House,20121106,N/A,West Virginia,2,1,0,"384,253","257,101",0,"127,152",R,59.91,40.09
House,20121106,N/A,Wisconsin,5,3,0,"1,401,995","1,445,015","19,040","43,020",D,49.24,50.76
House,20121106,N/A,Wyoming,1,0,0,"166,452","57,573","17,596","108,879",R,74.30,25.70
,
CensusPopAll,AreaAll,RepWinnerAll,DemWinnerAll,OtherWinnerAll,TotalVotesAll,RepVotesAll,DemVotesAll,OtherVotesAll,PluralityVotesAll,PluralityPartyAll,RepVotesTotalPercentAll,DemVotesTotalPercentAll,OtherVotesTotalPercentAll,RepVotesMajorPercentAll,DemVotesMajorPercentAll
N/A,United State,234,201,0,"121,136,773","58,141,241","59,586,011","3,409,521","1,444,770",D,48.00,49.19,2.81,49.39,50.61
,
,
,
U.S. HOUSE OF REPRESENTATIVES National Summary 2010
,
Office,RaceDate,CensusPop,Area,RepWinner,DemWinner,OtherWinner,RepVotes,DemVotes,OtherVotes,PluralityVotes,PluralityParty,RepVotesMajorPercent,DemVotesMajorPercent
House,20101102,N/A,Alabama,6,1,0,"914,445","418,957","34,345","495,488",R,68.58,31.42
House,20101102,N/A,Alaska,1,0,0,"175,384","77,606","1,345","97,778",R,69.32,30.68
House,20101102,N/A,Arizona,5,3,0,"900,510","711,837","85,798","188,673",R,55.85,44.15
House,20101102,N/A,Arkansas,3,1,0,"435,422","317,975","20,728","117,447",R,57.79,42.21
House,20101102,N/A,California,19,34,0,"4,195,528","5,148,511","303,774","952,983",D,44.90,55.10
House,20101102,N/A,Colorado,4,3,0,"886,057","804,069","78,341","81,988",R,52.43,47.57
House,20101102,N/A,Connecticut,0,5,0,"460,286","667,983","9,933","207,697",D,40.80,59.20
House,20101102,N/A,Delaware,0,1,0,"125,442","173,543","6,651","48,101",D,41.96,58.04
House,20101102,N/A,Florida,19,6,0,"3,004,225","1,853,600","259,595","1,150,625",R,61.84,38.16
House,20101102,N/A,Georgia,8,5,0,"1,528,142","940,347",191,"587,795",R,61.91,38.09
House,20101102,N/A,Hawaii,0,2,0,"129,127","226,430","4,564","97,303",D,36.32,63.68
House,20101102,N/A,Idaho,2,0,0,"263,699","150,884","32,561","112,815",R,63.61,36.39
House,20101102,N/A,Illinois,11,8,0,"1,720,016","1,876,316","99,827","156,300",D,47.83,52.17
House,20101102,N/A,Indiana,6,3,0,"972,671","679,462","95,587","293,209",R,58.87,41.13
House,20101102,N/A,Iowa,2,3,0,"597,414","479,874","29,303","117,540",R,55.46,44.54
House,20101102,N/A,Kansas,4,0,0,"528,136","274,992","32,401","253,144",R,65.76,34.24
House,20101102,N/A,Kentucky,4,2,0,"844,010","506,170","3,610","337,840",R,62.51,37.49
House,20101102,N/A,Louisiana,6,1,0,"675,386","311,221","49,340","364,165",R,68.46,31.54
House,20101102,N/A,Maine,0,2,0,"248,170","316,156",42,"67,986",D,43.98,56.02
House,20101102,N/A,Maryland,2,6,0,"674,246","1,104,056","47,170","429,810",D,37.92,62.08
House,20101102,N/A,Massachusetts,0,10,0,"808,305","1,335,738","80,212","527,433",D,37.70,62.30
House,20101102,N/A,Michigan,1,0,0,"120,523","94,824","16,690","25,699",R,55.97,44.03
House,20101102,N/A,Minnesota,4,4,0,"970,741","1,002,026","117,824","31,285",D,49.21,50.79
House,20101102,N/A,Mississippi,3,1,0,"423,579","350,695","14,275","72,884",R,54.71,45.29
House,20101102,N/A,Missouri,6,3,0,"1,103,290","708,064","109,321","395,226",R,60.91,39.09
House,20101102,N/A,Montana,1,0,0,"217,696","121,954","20,691","95,742",R,64.09,35.91
House,20101102,N/A,Nebraska,3,0,0,"327,986","137,524","20,036","190,462",R,70.46,29.54
House,20101102,N/A,Nevada,2,1,0,"357,369","317,835","27,584","39,534",R,52.93,47.07
House,20101102,N/A,New Hampshire,2,0,0,"230,265","200,563","19,258","29,702",R,53.45,46.55
House,20101102,N/A,New Jersey,6,7,0,"1,055,299","1,024,730","41,555","30,569",R,50.73,49.27
House,20101102,N/A,New Mexico,1,2,0,"289,217","308,473",0,"19,256",D,48.39,51.61
House,20101102,N/A,New York,8,21,0,"1,854,302","2,600,900","43,961","746,598",D,41.62,58.38
House,20101102,N/A,North Carolina,6,7,0,"1,440,913","1,204,635","17,001","236,278",R,54.47,45.53
House,20101102,N/A,North Dakota,1,0,0,"129,802","106,542",793,"23,260",R,54.92,45.08
House,20101102,N/A,Ohio,13,5,0,"2,053,075","1,611,112","161,087","441,963",R,56.03,43.97
House,20101102,N/A,Oklahoma,4,1,0,"519,562","221,966","51,451","297,596",R,70.07,29.93
House,20101102,N/A,Oregon,1,4,0,"657,007","733,369","38,980","76,362",D,47.25,52.75
House,20101102,N/A,Pennsylvania,12,7,0,"2,034,145","1,882,202","43,157","151,943",R,51.94,48.06
House,20101102,N/A,Rhode Island,0,2,0,"126,951","185,711","22,822","58,760",D,40.60,59.40
House,20101102,N/A,South Carolina,5,1,0,"753,932","543,921","42,336","210,011",R,58.09,41.91
House,20101102,N/A,South Dakota,1,0,0,"153,703","146,589","19,134","7,114",R,51.18,48.82
House,20101102,N/A,Tennessee,7,2,0,"955,078","541,527","62,524","413,551",R,63.82,36.18
House,20101102,N/A,Texas,23,9,0,"3,058,228","1,450,197","237,188","1,608,031",R,67.83,32.17
House,20101102,N/A,Utah,2,1,0,"390,969","218,236","31,290","172,733",R,64.18,35.82
House,20101102,N/A,Vermont,0,1,0,"76,403","154,006","8,112","77,603",D,33.16,66.84
House,20101102,N/A,Virginia,8,3,0,"1,186,098","911,116","92,627","274,982",R,56.56,43.44
House,20101102,N/A,Washington,4,5,0,"1,135,166","1,296,502","47,741","161,336",D,46.68,53.32
House,20101102,N/A,West Virginia,2,1,0,"283,085","227,857","3,431","55,228",R,55.40,44.60
House,20101102,N/A,Wisconsin,5,3,0,"1,165,761","938,690","36,031","227,071",R,55.40,44.60
House,20101102,N/A,Wyoming,1,0,0,"131,661","45,768","9,540","85,893",R,74.20,25.80
,
CensusPopAll,AreaAll,RepWinnerAll,DemWinnerAll,OtherWinnerAll,TotalVotesAll,RepVotesAll,DemVotesAll,OtherVotesAll,PluralityVotesAll,PluralityPartyAll,RepVotesTotalPercentAll,DemVotesTotalPercentAll,OtherVotesTotalPercentAll,RepVotesMajorPercentAll,DemVotesMajorPercentAll
N/A,United State,234,187,0,"83,583,446","43,288,427","37,663,261","2,631,758","5,625,166",R,51.79,45.06,3.15,53.47,46.53
,
,
,
