Count,pollster,sample_size,type,bmonth,bday,year,emonth,eday,days_until_election,poll_date,party,support,President_party,H_incumbent,D_majorvote_pct,R_majorvote_pct,D_totalvote_pct,R_totalvote_pct,resid,unrate
713,NA,800,NA,8,31,1994,9,1,68.5,1994-09-01,D,38,D,D,46.41,53.59,45.4,52.43,8.409999999999997,6.1
714,NA,1031,NA,10,5,1994,10,9,32,1994-10-09,D,44,D,D,46.41,53.59,45.4,52.43,2.4099999999999966,6.1
715,NA,1001,NA,7,15,1994,7,17,115,1994-07-17,D,45,D,D,46.41,53.59,45.4,52.43,1.4099999999999966,6.1
716,NA,1000,NA,6,25,1994,6,28,134.5,1994-06-28,D,36,D,D,46.41,53.59,45.4,52.43,10.409999999999997,6.1
717,NA,1410,NA,11,3,1994,11,6,3.5,1994-11-06,D,47,D,D,46.41,53.59,45.4,52.43,-0.5900000000000034,6.1
718,NA,1016,NA,8,8,1994,8,9,91.5,1994-08-09,D,47,D,D,46.41,53.59,45.4,52.43,-0.5900000000000034,6.1
719,NA,1000,NA,1,17,1994,1,18,294.5,1994-01-18,D,42,D,D,46.41,53.59,45.4,52.43,4.409999999999997,6.1
720,NA,2000,NA,11,3,1994,11,5,4,1994-11-05,D,43,D,D,46.41,53.59,45.4,52.43,3.4099999999999966,6.1
851,NA,907,NA,6,3,1998,6,4,152.5,1998-06-04,D,37,D,D,49.39,50.61,47.77,48.95,12.39,4.5
852,NA,687,NA,7,30,1998,7,30,96,1998-07-30,D,44,D,D,49.39,50.61,47.77,48.95,5.390000000000001,4.5
853,NA,482,NA,9,8,1998,9,10,55,1998-09-10,D,46,D,D,49.39,50.61,47.77,48.95,3.3900000000000006,4.5
854,NA,485,NA,10,26,1998,10,28,7,1998-10-28,D,47,D,D,49.39,50.61,47.77,48.95,2.3900000000000006,4.5
855,NA,900,NA,10,7,1998,10,8,26.5,1998-10-08,D,37,D,D,49.39,50.61,47.77,48.95,12.39,4.5
856,NA,401,NA,9,14,1998,9,15,49.5,1998-09-15,D,48,D,D,49.39,50.61,47.77,48.95,1.3900000000000006,4.5
857,NA,404,NA,7,7,1998,7,8,118.5,1998-07-08,D,46,D,D,49.39,50.61,47.77,48.95,3.3900000000000006,4.5
858,NA,635.9949341,NA,9,22,1998,9,23,41.5,1998-09-23,D,47,D,D,49.39,50.61,47.77,48.95,2.3900000000000006,4.5
859,NA,855,NA,4,17,1998,4,19,199,1998-04-19,D,46,D,D,49.39,50.61,47.77,48.95,3.3900000000000006,4.5
860,NA,1754,NA,8,27,1998,9,8,62,1998-09-08,D,46,D,D,49.39,50.61,47.77,48.95,3.3900000000000006,4.5
861,NA,800,NA,3,30,1998,4,2,216.5,1998-04-02,D,39,D,D,49.39,50.61,47.77,48.95,10.39,4.5
862,NA,1000,NA,9,21,1998,9,27,40,1998-09-27,D,41,D,D,49.39,50.61,47.77,48.95,8.39,4.5
863,NA,771,NA,6,4,1998,6,8,150,1998-06-08,D,46,D,D,49.39,50.61,47.77,48.95,3.3900000000000006,4.5
864,NA,655,NA,4,20,1998,4,26,194,1998-04-26,D,40,D,D,49.39,50.61,47.77,48.95,9.39,4.5
865,NA,867,NA,5,8,1998,5,10,178,1998-05-10,D,48,D,D,49.39,50.61,47.77,48.95,1.3900000000000006,4.5
866,NA,581,NA,10,22,1998,10,25,10.5,1998-10-25,D,49,D,D,49.39,50.61,47.77,48.95,0.39000000000000057,4.5
867,NA,500,NA,4,18,1998,4,20,198,1998-04-20,D,36,D,D,49.39,50.61,47.77,48.95,13.39,4.5
868,NA,539,NA,9,23,1998,9,24,40.5,1998-09-24,D,51,D,D,49.39,50.61,47.77,48.95,-1.6099999999999994,4.5
869,NA,442,NA,10,14,1998,10,15,19.5,1998-10-15,D,47,D,D,49.39,50.61,47.77,48.95,2.3900000000000006,4.5
870,NA,1336.776367,NA,7,9,1998,7,12,115.5,1998-07-12,D,47,D,D,49.39,50.61,47.77,48.95,2.3900000000000006,4.5
871,NA,822.1783447,NA,10,31,1998,11,1,2.5,1998-11-01,D,49,D,D,49.39,50.61,47.77,48.95,0.39000000000000057,4.5
872,NA,855,NA,7,7,1998,7,8,118.5,1998-07-08,D,46,D,D,49.39,50.61,47.77,48.95,3.3900000000000006,4.5
873,NA,655,NA,7,28,1998,8,1,96,1998-08-01,D,37,D,D,49.39,50.61,47.77,48.95,12.39,4.5
874,NA,1019,NA,9,23,1998,9,24,40.5,1998-09-24,D,47,D,D,49.39,50.61,47.77,48.95,2.3900000000000006,4.5
875,NA,394,NA,4,17,1998,4,19,199,1998-04-19,D,44,D,D,49.39,50.61,47.77,48.95,5.390000000000001,4.5
876,NA,1108,NA,8,21,1998,8,23,73,1998-08-23,D,47,D,D,49.39,50.61,47.77,48.95,2.3900000000000006,4.5
877,NA,1036,NA,10,14,1998,10,15,19.5,1998-10-15,D,49,D,D,49.39,50.61,47.77,48.95,0.39000000000000057,4.5
878,NA,1532,NA,10,14,1998,10,18,18,1998-10-18,D,44,D,D,49.39,50.61,47.77,48.95,5.390000000000001,4.5
879,NA,1234,NA,5,18,1998,5,19,168.5,1998-05-19,D,45,D,D,49.39,50.61,47.77,48.95,4.390000000000001,4.5
880,NA,1000,NA,6,1,1998,6,7,152,1998-06-07,D,37,D,D,49.39,50.61,47.77,48.95,12.39,4.5
881,NA,900,NA,7,15,1998,7,16,110.5,1998-07-16,D,35,D,D,49.39,50.61,47.77,48.95,14.39,4.5
882,NA,1155.095459,NA,10,29,1998,11,1,3.5,1998-11-01,D,49,D,D,49.39,50.61,47.77,48.95,0.39000000000000057,4.5
884,NA,1020,NA,1,14,1998,1,15,292.5,1998-01-15,D,46,D,D,49.39,50.61,47.77,48.95,3.3900000000000006,4.5
885,NA,743,NA,10,28,1998,10,31,4.5,1998-10-31,D,46,D,D,49.39,50.61,47.77,48.95,3.3900000000000006,4.5
886,NA,503,NA,7,25,1998,7,27,100,1998-07-27,D,34,D,D,49.39,50.61,47.77,48.95,15.39,4.5
887,NA,1000,NA,4,22,1998,4,27,192.5,1998-04-27,D,42,D,D,49.39,50.61,47.77,48.95,7.390000000000001,4.5
888,NA,689.9976196,NA,9,24,1998,9,25,39.5,1998-09-25,D,48,D,D,49.39,50.61,47.77,48.95,1.3900000000000006,4.5
889,NA,900,NA,6,30,1998,7,1,125.5,1998-07-01,D,39,D,D,49.39,50.61,47.77,48.95,10.39,4.5
890,NA,416,NA,10,16,1998,10,21,15.5,1998-10-21,D,41,D,D,49.39,50.61,47.77,48.95,8.39,4.5
891,NA,373,NA,9,23,1998,9,24,40.5,1998-09-24,D,45,D,D,49.39,50.61,47.77,48.95,4.390000000000001,4.5
892,NA,901,NA,3,10,1998,3,11,237.5,1998-03-11,D,37,D,D,49.39,50.61,47.77,48.95,12.39,4.5
893,NA,844,NA,9,25,1998,9,28,37.5,1998-09-28,D,42,D,D,49.39,50.61,47.77,48.95,7.390000000000001,4.5
894,NA,856,NA,10,14,1998,10,15,19.5,1998-10-15,D,51,D,D,49.39,50.61,47.77,48.95,-1.6099999999999994,4.5
895,NA,794,NA,10,12,1998,10,13,21.5,1998-10-13,D,49,D,D,49.39,50.61,47.77,48.95,0.39000000000000057,4.5
896,NA,902,NA,4,7,1998,4,8,209.5,1998-04-08,D,38,D,D,49.39,50.61,47.77,48.95,11.39,4.5
897,NA,1704,NA,9,10,1998,9,13,52.5,1998-09-13,D,37,D,D,49.39,50.61,47.77,48.95,12.39,4.5
898,NA,864,NA,1,16,1998,1,18,290,1998-01-18,D,51,D,D,49.39,50.61,47.77,48.95,-1.6099999999999994,4.5
899,NA,922,NA,1,14,1998,1,18,291,1998-01-18,D,51,D,D,49.39,50.61,47.77,48.95,-1.6099999999999994,4.5
900,NA,800,NA,2,19,1998,2,25,254,1998-02-25,D,40,D,D,49.39,50.61,47.77,48.95,9.39,4.5
901,NA,900,NA,5,6,1998,5,7,180.5,1998-05-07,D,38,D,D,49.39,50.61,47.77,48.95,11.39,4.5
902,NA,1011,NA,4,8,1998,4,9,208.5,1998-04-09,D,49,D,D,49.39,50.61,47.77,48.95,0.39000000000000057,4.5
903,NA,781,NA,8,21,1998,8,24,72.5,1998-08-24,D,45,D,D,49.39,50.61,47.77,48.95,4.390000000000001,4.5
904,NA,449,NA,9,11,1998,9,12,52.5,1998-09-12,D,47,D,D,49.39,50.61,47.77,48.95,2.3900000000000006,4.5
905,NA,1000,NA,8,24,1998,8,26,70,1998-08-26,D,40,D,D,49.39,50.61,47.77,48.95,9.39,4.5
906,NA,567,NA,2,19,1998,2,22,255.5,1998-02-22,D,50,D,D,49.39,50.61,47.77,48.95,-0.6099999999999994,4.5
907,NA,908,NA,3,25,1998,3,29,221,1998-03-29,D,52,D,D,49.39,50.61,47.77,48.95,-2.6099999999999994,4.5
908,NA,753.0986938,NA,9,22,1998,9,23,41.5,1998-09-23,D,44,D,D,49.39,50.61,47.77,48.95,5.390000000000001,4.5
909,NA,924.9013062,NA,10,14,1998,10,18,18,1998-10-18,D,43,D,D,49.39,50.61,47.77,48.95,6.390000000000001,4.5
910,NA,903,NA,2,11,1998,2,12,264.5,1998-02-12,D,36,D,D,49.39,50.61,47.77,48.95,13.39,4.5
911,NA,1024,NA,6,30,1998,7,1,125.5,1998-07-01,D,45,D,D,49.39,50.61,47.77,48.95,4.390000000000001,4.5
912,NA,600,NA,10,13,1998,10,18,18.5,1998-10-18,D,41,D,D,49.39,50.61,47.77,48.95,8.39,4.5
913,NA,832,NA,10,2,1998,10,5,30.5,1998-10-05,D,42,D,D,49.39,50.61,47.77,48.95,7.390000000000001,4.5
914,NA,852,NA,7,29,1998,8,2,95,1998-08-02,D,49,D,D,49.39,50.61,47.77,48.95,0.39000000000000057,4.5
915,NA,811,NA,7,30,1998,7,30,96,1998-07-30,D,44,D,D,49.39,50.61,47.77,48.95,5.390000000000001,4.5
916,NA,1100,NA,10,1,1998,10,4,31.5,1998-10-04,D,46,D,D,49.39,50.61,47.77,48.95,3.3900000000000006,4.5
