Office,State,CensusPop,raceYear,Area,RepVotes,RepCandidate,RepStatus,DemVotes,DemCandidate,DemStatus,ThirdParty,ThirdVotes,ThirdCandidate,ThirdStatus,OtherVotes,PluralityVotes,PluralityParty,ThirdVotesTotalPercent,RepVotesMajorPercent,DemVotesMajorPercent,raceNotes,st_fips,state_abb,CD,district_num,district_id,WinnerParty,TotalVotesMajor,vote_margin,R_vote_margin
House,Arizona,NA,2020,District 3,95594,"Wood, Daniel",Challenger,174243,"Grijalva, Raúl M.",Incumbent,NA,NA,NA,NA,NA,78649,D,0,35.43,64.57,NA,4,AZ,AZ-03,3,AZ03,D,269837,0.291468553,-0.2914
House,Arizona,NA,2020,District 4,278002,"Gosar, Paul",Incumbent,120484,"DiSanto, Delina",Challenger,NA,NA,NA,NA,NA,157518,R,0,69.76,30.24,NA,4,AZ,AZ-04,4,AZ04,R,398486,0.395291177,0.3952
House,Arizona,NA,2020,District 5,262414,"Biggs, Andy",Incumbent,183171,"Greene, Joan",Challenger,NA,NA,NA,NA,NA,79243,R,0,58.89,41.11,NA,4,AZ,AZ-05,5,AZ05,R,445585,0.177840367,0.1778
House,Arizona,NA,2020,District 6,217783,"Schweikert, David",Incumbent,199644,"Tipirneni, Hiral",Challenger,NA,NA,NA,NA,NA,18139,R,0,52.17,47.83,NA,4,AZ,AZ-06,6,AZ06,R,417427,0.043454305,0.0434
House,Arizona,NA,2020,District 7,50226,"Barnett, Josh",Challenger,165452,"Gallego, Ruben",Incumbent,NA,NA,NA,NA,NA,115226,D,0,23.29,76.71,NA,4,AZ,AZ-07,7,AZ07,D,215678,0.534250132,-0.5342
House,Arizona,NA,2020,District 8,254633,"Lesko, Debbie",Incumbent,170816,"Muscato, Michael Archangel",Challenger,NA,NA,NA,NA,NA,83817,R,0,59.85,40.15,NA,4,AZ,AZ-08,8,AZ08,R,425449,0.197008337,0.197
House,Arizona,NA,2020,District 9,135180,"Giles, Dave",Challenger,217094,"Stanton, Greg",Incumbent,NA,NA,NA,NA,NA,81914,D,0,38.37,61.63,NA,4,AZ,AZ-09,9,AZ09,D,352274,0.232529224,-0.2326
House,Arkansas,NA,2020,District 1,237596,"Crawford, Rick",Incumbent,0,NA,NA,NA,NA,NA,NA,NA,237596,R,0,100,0,NA,5,AR,AR-01,1,AR01,R,237596,1,1
House,Arkansas,NA,2020,District 2,184093,"Hill, French",Incumbent,148410,"Elliott, Joyce",Challenger,NA,NA,NA,NA,NA,35683,R,0,55.37,44.63,NA,5,AR,AR-02,2,AR02,R,332503,0.107316325,0.1074
House,Arkansas,NA,2020,District 3,214960,"Womack, Steve",Incumbent,106325,"Williams, Celeste",Challenger,Libertarian,12977,"Kalagias, Michael J.",Challenger,NA,108635,R,3.88,66.91,33.09,NA,5,AR,AR-03,3,AR03,R,321285,0.338126585,0.3382
House,Arkansas,NA,2020,District 4,191617,"Westerman, Bruce",Incumbent,75750,"Hanson, William",Challenger,Libertarian,7668,"Gilbert, Frank",Challenger,NA,115867,R,2.79,71.67,28.33,NA,5,AR,AR-04,4,AR04,R,267367,0.43336313,0.4334
House,California,NA,2020,District 1,204190,"LaMalfa, Doug",Incumbent,154073,"Denney, Audrey",Challenger,NA,NA,NA,NA,NA,50117,R,0,56.99,43.01,NA,6,CA,CA-01,1,CA01,R,358263,0.139888853,0.1398
House,California,NA,2020,District 2,94320,"Mensing, Dale K.",Challenger,294435,"Huffman, Jared",Incumbent,NA,NA,NA,NA,NA,200115,D,0,24.26,75.74,NA,6,CA,CA-02,2,CA02,D,388755,0.514758653,-0.5148
House,California,NA,2020,District 3,145945,"Hamilton, Tamika",Challenger,176043,"Garamendi, John",Incumbent,NA,NA,NA,NA,NA,30098,D,0,45.33,54.67,NA,6,CA,CA-03,3,CA03,D,321988,0.093475533,-0.0934
House,California,NA,2020,District 4,247291,"McClintock, Tom",Incumbent,194731,"Kennedy, Brynne S.",Challenger,NA,NA,NA,NA,NA,52560,R,0,55.95,44.05,NA,6,CA,CA-04,4,CA04,R,442022,0.118908109,0.119
House,California,NA,2020,District 5,85227,"Giblin, Scott",Challenger,271233,"Thompson, Mike",Incumbent,NA,NA,NA,NA,NA,186006,D,0,23.91,76.09,NA,6,CA,CA-05,5,CA05,D,356460,0.521814509,-0.5218
House,California,NA,2020,District 6,83466,"Bish, Chris",Challenger,229648,"Matsui, Doris",Incumbent,NA,NA,NA,NA,NA,146182,D,0,26.66,73.34,NA,6,CA,CA-06,6,CA06,D,313114,0.466865103,-0.4668
House,California,NA,2020,District 7,166549,"Patterson, Buzz",Challenger,217416,"Bera, Ami",Incumbent,NA,NA,NA,NA,NA,50867,D,0,43.38,56.62,NA,6,CA,CA-07,7,CA07,D,383965,0.132478221,-0.1324
House,California,NA,2020,District 8,158711,"Obernolte, Jay",Challenger,124400,"Bubser, Christine",Challenger,NA,NA,NA,NA,NA,34311,R,0,56.06,43.94,NA,6,CA,CA-08,8,CA08,R,283111,0.121192748,0.1212
House,California,NA,2020,District 9,128358,"Amador, Antonio C.",Challenger,174252,"McNerney, Jerry",Incumbent,NA,NA,NA,NA,NA,45894,D,0,42.42,57.58,NA,6,CA,CA-09,9,CA09,D,302610,0.151660553,-0.1516
House,California,NA,2020,District 10,135629,"Howze, Ted II",Challenger,166865,"Harder, Josh",Incumbent,NA,NA,NA,NA,NA,31236,D,0,44.84,55.16,NA,6,CA,CA-10,10,CA10,D,302494,0.103261552,-0.1032
House,California,NA,2020,District 11,100293,"Sharma, Nisha",Challenger,271063,"DeSaulnier, Mark",Incumbent,NA,NA,NA,NA,NA,170770,D,0,27.01,72.99,NA,6,CA,CA-11,11,CA11,D,371356,0.459855233,-0.4598
House,California,NA,2020,District 12,0,NA,NA,281776,"Pelosi, Nancy",Incumbent,Democrat,81174,"Buttar, Shahid",Challenger,NA,200602,D,22.37,0,100,NA,6,CA,CA-12,12,CA12,D,281776,0.711920107,-1
House,California,NA,2020,District 13,34955,"Piterman, Nikka",Challenger,327863,"Lee, Barbara",Incumbent,NA,NA,NA,NA,NA,292908,D,0,9.63,90.37,NA,6,CA,CA-13,13,CA13,D,362818,0.80731386,-0.8074
House,California,NA,2020,District 14,72705,"Petel, Ran S.",Challenger,278300,"Speier, Jackie",Incumbent,NA,NA,NA,NA,NA,205595,D,0,20.71,79.29,NA,6,CA,CA-14,14,CA14,D,351005,0.585732397,-0.5858
House,California,NA,2020,District 15,99710,"Hayden, Alison",Challenger,242991,"Swalwell, Eric",Incumbent,NA,NA,NA,NA,NA,143281,D,0,29.1,70.9,NA,6,CA,CA-15,15,CA15,D,342701,0.418093323,-0.418
House,California,NA,2020,District 16,88039,"Cookingham, Kevin",Challenger,128690,"Costa, Jim",Incumbent,NA,NA,NA,NA,NA,40651,D,0,40.62,59.38,NA,6,CA,CA-16,16,CA16,D,216729,0.187566039,-0.1876
House,California,NA,2020,District 17,85199,"Tandon, Ritesh",Challenger,212137,"Khanna, Ro",Incumbent,NA,NA,NA,NA,NA,126938,D,0,28.65,71.35,NA,6,CA,CA-17,17,CA17,D,297336,0.426917696,-0.427
House,California,NA,2020,District 18,0,NA,NA,217388,"Eshoo, Anna G.",Incumbent,Democrat,126751,"Kumar, Rishi",Challenger,NA,90637,D,36.83,0,100,NA,6,CA,CA-18,18,CA18,D,217388,0.416936537,-1
House,California,NA,2020,District 19,88642,"Aguilera, Justin James",Challenger,224385,"Lofgren, Zoe",Incumbent,NA,NA,NA,NA,NA,135743,D,0,28.32,71.68,NA,6,CA,CA-19,19,CA19,D,313027,0.433646299,-0.4336
House,California,NA,2020,District 20,71658,"Gorman, Jeff",Challenger,236896,"Panetta, Jimmy",Incumbent,NA,NA,NA,NA,NA,165238,D,0,23.22,76.78,NA,6,CA,CA-20,20,CA20,D,308554,0.535523766,-0.5356
House,California,NA,2020,District 21,85928,"Valadao, David",Challenger,84406,"Cox, T.J.",Incumbent,NA,NA,NA,NA,NA,1522,R,0,50.45,49.55,NA,6,CA,CA-21,21,CA21,R,170334,0.008935386,0.009
House,California,NA,2020,District 22,170888,"Nunes, Devin",Incumbent,144251,"Arballo, Phil",Challenger,NA,NA,NA,NA,NA,26637,R,0,54.23,45.77,NA,6,CA,CA-22,22,CA22,R,315139,0.084524607,0.0846
House,California,NA,2020,District 23,190222,"McCarthy, Kevin",Incumbent,115896,"Mangone, Kim",Challenger,NA,NA,NA,NA,NA,74326,R,0,62.14,37.86,NA,6,CA,CA-23,23,CA23,R,306118,0.242801795,0.2428
House,California,NA,2020,District 24,149781,"Caldwell, Andy",Challenger,212564,"Carbajal, Salud",Incumbent,NA,NA,NA,NA,NA,62783,D,0,41.34,58.66,NA,6,CA,CA-24,24,CA24,D,362345,0.17326857,-0.1732
House,California,NA,2020,District 25,169638,"Garcia, Mike",Incumbent,169305,"Smith, Christy",Challenger,NA,NA,NA,NA,NA,333,R,0,50.05,49.95,NA,6,CA,CA-25,25,CA25,R,338943,0.000982466,0.001
House,California,NA,2020,District 26,135877,"Baldwin-Kennedy, Ronda",Challenger,208856,"Brownley, Julia",Incumbent,NA,NA,NA,NA,NA,72979,D,0,39.42,60.58,NA,6,CA,CA-26,26,CA26,D,344733,0.211697169,-0.2116
House,California,NA,2020,District 27,95907,"Nalbandian, Johnny",Challenger,221411,"Chu, Judy",Incumbent,NA,NA,NA,NA,NA,125504,D,0,30.22,69.78,NA,6,CA,CA-27,27,CA27,D,317318,0.395514909,-0.3956
House,California,NA,2020,District 28,91928,"Early, Eric",Challenger,244271,"Schiff, Adam B.",Incumbent,NA,NA,NA,NA,NA,152343,D,0,27.34,72.66,NA,6,CA,CA-28,28,CA28,D,336199,0.453133412,-0.4532
House,California,NA,2020,District 29,0,NA,NA,119420,"Cardenas, Tony",Incumbent,Democrat,91524,"Duenas, Angelica Maria",Challenger,NA,27896,D,43.39,0,100,NA,6,CA,CA-29,29,CA29,D,119420,0.233595713,-1
House,California,NA,2020,District 30,105426,"Reed, Mark",Challenger,240038,"Sherman, Brad",Incumbent,NA,NA,NA,NA,NA,134612,D,0,30.52,69.48,NA,6,CA,CA-30,30,CA30,D,345464,0.389655652,-0.3896
House,California,NA,2020,District 31,110735,"Gibboney, Agnes",Challenger,175315,"Aguilar, Pete",Incumbent,NA,NA,NA,NA,NA,64580,D,0,38.71,61.29,NA,6,CA,CA-31,31,CA31,D,286050,0.225764726,-0.2258
House,California,NA,2020,District 32,86818,"Scott, Joshua M.",Challenger,172942,"Napolitano, Grace Flores",Incumbent,NA,NA,NA,NA,NA,86124,D,0,33.42,66.58,NA,6,CA,CA-32,32,CA32,D,259760,0.331552202,-0.3316
House,California,NA,2020,District 33,123334,"Bradley, James",Challenger,257094,"Lieu, Ted W.",Incumbent,NA,NA,NA,NA,NA,133760,D,0,32.42,67.58,NA,6,CA,CA-33,33,CA33,D,380428,0.351603983,-0.3516
House,California,NA,2020,District 34,0,NA,NA,108792,"Gomez, Jimmy",Incumbent,Democrat,96554,"Kim, David",Challenger,NA,12238,D,47.02,0,100,NA,6,CA,CA-34,34,CA34,D,108792,0.112489889,-1
House,California,NA,2020,District 35,74941,"Cargile, Mike",Challenger,169405,"Torres, Norma",Incumbent,NA,NA,NA,NA,NA,94464,D,0,30.67,69.33,NA,6,CA,CA-35,35,CA35,D,244346,0.38659933,-0.3866
House,California,NA,2020,District 36,121698,"Cruz, Erin",Challenger,185151,"Ruiz, Raul",Incumbent,NA,NA,NA,NA,NA,63453,D,0,39.66,60.34,NA,6,CA,CA-36,36,CA36,D,306849,0.206789007,-0.2068
House,California,NA,2020,District 37,41705,"Webber, Errol",Challenger,254916,"Bass, Karen",Incumbent,NA,NA,NA,NA,NA,213211,D,0,14.06,85.94,NA,6,CA,CA-37,37,CA37,D,296621,0.718799411,-0.7188
House,California,NA,2020,District 38,0,NA,NA,190467,"Sanchez, Linda",Incumbent,Democrat,65739,"Tolar, Michael",Challenger,NA,124728,D,25.66,0,100,NA,6,CA,CA-38,38,CA38,D,190467,0.654853597,-1
House,California,NA,2020,District 39,173946,"Kim, Young",Challenger,169837,"Cisneros, Gil",Incumbent,NA,NA,NA,NA,NA,4109,R,0,50.6,49.4,NA,6,CA,CA-39,39,CA39,R,343783,0.011952307,0.012
House,California,NA,2020,District 40,50809,"Delgado, C. Antonio",Challenger,135572,"Roybal-Allard, Lucille",Incumbent,NA,NA,NA,NA,NA,84763,D,0,27.26,72.74,NA,6,CA,CA-40,40,CA40,D,186381,0.454783481,-0.4548
House,California,NA,2020,District 41,94447,"Smith, Aja",Challenger,168126,"Takano, Mark A.",Incumbent,NA,NA,NA,NA,NA,73679,D,0,35.97,64.03,NA,6,CA,CA-41,41,CA41,D,262573,0.28060387,-0.2806
House,California,NA,2020,District 42,210274,"Calvert, Ken",Incumbent,157773,"O'Mara, William",Challenger,NA,NA,NA,NA,NA,52501,R,0,57.13,42.87,NA,6,CA,CA-42,42,CA42,R,368047,0.142647542,0.1426
House,California,NA,2020,District 43,78688,"Collins, Joe E. III",Challenger,199210,"Waters, Maxine",Incumbent,NA,NA,NA,NA,NA,120522,D,0,28.32,71.68,NA,6,CA,CA-43,43,CA43,D,277898,0.433691498,-0.4336
House,California,NA,2020,District 44,0,NA,NA,139661,"Barragan, Nanette Diaz",Incumbent,Democrat,66375,"Joya, Analilia",Challenger,NA,73286,D,32.22,0,100,NA,6,CA,CA-44,44,CA44,D,139661,0.524742054,-1
House,California,NA,2020,District 45,193096,"Raths, Greg G.",Challenger,221843,"Porter, Katie",Incumbent,NA,NA,NA,NA,NA,28747,D,0,46.54,53.46,NA,6,CA,CA-45,45,CA45,D,414939,0.069280063,-0.0692
House,California,NA,2020,District 46,71716,"Waters, James S.",Challenger,157803,"Correa, Lou",Incumbent,NA,NA,NA,NA,NA,86087,D,0,31.25,68.75,NA,6,CA,CA-46,46,CA46,D,229519,0.375075702,-0.375
House,California,NA,2020,District 47,114371,"Briscoe, John",Challenger,197028,"Lowenthal, Alan",Incumbent,NA,NA,NA,NA,NA,82657,D,0,36.73,63.27,NA,6,CA,CA-47,47,CA47,D,311399,0.26543759,-0.2654
House,California,NA,2020,District 48,201738,"Steel, Michelle",Challenger,193362,"Rouda, Harley Jr.",Incumbent,NA,NA,NA,NA,NA,8376,R,0,51.06,48.94,NA,6,CA,CA-48,48,CA48,R,395100,0.021199696,0.0212
House,California,NA,2020,District 49,181157,"Maryott, Brian",Challenger,205349,"Levin, Mike",Incumbent,NA,NA,NA,NA,NA,24192,D,0,46.87,53.13,NA,6,CA,CA-49,49,CA49,D,386506,0.062591525,-0.0626
House,California,NA,2020,District 50,195521,"Issa, Darrell",Challenger,166869,"Campa-Najjar, Ammar",Challenger,NA,NA,NA,NA,NA,28652,R,0,53.95,46.05,NA,6,CA,CA-50,50,CA50,R,362390,0.079063992,0.079
House,California,NA,2020,District 51,76841,"Hidalgo, Juan M. Jr.",Challenger,165596,"Vargas, Juan",Incumbent,NA,NA,NA,NA,NA,88755,D,0,31.7,68.3,NA,6,CA,CA-51,51,CA51,D,242437,0.366095109,-0.366
House,California,NA,2020,District 52,152350,"DeBello, Jim",Challenger,244145,"Peters, Scott",Incumbent,NA,NA,NA,NA,NA,91795,D,0,38.42,61.58,NA,6,CA,CA-52,52,CA52,D,396495,0.23151616,-0.2316
House,California,NA,2020,District 53,0,NA,NA,199244,"Jacobs, Sara",Challenger,Democrat,135614,"Gomez, Georgette",Challenger,NA,63630,D,40.5,0,100,NA,6,CA,CA-53,53,CA53,D,199244,0.31935717,-1
House,Colorado,NA,2020,District 1,105955,"Bolling, Shane",Challenger,331621,"DeGette, Diana L.",Incumbent,Libertarian,8749,"Furey, Kyle",Challenger,2524,225666,D,1.95,24.21,75.79,"The other vote was: Fiorino, Paul Noel (Unity) 2,524",8,CO,CO-01,1,CO01,D,437576,0.515718412,-0.5158
House,Colorado,NA,2020,District 2,182547,"Winn, Charlie",Challenger,316925,"Neguse, Joseph",Incumbent,Libertarian,13657,"Atkinson, Tom",Challenger,2534,134378,D,2.65,36.55,63.45,"The other vote was: Swing, Gary (Unity) 2,534",8,CO,CO-02,2,CO02,D,499472,0.269040106,-0.269
House,Colorado,NA,2020,District 3,220634,"Boebert, Lauren",Challenger,194122,"Bush, Diane Mitsch",Challenger,Libertarian,10298,"Keil, John",Challenger,4265,26512,R,2.4,53.2,46.8,"The other vote was: Milton, Christopher Hawkins Critter (United) 4,265",8,CO,CO-03,3,CO03,R,414756,0.06392192,0.064
House,Colorado,NA,2020,District 4,285606,"Buck, Ken",Incumbent,173945,"McCorkle, Ike",Challenger,Libertarian,11026,"Griffith, Bruce",Challenger,4530,111661,R,2.32,62.15,37.85,"The other vote was: Ireland, Laura (Unity) 4,530",8,CO,CO-04,4,CO04,R,459551,0.242978472,0.243
House,Colorado,NA,2020,District 5,249013,"Lamborn, Doug",Incumbent,161600,"Freeland, Jillian",Challenger,Libertarian,14777,"Duffett, Ed",Challenger,7017,87413,R,3.42,60.64,39.36,"The other vote was: Murphy, Marcus (Write-in) 3,708; Keltie, Rebecca (Unity) 3,309",8,CO,CO-05,5,CO05,R,410613,0.212884151,0.2128
House,Colorado,NA,2020,District 6,175192,"House, Steve",Challenger,250314,"Crow, Jason",Incumbent,Libertarian,9083,"Olsen, Norm",Challenger,3884,75122,D,2.07,41.17,58.83,"The other vote was: Kulikowski, Jaimie (Unity) 3,884",8,CO,CO-06,6,CO06,D,425506,0.176547452,-0.1766
House,Colorado,NA,2020,District 7,159301,"Stockham, Charles",Challenger,250525,"Perlmutter, Ed",Incumbent,Libertarian,11510,"Biles, Ken",Challenger,2355,91224,D,2.72,38.87,61.13,"The other vote was: Olszta, David (Unity) 2,355",8,CO,CO-07,7,CO07,D,409826,0.222592027,-0.2226
House,Connecticut,NA,2020,District 1,122111,"Fay, Mary",Challenger,222668,"Larson, John B.",Incumbent,Green,4458,"McCormick, Thomas",Challenger,NA,100557,D,1.28,35.42,64.58,NA,9,CT,CT-01,1,CT01,D,344779,0.291656394,-0.2916
House,Connecticut,NA,2020,District 2,140356,"Anderson, Justin",Challenger,218119,"Courtney, Joe",Incumbent,Green,4960,"Martineau, Cassandra",Challenger,3912,77763,D,1.35,39.15,60.85,"The other vote was: Reale, Daniel (Libertarian) 3,903; Traceski, John M. (Write-in) 9",9,CT,CT-02,2,CT02,D,358475,0.216927261,-0.217
House,Connecticut,NA,2020,District 3,137598,"Streicker, Margaret",Challenger,203265,"DeLauro, Rosa L.",Incumbent,Green,5240,"Paglino, Justin C.",Challenger,NA,65667,D,1.51,40.37,59.63,NA,9,CT,CT-03,3,CT03,D,340863,0.192649246,-0.1926
House,Connecticut,NA,2020,District 4,130627,"Riddle, Jonathan",Challenger,224432,"Himes, Jim",Incumbent,Independent,5647,"Merlen, Brian",Challenger,10,93805,D,1.57,36.79,63.21,"The other vote was: Peng, Yusheng (Write-in) 10",9,CT,CT-04,4,CT04,D,355059,0.264195528,-0.2642
House,Connecticut,NA,2020,District 5,151988,"Sullivan, David Xavier",Challenger,192484,"Hayes, Jahana",Incumbent,Independent,5052,"Walczak, Bruce W.",Challenger,NA,40496,D,1.45,44.12,55.88,NA,9,CT,CT-05,5,CT05,D,344472,0.117559627,-0.1176
House,Delaware,NA,2020,At Large,196392,"Murphy, Lee H.",Challenger,281382,"Rochester, Lisa Blunt",Incumbent,Independent Party of Delaware,6682,"Purcell, Catherine S.",Challenger,3814,84990,D,1.37,41.11,58.89,"The other vote was: Rogers, David L. (Libertarian) 3,814",10,DE,DE-AL,0,DE00,D,477774,0.177887453,-0.1778
House,Florida,NA,2020,District 1,283352,"Gaetz, Matt",Incumbent,149172,"Ehr, Phil",Challenger,No Party Affiliation,6038,"Oram, Albert",Challenger,NA,134180,R,1.38,65.51,34.49,NA,12,FL,FL-01,1,FL01,R,432524,0.31022556,0.3102
House,Florida,NA,2020,District 2,305337,"Dunn, Neal",Incumbent,0,NA,NA,Write-in,6662,"O'Connor, Kim",Challenger,NA,298675,R,2.14,100,0,NA,12,FL,FL-02,2,FL02,R,305337,0.978181485,1
House,Florida,NA,2020,District 3,223075,"Cammack, Kat",Challenger,167326,"Christensen, Adam",Challenger,NA,NA,NA,NA,NA,55749,R,0,57.14,42.86,NA,12,FL,FL-03,3,FL03,R,390401,0.142799327,0.1428
House,Florida,NA,2020,District 4,308497,"Rutherford, John",Incumbent,196423,"Deegan, Donna",Challenger,Write-in,20,"Koniz, Gary L.",Challenger,NA,112074,R,0,61.1,38.9,NA,12,FL,FL-04,4,FL04,R,504920,0.221963875,0.222
House,Florida,NA,2020,District 5,117510,"Adler, Gary",Challenger,219463,"Lawson, Al",Incumbent,NA,NA,NA,NA,NA,101953,D,0,34.87,65.13,NA,12,FL,FL-05,5,FL05,D,336973,0.302555398,-0.3026
House,Florida,NA,2020,District 6,265393,"Waltz, Michael",Incumbent,172305,"Curtis, Clint",Challenger,Write-in,112,"Nolan, John G.",Challenger,46,93088,R,0.03,60.63,39.37,"The other vote was: Grayson, Alan (Write-in) 46",12,FL,FL-06,6,FL06,R,437698,0.21267632,0.2126
House,Florida,NA,2020,District 7,175750,"Valentin, Leo",Challenger,224946,"Murphy, Stephanie",Incumbent,No Party Affiliation,5753,"Garlington, William R.",Challenger,NA,49196,D,1.42,43.86,56.14,NA,12,FL,FL-07,7,FL07,D,400696,0.122776369,-0.1228
House,Florida,NA,2020,District 8,282093,"Posey, Bill",Incumbent,177695,"Kennedy, Jim",Challenger,NA,NA,NA,NA,NA,104398,R,0,61.35,38.65,NA,12,FL,FL-08,8,FL08,R,459788,0.227056817,0.227
House,Florida,NA,2020,District 9,188889,"Olson, William P.",Challenger,240724,"Soto, Darren",Incumbent,Write-in,25,"Hill, Clay",Challenger,NA,51835,D,0.01,43.97,56.03,NA,12,FL,FL-09,9,FL09,D,429613,0.120655101,-0.1206
House,Florida,NA,2020,District 10,136889,"Francois, Vennia",Challenger,239434,"Demings, Val B.",Incumbent,Write-in,74,"Yasmine, Sufiyah",Challenger,NA,102545,D,0.02,36.38,63.62,NA,12,FL,FL-10,10,FL10,D,376323,0.272491982,-0.2724
House,Florida,NA,2020,District 11,316979,"Webster, Daniel A.",Incumbent,158094,"Cottrell, Dana",Challenger,NA,NA,NA,NA,NA,158885,R,0,66.72,33.28,NA,12,FL,FL-11,11,FL11,R,475073,0.334443338,0.3344
House,Florida,NA,2020,District 12,284941,"Bilirakis, Gus Michael",Incumbent,168194,"Walker, Kimberly H.",Challenger,NA,NA,NA,NA,NA,116747,R,0,62.88,37.12,NA,12,FL,FL-12,12,FL12,R,453135,0.257642866,0.2576
House,Florida,NA,2020,District 13,190713,"Paulina Luna, Anna",Challenger,215405,"Crist, Charlie",Incumbent,Write-in,7,"Curnow, Jacob",Challenger,NA,24692,D,0,46.96,53.04,NA,12,FL,FL-13,13,FL13,D,406118,0.060800063,-0.0608
House,Florida,NA,2020,District 14,147896,"Quinn, Christine",Challenger,224240,"Castor, Kathy",Incumbent,NA,NA,NA,NA,NA,76344,D,0,39.74,60.26,NA,12,FL,FL-14,14,FL14,D,372136,0.205150805,-0.2052
House,Florida,NA,2020,District 15,216374,"Franklin, Scott",Challenger,174297,"Cohn, Alan Michael",Challenger,NA,NA,NA,NA,NA,42077,R,0,55.39,44.61,NA,12,FL,FL-15,15,FL15,R,390671,0.107704437,0.1078
House,Florida,NA,2020,District 16,269001,"Buchanan, Vern",Incumbent,215683,"Good, Margaret Elizabeth Rowell",Challenger,NA,NA,NA,NA,NA,53318,R,0,55.5,44.5,NA,12,FL,FL-16,16,FL16,R,484684,0.110005694,0.11
House,Florida,NA,2020,District 17,266514,"Steube, Greg",Incumbent,140487,"Ellison, Allen",Challenger,No Party Affiliation,5396,"Murray, Theodore Andrew",Challenger,NA,126027,R,1.31,65.48,34.52,NA,12,FL,FL-17,17,FL17,R,407001,0.309647888,0.3096
House,Florida,NA,2020,District 18,253286,"Mast, Brian",Incumbent,186674,"Keith, Pamela",Challenger,No Party Affiliation,9760,"Miller, K.W.",Challenger,NA,66612,R,2.17,57.57,42.43,NA,12,FL,FL-18,18,FL18,R,439960,0.151404673,0.1514
House,Florida,NA,2020,District 19,272440,"Donalds, Byron",Challenger,172146,"Banyai, Cindy Lyn",Challenger,Write-in,3,"Post, Patrick",Challenger,NA,100294,R,0,61.28,38.72,NA,12,FL,FL-19,19,FL19,R,444586,0.22558965,0.2256
House,Florida,NA,2020,District 20,68748,"Musselwhite, Greg",Challenger,253661,"Hastings, Alcee L.",Incumbent,NA,NA,NA,NA,NA,184913,D,0,21.32,78.68,NA,12,FL,FL-20,20,FL20,D,322409,0.573535478,-0.5736
