pollster,sample_size,type,dem,rep,bmonth,bday,year,emonth,eday,days_until_election
Gallup Poll,1504,,53,39,5,12,1955,5,17,541.5
Gallup Poll,1500,,50,43,12,8,1955,12,13,331.5
Gallup Poll,1531,,53,40,4,14,1955,4,19,569.5
Gallup Poll,1502,,53,41,8,4,1955,8,9,457.5
Gallup Poll,1545,,54,37,11,17,1955,11,22,352.5
Gallup Poll,1500,,50,39,9,15,1955,9,20,415.5
Gallup Poll,1500,,54,39,8,25,1955,8,30,436.5
Gallup Poll,1559,,53,44,3,8,1956,3,13,240.5
Gallup Poll,1500,,52,41,8,3,1956,8,8,92.5
Gallup Poll,1559,,51,44,3,8,1956,3,13,240.5
Gallup Poll,2031,,50,43,2,16,1956,2,21,261.5
Gallup Poll,2175,,53,42,10,18,1956,10,23,16.5
Gallup Poll,1385,,54,39,1,6,1956,1,11,302.5
Gallup Poll,1500,,53,37,6,15,1956,6,20,141.5
Gallup Poll,2207,,49,43,9,20,1956,9,25,44.5
Gallup Poll,1500,,52,42,5,10,1956,5,15,177.5
Gallup Poll,1500,,52,37,6,15,1956,6,20,141.5
Gallup Poll,1500,,51,43,10,7,1956,10,12,27.5
Gallup Poll,1500,,52,42,5,31,1956,6,5,156.5
Gallup Poll,1979,,52,41,9,9,1956,9,14,55.5
Gallup Poll,1500,,53,42,7,12,1956,7,17,114.5
Gallup Poll,2254,,49,43,8,23,1956,8,28,72.5
Gallup Poll,1500,,52,41,4,19,1956,4,24,198.5
Gallup Poll,2000,,56,40,3,29,1956,4,3,219.5
Gallup Poll,1531,,50,42,2,28,1957,3,5,611.5
Gallup Poll,1627,,52,41,3,15,1957,3,20,596.5
Gallup Poll,1500,,51,39,6,6,1957,6,11,513.5
Gallup Poll,1570,,52,41,5,17,1957,5,22,533.5
Gallup Poll,1505,,57,36,11,7,1957,11,12,359.5
Gallup Poll,1573,,53,40,10,10,1957,10,15,387.5
Gallup Poll,1541,,54,39,11,28,1957,12,4,338
Gallup Poll,1530,,53,40,9,19,1957,9,24,408.5
Gallup Poll,1520,,50,43,6,27,1957,7,2,492.5
Gallup Poll,1654,,50,42,4,6,1957,4,11,574.5
Gallup Poll,1528,,52,40,8,29,1957,9,4,429
Gallup Poll,1534,,53,41,7,18,1957,7,23,471.5
Gallup Poll,1542,,54,38,8,8,1957,8,13,450.5
Gallup Poll,1659,,55,38,4,25,1957,4,30,555.5
Gallup Poll,1553,,52,38,10,15,1958,10,20,17.5
Gallup Poll,1514,,57,36,9,10,1958,9,15,52.5
Gallup Poll,1500,,52,38,5,28,1958,6,2,157.5
Gallup Poll,833,,55,35,9,24,1958,9,29,38.5
Gallup Poll,1527,,54,37,1,2,1958,1,7,303.5
Gallup Poll,1542,,55,39,1,24,1958,1,29,281.5
Gallup Poll,1633,,58,35,3,27,1958,4,1,219.5
Gallup Poll,1513,,58,33,7,10,1958,7,15,114.5
Gallup Poll,1482,,58,34,2,14,1958,2,19,260.5
Gallup Poll,1609,,57,36,3,6,1958,3,11,240.5
Gallup Poll,1636,,56,38,5,7,1958,5,12,178.5
Gallup Poll,1563,,55,36,8,20,1958,8,25,73.5
Gallup Poll,1439,,55,36,4,16,1958,4,21,199.5
Gallup Poll,1621,,54,38,7,30,1958,8,4,94.5
Gallup Poll,1542,,59,34,4,29,1959,5,4,556.5
Gallup Poll,3086,,55,37,9,18,1959,9,23,414.5
Gallup Poll,1636,,54,38,11,12,1959,11,17,359.5
Gallup Poll,1616,,56,37,2,4,1959,2,9,640.5
Gallup Poll,1540,,57,35,6,25,1959,6,30,499.5
Gallup Poll,1591,,60,32,1,7,1959,1,12,668.5
Gallup Poll,1560,,57,36,12,3,1959,12,8,338.5
Gallup Poll,1527,,58,36,12,10,1959,12,15,331.5
Gallup Poll,1506,,53,37,8,20,1959,8,25,443.5
Gallup Poll,1536,,57,37,5,29,1959,6,3,526.5
Gallup Poll,1500,,56,36,10,16,1959,10,21,386.5
Gallup Poll,1538,,58,34,7,23,1959,7,28,471.5
Gallup Poll,1531,,62,32,3,4,1959,3,9,612.5
Gallup Poll,1737,,58,35,4,2,1959,4,7,583.5
Gallup Poll,1553,,51,41,7,30,1960,8,4,98.5
Gallup Poll,1619,,55,38,8,11,1960,8,16,86.5
Gallup Poll,1638,,54,37,2,4,1960,2,9,275.5
Gallup Poll,1535,,57,34,3,2,1960,3,7,248.5
Gallup Poll,1406,,59,34,6,30,1960,7,5,128.5
Gallup Poll,1653,,59,31,7,16,1960,7,21,112.5
Gallup Poll,1066,,55,37,9,7,1960,9,14,58.5
Gallup Poll,1599,,56,35,5,26,1960,5,31,163.5
Gallup Poll,1586,,56,36,3,30,1960,4,4,220.5
Gallup Poll,1511,,60,30,6,16,1960,6,21,142.5
Gallup Poll,1556,,56,37,10,18,1960,10,23,18.5
Gallup Poll,1645,,54,38,8,25,1960,8,30,72.5
Gallup Poll,1564,,57,33,1,6,1960,1,11,304.5
Gallup Poll,1668,,55,38,9,28,1960,10,2,39
Gallup Poll,1769,,55,36,4,28,1960,5,3,191.5
Gallup Poll,1629,,60,30,2,10,1961,2,15,631.5
Gallup Poll,1500,,62,30,12,7,1961,12,12,331.5
Gallup Poll,1608,,55,37,3,10,1961,3,15,603.5
Gallup Poll,1534,,56,37,8,24,1961,8,29,436.5
Gallup Poll,1583,,57,34,4,6,1961,4,11,576.5
Gallup Poll,1552,,63,28,9,21,1961,9,26,408.5
Gallup Poll,1625,,59,34,6,23,1961,6,28,498.5
Gallup Poll,1502,,57,37,1,12,1961,1,17,660.5
Gallup Poll,1647,,57,38,7,27,1961,8,1,464.5
Gallup Poll,1545,,62,31,5,17,1961,5,22,535.5
Gallup Poll,1500,,59,34,10,19,1961,10,24,380.5
Gallup Poll,1523,,60,30,11,17,1961,11,22,351.5
Gallup Poll,1601,,56,35,5,4,1961,5,9,548.5
Gallup Poll,1616,,60,31,1,11,1962,1,16,296.5
Gallup Poll,1503,,59,34,5,3,1962,5,8,184.5
Gallup Poll,1611,,53,36,7,26,1962,7,31,100.5
Gallup Poll,1512,,55,37,5,31,1962,6,5,156.5
Gallup Poll,1444.310059,,56,44,10,1,1962,10,7,33
Gallup Poll,1499,,57,32,8,23,1962,8,28,72.5
Gallup Poll,1599,,56,34,3,8,1962,3,13,240.5
Gallup Poll,1527,,60,35,6,28,1962,7,3,128.5
Gallup Poll,1644,,55,37,10,19,1962,10,24,15.5
Gallup Poll,1582,,60,32,4,6,1962,4,11,211.5
Gallup Poll,1701,,57,34,9,20,1962,9,25,44.5
Gallup Poll,1529,,62,29,2,6,1962,2,13,269.5
Gallup Poll,1444.310059,,56,45,10,29,1962,11,2,6
Gallup Poll,1729,,54,38,5,8,1963,5,13,542.5
Gallup Poll,1658,,55,34,5,23,1963,5,28,527.5
Gallup Poll,1550,,53,37,9,12,1963,9,17,415.5
Gallup Poll,1635,,54,36,11,8,1963,11,13,358.5
Gallup Poll,1573,,58,32,7,18,1963,7,23,471.5
Gallup Poll,1606,,59,33,6,21,1963,6,26,498.5
Gallup Poll,1589,,52,39,10,11,1963,10,16,386.5
Gallup Poll,1661,,55,35,2,5,1963,2,12,633.5
Gallup Poll,768,,59,33,1,11,1963,1,16,659.5
Gallup Poll,1613,,59,31,12,5,1963,12,10,331.5
Gallup Poll,1588,,58,34,8,15,1963,8,20,443.5
Gallup Poll,1675,,53,36,3,8,1963,3,13,603.5
Gallup Poll,1632,,57,34,5,2,1963,5,7,548.5
Gallup Poll,1550,,60,31,10,8,1964,10,13,23.5
Gallup Poll,1581,,59,32,6,25,1964,6,30,128.5
Gallup Poll,1634,,52,36,7,23,1964,7,28,100.5
Gallup Poll,1701,,58,30,3,13,1964,3,17,233
Gallup Poll,1569,,62,30,8,27,1964,9,1,65.5
Gallup Poll,1607,,59,30,5,6,1964,5,11,178.5
Gallup Poll,1640,,60,31,5,22,1964,5,27,162.5
Gallup Poll,1600,,58,32,9,18,1964,9,23,43.5
Gallup Poll,1527,,60,32,6,11,1964,6,16,142.5
Gallup Poll,1676,,60,29,3,27,1964,4,2,218
Gallup Poll,1662,,63,28,2,28,1964,3,5,246
Gallup Poll,1631,,61,30,1,30,1964,2,5,275
Gallup Poll,1624,,59,29,6,4,1964,6,9,149.5
Gallup Poll,1557,,59,32,8,6,1964,8,11,86.5
Gallup Poll,4568,,62,36,11,6,1964,11,11,-5.5
Gallup Poll,1531,,58,31,4,2,1965,4,7,582.5
Gallup Poll,1611,,52,36,4,23,1965,4,28,561.5
Gallup Poll,2402,,56,33,10,8,1965,10,13,393.5
Gallup Poll,2285,,58,32,5,13,1965,5,18,541.5
Gallup Poll,2534,,60,29,6,24,1965,6,29,499.5
Gallup Poll,1599,,58,31,8,5,1965,8,10,457.5
Gallup Poll,1550,,57,33,2,19,1965,2,24,624.5
Gallup Poll,1648,,59,31,6,4,1965,6,9,519.5
Gallup Poll,1571,,57,31,9,16,1965,9,21,415.5
Gallup Poll,2249,,62,30,1,28,1965,2,2,646.5
Gallup Poll,2399,,55,33,10,29,1965,11,2,373
Gallup Poll,2435,,61,29,1,7,1965,1,12,667.5
Gallup Poll,1646,,57,36,11,18,1965,11,23,352.5
Gallup Poll,1545,,56,32,12,31,1965,1,5,492
Gallup Poll,1551,,54,34,3,24,1966,3,29,226.5
Gallup Poll,1541,,55,33,7,8,1966,7,13,120.5
Gallup Poll,1563,,53,34,5,5,1966,5,10,184.5
Gallup Poll,1208,,49,39,10,21,1966,10,26,15.5
Gallup Poll,1444.310059,,53,48,10,31,1966,11,5,5.5
Harris Survey,1250,,52,48,9,14,1966,9,16,54
Gallup Poll,1597,,48,36,10,1,1966,10,6,35.5
Gallup Poll,1446,,56,35,1,21,1966,1,26,288.5
Gallup Poll,1509,,49,37,8,18,1966,8,23,79.5
Gallup Poll,1597,,55,34,10,1,1966,10,6,35.5
Harris Survey,1250,,54,46,10,14,1966,10,16,24
Harris Survey,1250,,55,45,5,14,1966,5,16,177
Harris Survey,1250,,54,46,3,14,1966,3,16,238
Gallup Poll,1554,,58,36,9,8,1966,9,13,58.5
Gallup Poll,1567,,54,35,2,10,1966,2,15,268.5
Gallup Poll,1574,,54,36,4,14,1966,4,19,205.5
Gallup Poll,1567,,58,34,2,10,1966,2,15,268.5
Harris Survey,1250,,58,42,9,14,1966,9,16,54
Gallup Poll,1623,,56,34,3,3,1966,3,8,247.5
Gallup Poll,1523,,56,34,5,19,1966,5,24,170.5
Gallup Poll,1503,,59,33,7,29,1966,8,3,99.5
Gallup Poll,1562,,49,41,6,16,1966,6,21,142.5
Harris Survey,1250,,55,45,8,14,1966,8,16,85
Harris Survey,1324,,49,41,9,11,1968,9,13,54
Gallup Poll,1501,,52,37,2,22,1968,2,27,254.5
Gallup Poll,1536,,57,35,6,13,1968,6,18,142.5
Gallup Poll,1605,,50,42,10,17,1968,10,22,16.5
Gallup Poll,1570,,55,35,5,2,1968,5,28,174
Gallup Poll,1504,,44,45,9,19,1968,9,24,44.5
Gallup Poll,1526,,51,40,7,18,1968,7,23,107.5
Gallup Poll,1500,,47,44,9,26,1968,10,1,37.5
Gallup Poll,1504,,51,40,4,4,1968,4,9,212.5
Gallup Poll,1500,,49,40,2,1,1968,2,6,275.5
Gallup Poll,1543,,53,36,10,17,1969,10,22,379.5
Gallup Poll,1575,,51,38,10,30,1969,11,4,366.5
Gallup Poll,1557,,50,34,1,2,1970,1,5,303.5
Gallup Poll,1509,,52,37,5,21,1970,5,26,163.5
Gallup Poll,1609,,54,36,11,13,1970,11,17,-12
Gallup Poll,1523,,51,37,7,9,1970,7,14,114.5
Gallup Poll,1511,,52,35,8,25,1970,9,1,66.5
Gallup Poll,1513,,52,36,9,11,1970,9,14,51.5
Gallup Poll,1525,,52,36,6,4,1970,6,9,149.5
Gallup Poll,1573,,48,40,1,15,1970,1,20,289.5
Gallup Poll,1507,,54,39,10,9,1970,10,14,22.5
Gallup Poll,1497,,52,35,9,25,1970,9,28,37.5
Gallup Poll,1534,,52,34,4,17,1970,4,19,199
Gallup Poll,1532,,52,36,9,22,1970,9,25,40.5
Gallup Poll,1552,,52,33,3,13,1970,3,15,234
Gallup Poll,1532,,52,36,10,22,1970,10,25,10.5
Gallup Poll,1500,,50,44,10,26,1970,10,31,5.5
Gallup Poll,1500,,55,33,7,31,1970,8,2,94
Gallup Poll,1513,,52,38,6,18,1970,6,23,135.5
Gallup Poll,1505,,51,38,9,22,1972,9,25,44.5
Gallup Poll,1641,,46,41,8,30,1972,9,1,68
Gallup Poll,1565,,48,39,10,3,1972,10,5,34
Time/Yankelovich Study Wave 4,3012,,45,40,10,14,1972,10,16,23
,1444.310059,,53,31,NA,NA,1973,NA,NA,NA
Gallup Poll,1051,,51,35,6,14,1973,6,18,507
Gallup Poll,1583,,58,26,10,19,1973,10,22,380.5
Gallup Poll,1576,,59,31,10,15,1973,10,18,384.5
Gallup Poll,1537,,48,35,4,18,1973,4,23,563.5
Gallup Poll,1528,,51,29,4,6,1973,4,9,576.5
Gallup Poll,1531,,51,28,5,4,1973,5,7,548.5
Gallup Poll,1527,,56,25,9,27,1974,9,30,37.5
,1238,,51,19,NA,NA,1974,NA,NA,NA
Harris,1266,,52,33,11,1,1974,11,4,2.5
,1023,,46,21,NA,NA,1974,NA,NA,NA
Gallup Poll,1583,,57,32,9,6,1974,9,18,54
Gallup Poll,1595,,58,27,10,18,1974,10,21,16.5
Gallup Poll,1586,,64,32,10,11,1974,10,14,23.5
Gallup Poll,1543,,58,27,5,10,1974,5,13,177.5
Time/Yankelovich Study Wave 4,1238,,51,19,3,14,1974,3,16,235
Gallup Poll,1215,,55,29,7,17,1974,7,21,109
Time/Yankelovich Study Wave 4,1023,,46,21,9,14,1974,9,16,51
Gallup Poll,1590,,56,28,8,16,1974,8,19,79.5
Gallup Poll,1153,,50,32,1,7,1974,1,10,300.5
Gallup Poll,1561,,61,23,8,2,1974,8,5,93.5
Gallup Poll,1509,,56,26,5,31,1974,6,3,156.5
Gallup Poll,1266,,55,31,9,23,1974,9,27,41
Gallup Poll,1181,,52,29,3,24,1974,3,29,223.5
Gallup Poll,1591,,57,25,2,1,1974,2,4,275.5
Harris,1502,,52,27,4,7,1976,4,15,205
Yankelovich,1304,,51,27,9,25,1976,9,29,36
Gallup Poll,1500,,53,39,10,28,1976,10,30,4
Gallup Poll,1544,,58,27,6,25,1976,6,28,128.5
Gallup Poll,1211,,58,32,8,27,1976,8,30,65.5
Yankelovich,1574,,53,29,10,16,1976,10,19,15.5
Gallup Poll,1520,,51,24,10,14,1977,10,17,387.5
Gallup Poll,1509,,52,23,9,30,1977,10,3,401.5
Gallup Poll,1517,,48,22,10,21,1977,10,24,380.5
Gallup Poll,3077,,61,34,8,11,1978,8,14,86.5
Gallup Poll,1526,,49,28,8,4,1978,8,7,93.5
,1756,,51,28,NA,NA,1978,NA,NA,NA
,1599,,34,17,1,8,1978,1,12,301
Gallup Poll,1581,,52,29,9,22,1978,9,25,44.5
Yankelovich,1022,,37,23,5,30,1978,6,5,158
Gallup Poll,1536,,50,24,1,20,1978,1,23,289.5
CBS News,1451,,44,24,9,25,1978,9,29,41
Gallup Poll,1553,,47,27,2,24,1978,2,27,254.5
CBS/NYT,1417,,39,24,4,3,1978,4,7,216
Gallup Poll,1515,,45,24,2,10,1978,2,13,268.5
Gallup Poll,1530,,59,30,9,8,1978,9,11,58.5
CBS/NYT,1527,,37,21,6,19,1978,6,23,139
Gallup Poll,1505,,49,29,6,16,1978,6,19,142.5
Gallup Poll,1547,,53,29,9,15,1978,9,18,51.5
