Count,pollster,sample_size,type,bmonth,bday,year,emonth,eday,days_until_election,poll_date,party,support
28,NBC/WSJ,945.6698608,RV,4,23,2014,4,27,193,4/27/14,R,45
29,NBC/WSJ,949.454895,RV,3,5,2014,3,9,242,3/9/14,D,43
29,NBC/WSJ,949.454895,RV,3,5,2014,3,9,242,3/9/14,R,44
30,NBC/WSJ,952.737854,RV,1,22,2014,1,25,284.5,1/25/14,D,45
30,NBC/WSJ,952.737854,RV,1,22,2014,1,25,284.5,1/25/14,R,43
31,CBS News/NY Times,991.5745239,RV,6,20,2014,6,22,136,6/22/14,D,42
31,CBS News/NY Times,991.5745239,RV,6,20,2014,6,22,136,6/22/14,R,39
32,FOX News,1018,RV,6,21,2014,6,23,135,6/23/14,D,42
32,FOX News,1018,RV,6,21,2014,6,23,135,6/23/14,R,42
33,Quinnipiac,1446,RV,6,24,2014,6,30,130,6/30/14,D,41
33,Quinnipiac,1446,RV,6,24,2014,6,30,130,6/30/14,R,39
34,Pew,1420,RV,7,8,2014,7,14,116,7/14/14,D,47
34,Pew,1420,RV,7,8,2014,7,14,116,7/14/14,R,45
35,CNN/Opinion Research,899,RV,7,18,2014,7,20,108,7/20/14,D,48
35,CNN/Opinion Research,899,RV,7,18,2014,7,20,108,7/20/14,R,44
36,FOX News,1057,RV,7,20,2014,7,22,106,7/22/14,R,41
37,CBS News,967.8711548,RV,7,29,2014,8,4,95,8/4/14,D,41
37,CBS News,967.8711548,RV,7,29,2014,8,4,95,8/4/14,R,37
38,Reason-Rupe/PSRAI,784.6896973,LV,8,6,2014,8,10,88,8/10/14,D,42
38,Reason-Rupe/PSRAI,784.6896973,LV,8,6,2014,8,10,88,8/10/14,R,41
39,McClatchy/Marist,806,RV,8,4,2014,8,7,90.5,8/7/14,D,38
39,McClatchy/Marist,806,RV,8,4,2014,8,7,90.5,8/7/14,R,43
40,FOX News,1001,RV,8,10,2014,8,12,85,8/12/14,D,46
40,FOX News,1001,RV,8,10,2014,8,12,85,8/12/14,R,39
41,USA Today/Pew Research,1171,RV,8,20,2014,8,24,74,8/24/14,D,47
41,USA Today/Pew Research,1171,RV,8,20,2014,8,24,74,8/24/14,R,42
42,NBC/WSJ,899.682312,RV,7,30,2014,8,3,95,8/3/14,D,43
42,NBC/WSJ,899.682312,RV,7,30,2014,8,3,95,8/3/14,R,44
43,GWU/Battleground,1000,LV,8,23,2014,8,28,70.5,8/28/14,D,42
43,GWU/Battleground,1000,LV,8,23,2014,8,28,70.5,8/28/14,R,46
44,ABC News/Wash Post,749.7816162,LV,9,4,2014,9,7,59.5,9/7/14,D,44
44,ABC News/Wash Post,749.7816162,LV,9,4,2014,9,7,59.5,9/7/14,R,47
45,CNN/Opinion Research,731.6229248,LV,9,5,2014,9,7,59,9/7/14,D,45
45,CNN/Opinion Research,731.6229248,LV,9,5,2014,9,7,59,9/7/14,R,49
46,FOX News,833,LV,9,7,2014,9,9,57,9/9/14,D,40
46,FOX News,833,LV,9,7,2014,9,9,57,9/9/14,R,47
47,Pew Research,1150,LV,9,2,2014,9,9,59.5,9/9/14,D,44
47,Pew Research,1150,LV,9,2,2014,9,9,59.5,9/9/14,R,47
48,CBS News/NY Times,470,LV,9,12,2014,9,15,51.5,9/15/14,D,42
48,CBS News/NY Times,470,LV,9,12,2014,9,15,51.5,9/15/14,R,49
49,CNN/Opinion Research,701,LV,9,25,2014,9,28,38.5,9/28/14,D,47
49,CNN/Opinion Research,701,LV,9,25,2014,9,28,38.5,9/28/14,R,45
50,McClatchy/Marist,884,RV,9,24,2014,9,29,38.5,9/29/14,D,45
50,McClatchy/Marist,884,RV,9,24,2014,9,29,38.5,9/29/14,R,44
51,FOX News,845,LV,9,28,2014,9,30,36,9/30/14,D,40
51,FOX News,845,LV,9,28,2014,9,30,36,9/30/14,R,47
52,CBS News,575,LV,10,3,2014,10,6,30.5,10/6/14,D,43
52,CBS News,575,LV,10,3,2014,10,6,30.5,10/6/14,R,49
53,Reason/Rupe,897.1810303,RV,10,1,2014,10,6,31.5,10/6/14,D,42
53,Reason/Rupe,897.1810303,RV,10,1,2014,10,6,31.5,10/6/14,R,33
54,NBC/WSJ,666,LV,10,8,2014,10,12,25,10/12/14,D,47
55,ABC News/Wash Post,629,LV,10,9,2014,10,12,24.5,10/12/14,D,43
55,ABC News/Wash Post,629,LV,10,9,2014,10,12,24.5,10/12/14,R,50
56,FOX News,831,LV,10,12,2014,10,14,22,10/14/14,D,42
56,FOX News,831,LV,10,12,2014,10,14,22,10/14/14,R,45
57,Pew Research,1126,LV,10,15,2014,10,20,17.5,10/20/14,D,47
57,Pew Research,1126,LV,10,15,2014,10,20,17.5,10/20/14,R,46
58,Associated Press/GfK,968,LV,10,16,2014,10,20,17,10/20/14,D,32
58,Associated Press/GfK,968,LV,10,16,2014,10,20,17,10/20/14,R,40
59,Democracy Corps,698,LV,10,16,2014,10,21,16.5,10/21/14,D,46
59,Democracy Corps,698,LV,10,16,2014,10,21,16.5,10/21/14,R,46
60,CNN/Opinion Research,540,LV,10,24,2014,10,26,10,10/26/14,D,47
60,CNN/Opinion Research,540,LV,10,24,2014,10,26,10,10/26/14,R,46
61,ABC News/Wash Post,758,LV,10,23,2014,10,26,10.5,10/26/14,D,44
61,ABC News/Wash Post,758,LV,10,23,2014,10,26,10.5,10/26/14,R,50
62,FOX News,734,LV,10,25,2014,10,27,9,10/27/14,D,45
62,FOX News,734,LV,10,25,2014,10,27,9,10/27/14,R,44
63,CBS News,624,LV,10,23,2014,10,27,10,10/27/14,D,42
63,CBS News,624,LV,10,23,2014,10,27,10,10/27/14,R,50
64,USA Today/PSRAI,697,LV,10,23,2014,10,26,10.5,10/26/14,D,43
64,USA Today/PSRAI,697,LV,10,23,2014,10,26,10.5,10/26/14,R,42
65,NBC News/Wall St. Jrnl,826,LV,10,30,2014,11,1,4,11/1/14,D,48
65,NBC News/Wall St. Jrnl,826,LV,10,30,2014,11,1,4,11/1/14,R,48
124,Gallup Poll,1500,NA,10,7,1948,10,12,23.5,10/12/48,D,45
124,Gallup Poll,1500,NA,10,7,1948,10,12,23.5,10/12/48,R,37
125,Gallup Poll,1500,NA,7,16,1948,7,21,106.5,7/21/48,D,41
125,Gallup Poll,1500,NA,7,16,1948,7,21,106.5,7/21/48,R,41
126,Gallup Poll,1500,NA,9,23,1948,9,28,37.5,9/28/48,D,42
126,Gallup Poll,1500,NA,9,23,1948,9,28,37.5,9/28/48,R,39
127,Gallup Poll,1500,NA,8,20,1950,8,25,76.5,8/25/50,D,49
127,Gallup Poll,1500,NA,8,20,1950,8,25,76.5,8/25/50,R,52
128,Gallup Poll,1363,NA,6,29,1950,7,4,128.5,7/4/50,D,56
128,Gallup Poll,1363,NA,6,29,1950,7,4,128.5,7/4/50,R,34
129,Gallup Poll,1357,NA,6,4,1950,6,9,153.5,6/9/50,D,51
129,Gallup Poll,1357,NA,6,4,1950,6,9,153.5,6/9/50,R,42
130,Gallup Poll,1458,NA,3,26,1950,3,31,223.5,3/31/50,D,48
130,Gallup Poll,1458,NA,3,26,1950,3,31,223.5,3/31/50,R,38
131,Gallup Poll,1500,NA,10,20,1950,10,25,15.5,10/25/50,R,42
132,Gallup Poll,1500,NA,9,17,1950,9,22,48.5,9/22/50,D,49
132,Gallup Poll,1500,NA,9,17,1950,9,22,48.5,9/22/50,R,43
133,Gallup Poll,1500,NA,7,9,1950,7,14,118.5,7/14/50,D,49
133,Gallup Poll,1500,NA,7,9,1950,7,14,118.5,7/14/50,R,43
134,Gallup Poll,1500,NA,10,22,1950,10,27,13.5,10/27/50,D,46
134,Gallup Poll,1500,NA,10,22,1950,10,27,13.5,10/27/50,R,45
135,Gallup Poll,1500,NA,2,5,1950,2,10,272.5,2/10/50,D,45
135,Gallup Poll,1500,NA,2,5,1950,2,10,272.5,2/10/50,R,23
136,Gallup Poll,1500,NA,1,28,1950,2,1,281,2/1/50,D,39
136,Gallup Poll,1500,NA,1,28,1950,2,1,281,2/1/50,R,30
137,Gallup Poll,1500,NA,2,26,1950,3,3,251.5,3/3/50,D,42
137,Gallup Poll,1500,NA,2,26,1950,3,3,251.5,3/3/50,R,37
138,Gallup Poll,1500,NA,10,8,1950,10,13,27.5,10/13/50,D,58
138,Gallup Poll,1500,NA,10,8,1950,10,13,27.5,10/13/50,R,32
139,Gallup Poll,1599,NA,10,30,1950,11,3,6,11/3/50,D,51
139,Gallup Poll,1599,NA,10,30,1950,11,3,6,11/3/50,R,49
140,Gallup Poll,1500,NA,1,8,1950,1,13,300.5,1/13/50,D,41
140,Gallup Poll,1500,NA,1,8,1950,1,13,300.5,1/13/50,R,35
141,Gallup Poll,1500,NA,7,30,1950,8,4,97.5,8/4/50,D,48
141,Gallup Poll,1500,NA,7,30,1950,8,4,97.5,8/4/50,R,43
142,Gallup Poll,1500,NA,10,1,1950,10,6,34.5,10/6/50,D,52
142,Gallup Poll,1500,NA,10,1,1950,10,6,34.5,10/6/50,R,41
143,Gallup Poll,1343,NA,5,4,1950,5,9,184.5,5/9/50,D,54
143,Gallup Poll,1343,NA,5,4,1950,5,9,184.5,5/9/50,R,36
144,Gallup Poll,1500,NA,10,20,1950,10,25,15.5,10/25/50,D,45
144,Gallup Poll,1500,NA,10,20,1950,10,25,15.5,10/25/50,R,39
149,Gallup Poll,1500,NA,8,31,1952,9,5,62.5,9/5/52,D,44
149,Gallup Poll,1500,NA,8,31,1952,9,5,62.5,9/5/52,R,50
150,Gallup Poll,1500,NA,5,30,1952,6,4,155.5,6/4/52,R,47
151,Gallup Poll,1500,NA,9,6,1952,9,11,56.5,9/11/52,D,49
151,Gallup Poll,1500,NA,9,6,1952,9,11,56.5,9/11/52,R,45
152,Gallup Poll,1500,NA,4,13,1952,4,18,202.5,4/18/52,D,45
152,Gallup Poll,1500,NA,4,13,1952,4,18,202.5,4/18/52,R,48
153,Gallup Poll,1500,NA,9,11,1952,9,16,51.5,9/16/52,D,45
153,Gallup Poll,1500,NA,9,11,1952,9,16,51.5,9/16/52,R,48
154,Gallup Poll,1500,NA,4,27,1952,5,2,188.5,5/2/52,D,49
154,Gallup Poll,1500,NA,4,27,1952,5,2,188.5,5/2/52,R,41
155,Gallup Poll,1500,NA,7,13,1952,7,18,111.5,7/18/52,D,44
155,Gallup Poll,1500,NA,7,13,1952,7,18,111.5,7/18/52,R,49
156,Gallup Poll,1500,NA,8,10,1952,8,15,83.5,8/15/52,D,46
156,Gallup Poll,1500,NA,8,10,1952,8,15,83.5,8/15/52,R,40
157,Gallup Poll,1500,NA,8,23,1952,8,28,70.5,8/28/52,D,50
157,Gallup Poll,1500,NA,8,23,1952,8,28,70.5,8/28/52,R,51
158,Gallup Poll,1500,NA,6,15,1952,6,20,139.5,6/20/52,D,45
158,Gallup Poll,1500,NA,6,15,1952,6,20,139.5,6/20/52,R,49
159,Gallup Poll,2038,NA,2,9,1952,2,14,266.5,2/14/52,D,42
159,Gallup Poll,2038,NA,2,9,1952,2,14,266.5,2/14/52,R,51
160,Gallup Poll,1500,NA,1,20,1952,1,25,286.5,1/25/52,D,51
160,Gallup Poll,1500,NA,1,20,1952,1,25,286.5,1/25/52,R,49
161,Gallup Poll,1500,NA,7,25,1952,7,30,99.5,7/30/52,D,49
161,Gallup Poll,1500,NA,7,25,1952,7,30,99.5,7/30/52,R,51
162,Gallup Poll,1500,NA,1,6,1952,1,11,300.5,1/11/52,D,44
162,Gallup Poll,1500,NA,1,6,1952,1,11,300.5,1/11/52,R,49
163,Gallup Poll,1500,NA,3,27,1952,4,1,219.5,4/1/52,D,45
163,Gallup Poll,1500,NA,3,27,1952,4,1,219.5,4/1/52,R,47
164,Gallup Poll,1500,NA,5,11,1952,5,16,174.5,5/16/52,D,45
164,Gallup Poll,1500,NA,5,11,1952,5,16,174.5,5/16/52,R,48
165,Gallup Poll,1500,NA,3,27,1952,4,1,219.5,4/1/52,D,41
165,Gallup Poll,1500,NA,3,27,1952,4,1,219.5,4/1/52,R,43
166,Gallup Poll,2072,NA,3,14,1952,3,19,232.5,3/19/52,D,43
166,Gallup Poll,2072,NA,3,14,1952,3,19,232.5,3/19/52,R,50
179,Gallup Poll,1500,NA,10,15,1954,10,20,15.5,10/20/54,D,58
179,Gallup Poll,1500,NA,10,15,1954,10,20,15.5,10/20/54,R,33
180,Gallup Poll,1416,NA,5,21,1954,5,26,162.5,5/26/54,D,52
180,Gallup Poll,1416,NA,5,21,1954,5,26,162.5,5/26/54,R,40
181,Gallup Poll,1500,NA,7,2,1954,7,7,120.5,7/7/54,D,50
181,Gallup Poll,1500,NA,7,2,1954,7,7,120.5,7/7/54,R,39
182,Gallup Poll,1482,NA,4,8,1954,4,13,205.5,4/13/54,D,50
182,Gallup Poll,1482,NA,4,8,1954,4,13,205.5,4/13/54,R,43
183,Gallup Poll,1500,NA,5,2,1954,5,7,181.5,5/7/54,D,54
183,Gallup Poll,1500,NA,5,2,1954,5,7,181.5,5/7/54,R,39
184,Gallup Poll,1530,NA,7,16,1954,7,21,106.5,7/21/54,D,55
184,Gallup Poll,1530,NA,7,16,1954,7,21,106.5,7/21/54,R,38
185,Gallup Poll,1500,NA,1,28,1954,2,2,275.5,2/2/54,D,50
185,Gallup Poll,1500,NA,1,28,1954,2,2,275.5,2/2/54,R,50
186,Gallup Poll,1500,NA,10,26,1954,10,30,5,10/30/54,D,48
186,Gallup Poll,1500,NA,10,26,1954,10,30,5,10/30/54,R,46
187,Gallup Poll,1500,NA,1,9,1954,1,14,294.5,1/14/54,D,52
188,Gallup Poll,1500,NA,8,26,1954,8,31,65.5,8/31/54,D,52
188,Gallup Poll,1500,NA,8,26,1954,8,31,65.5,8/31/54,R,48
189,Gallup Poll,1500,NA,2,25,1954,3,2,247.5,3/2/54,D,52
189,Gallup Poll,1500,NA,2,25,1954,3,2,247.5,3/2/54,R,48
190,Gallup Poll,1500,NA,8,5,1954,8,10,86.5,8/10/54,D,52
190,Gallup Poll,1500,NA,8,5,1954,8,10,86.5,8/10/54,R,48
191,Gallup Poll,1500,NA,3,19,1954,3,24,225.5,3/24/54,D,49
191,Gallup Poll,1500,NA,3,19,1954,3,24,225.5,3/24/54,R,43
192,Gallup Poll,1435,NA,6,12,1954,6,17,140.5,6/17/54,D,52
192,Gallup Poll,1435,NA,6,12,1954,6,17,140.5,6/17/54,R,40
193,Gallup Poll,1466,NA,9,16,1954,9,21,44.5,9/21/54,D,51
193,Gallup Poll,1466,NA,9,16,1954,9,21,44.5,9/21/54,R,41
204,Gallup Poll,1559,NA,3,8,1956,3,13,240.5,3/13/56,D,53
204,Gallup Poll,1559,NA,3,8,1956,3,13,240.5,3/13/56,R,44
205,Gallup Poll,1500,NA,8,3,1956,8,8,92.5,8/8/56,D,52
205,Gallup Poll,1500,NA,8,3,1956,8,8,92.5,8/8/56,R,41
206,Gallup Poll,1559,NA,3,8,1956,3,13,240.5,3/13/56,D,51
207,Gallup Poll,2031,NA,2,16,1956,2,21,261.5,2/21/56,D,50
207,Gallup Poll,2031,NA,2,16,1956,2,21,261.5,2/21/56,R,43
208,Gallup Poll,2175,NA,10,18,1956,10,23,16.5,10/23/56,D,53
208,Gallup Poll,2175,NA,10,18,1956,10,23,16.5,10/23/56,R,42
209,Gallup Poll,1385,NA,1,6,1956,1,11,302.5,1/11/56,D,54
209,Gallup Poll,1385,NA,1,6,1956,1,11,302.5,1/11/56,R,39
210,Gallup Poll,1500,NA,6,15,1956,6,20,141.5,6/20/56,D,53
210,Gallup Poll,1500,NA,6,15,1956,6,20,141.5,6/20/56,R,37
211,Gallup Poll,2207,NA,9,20,1956,9,25,44.5,9/25/56,D,49
211,Gallup Poll,2207,NA,9,20,1956,9,25,44.5,9/25/56,R,43
212,Gallup Poll,1500,NA,5,10,1956,5,15,177.5,5/15/56,D,52
212,Gallup Poll,1500,NA,5,10,1956,5,15,177.5,5/15/56,R,42
213,Gallup Poll,1500,NA,6,15,1956,6,20,141.5,6/20/56,D,52
213,Gallup Poll,1500,NA,6,15,1956,6,20,141.5,6/20/56,R,37
214,Gallup Poll,1500,NA,10,7,1956,10,12,27.5,10/12/56,D,51
214,Gallup Poll,1500,NA,10,7,1956,10,12,27.5,10/12/56,R,43
215,Gallup Poll,1500,NA,5,31,1956,6,5,156.5,6/5/56,D,52
215,Gallup Poll,1500,NA,5,31,1956,6,5,156.5,6/5/56,R,42
216,Gallup Poll,1979,NA,9,9,1956,9,14,55.5,9/14/56,D,52
216,Gallup Poll,1979,NA,9,9,1956,9,14,55.5,9/14/56,R,41
217,Gallup Poll,1500,NA,7,12,1956,7,17,114.5,7/17/56,D,53
217,Gallup Poll,1500,NA,7,12,1956,7,17,114.5,7/17/56,R,42
218,Gallup Poll,2254,NA,8,23,1956,8,28,72.5,8/28/56,D,49
218,Gallup Poll,2254,NA,8,23,1956,8,28,72.5,8/28/56,R,43
219,Gallup Poll,1500,NA,4,19,1956,4,24,198.5,4/24/56,D,52
219,Gallup Poll,1500,NA,4,19,1956,4,24,198.5,4/24/56,R,41
220,Gallup Poll,2000,NA,3,29,1956,4,3,219.5,4/3/56,D,56
220,Gallup Poll,2000,NA,3,29,1956,4,3,219.5,4/3/56,R,40
235,Gallup Poll,1553,NA,10,15,1958,10,20,17.5,10/20/58,D,52
235,Gallup Poll,1553,NA,10,15,1958,10,20,17.5,10/20/58,R,38
236,Gallup Poll,1514,NA,9,10,1958,9,15,52.5,9/15/58,D,57
236,Gallup Poll,1514,NA,9,10,1958,9,15,52.5,9/15/58,R,36
237,Gallup Poll,1500,NA,5,28,1958,6,2,157.5,6/2/58,D,52
237,Gallup Poll,1500,NA,5,28,1958,6,2,157.5,6/2/58,R,38
238,Gallup Poll,833,NA,9,24,1958,9,29,38.5,9/29/58,D,55
238,Gallup Poll,833,NA,9,24,1958,9,29,38.5,9/29/58,R,35
239,Gallup Poll,1527,NA,1,2,1958,1,7,303.5,1/7/58,D,54
239,Gallup Poll,1527,NA,1,2,1958,1,7,303.5,1/7/58,R,37
240,Gallup Poll,1542,NA,1,24,1958,1,29,281.5,1/29/58,D,55
240,Gallup Poll,1542,NA,1,24,1958,1,29,281.5,1/29/58,R,39
241,Gallup Poll,1633,NA,3,27,1958,4,1,219.5,4/1/58,D,58
241,Gallup Poll,1633,NA,3,27,1958,4,1,219.5,4/1/58,R,35
242,Gallup Poll,1513,NA,7,10,1958,7,15,114.5,7/15/58,D,58
242,Gallup Poll,1513,NA,7,10,1958,7,15,114.5,7/15/58,R,33
243,Gallup Poll,1482,NA,2,14,1958,2,19,260.5,2/19/58,D,58
243,Gallup Poll,1482,NA,2,14,1958,2,19,260.5,2/19/58,R,34
244,Gallup Poll,1609,NA,3,6,1958,3,11,240.5,3/11/58,R,36
245,Gallup Poll,1636,NA,5,7,1958,5,12,178.5,5/12/58,D,56
245,Gallup Poll,1636,NA,5,7,1958,5,12,178.5,5/12/58,R,38
246,Gallup Poll,1563,NA,8,20,1958,8,25,73.5,8/25/58,D,55
246,Gallup Poll,1563,NA,8,20,1958,8,25,73.5,8/25/58,R,36
247,Gallup Poll,1439,NA,4,16,1958,4,21,199.5,4/21/58,D,55
247,Gallup Poll,1439,NA,4,16,1958,4,21,199.5,4/21/58,R,36
248,Gallup Poll,1621,NA,7,30,1958,8,4,94.5,8/4/58,D,54
248,Gallup Poll,1621,NA,7,30,1958,8,4,94.5,8/4/58,R,38
263,Gallup Poll,1553,NA,7,30,1960,8,4,98.5,8/4/60,R,41
264,Gallup Poll,1619,NA,8,11,1960,8,16,86.5,8/16/60,D,55
264,Gallup Poll,1619,NA,8,11,1960,8,16,86.5,8/16/60,R,38
265,Gallup Poll,1638,NA,2,4,1960,2,9,275.5,2/9/60,D,54
265,Gallup Poll,1638,NA,2,4,1960,2,9,275.5,2/9/60,R,37
266,Gallup Poll,1535,NA,3,2,1960,3,7,248.5,3/7/60,D,57
266,Gallup Poll,1535,NA,3,2,1960,3,7,248.5,3/7/60,R,34
267,Gallup Poll,1406,NA,6,30,1960,7,5,128.5,7/5/60,D,59
267,Gallup Poll,1406,NA,6,30,1960,7,5,128.5,7/5/60,R,34
268,Gallup Poll,1653,NA,7,16,1960,7,21,112.5,7/21/60,D,59
268,Gallup Poll,1653,NA,7,16,1960,7,21,112.5,7/21/60,R,31
269,Gallup Poll,1066,NA,9,7,1960,9,14,58.5,9/14/60,D,55
269,Gallup Poll,1066,NA,9,7,1960,9,14,58.5,9/14/60,R,37
270,Gallup Poll,1599,NA,5,26,1960,5,31,163.5,5/31/60,D,56
270,Gallup Poll,1599,NA,5,26,1960,5,31,163.5,5/31/60,R,35
271,Gallup Poll,1586,NA,3,30,1960,4,4,220.5,4/4/60,D,56
271,Gallup Poll,1586,NA,3,30,1960,4,4,220.5,4/4/60,R,36
272,Gallup Poll,1511,NA,6,16,1960,6,21,142.5,6/21/60,D,60
272,Gallup Poll,1511,NA,6,16,1960,6,21,142.5,6/21/60,R,30
273,Gallup Poll,1556,NA,10,18,1960,10,23,18.5,10/23/60,D,56
273,Gallup Poll,1556,NA,10,18,1960,10,23,18.5,10/23/60,R,37
274,Gallup Poll,1645,NA,8,25,1960,8,30,72.5,8/30/60,D,54
274,Gallup Poll,1645,NA,8,25,1960,8,30,72.5,8/30/60,R,38
275,Gallup Poll,1564,NA,1,6,1960,1,11,304.5,1/11/60,D,57
275,Gallup Poll,1564,NA,1,6,1960,1,11,304.5,1/11/60,R,33
276,Gallup Poll,1668,NA,9,28,1960,10,2,39,10/2/60,D,55
276,Gallup Poll,1668,NA,9,28,1960,10,2,39,10/2/60,R,38
277,Gallup Poll,1769,NA,4,28,1960,5,3,191.5,5/3/60,D,55
277,Gallup Poll,1769,NA,4,28,1960,5,3,191.5,5/3/60,R,36
291,Gallup Poll,1616,NA,1,11,1962,1,16,296.5,1/16/62,D,60
291,Gallup Poll,1616,NA,1,11,1962,1,16,296.5,1/16/62,R,31
292,Gallup Poll,1503,NA,5,3,1962,5,8,184.5,5/8/62,D,59
292,Gallup Poll,1503,NA,5,3,1962,5,8,184.5,5/8/62,R,34
293,Gallup Poll,1611,NA,7,26,1962,7,31,100.5,7/31/62,D,53
293,Gallup Poll,1611,NA,7,26,1962,7,31,100.5,7/31/62,R,36
294,Gallup Poll,1512,NA,5,31,1962,6,5,156.5,6/5/62,D,55
294,Gallup Poll,1512,NA,5,31,1962,6,5,156.5,6/5/62,R,37
295,Gallup Poll,1444.310059,NA,10,1,1962,10,7,33,10/7/62,D,56
295,Gallup Poll,1444.310059,NA,10,1,1962,10,7,33,10/7/62,R,44
296,Gallup Poll,1499,NA,8,23,1962,8,28,72.5,8/28/62,D,57
296,Gallup Poll,1499,NA,8,23,1962,8,28,72.5,8/28/62,R,32
297,Gallup Poll,1599,NA,3,8,1962,3,13,240.5,3/13/62,D,56
297,Gallup Poll,1599,NA,3,8,1962,3,13,240.5,3/13/62,R,34
298,Gallup Poll,1527,NA,6,28,1962,7,3,128.5,7/3/62,D,60
298,Gallup Poll,1527,NA,6,28,1962,7,3,128.5,7/3/62,R,35
299,Gallup Poll,1644,NA,10,19,1962,10,24,15.5,10/24/62,D,55
299,Gallup Poll,1644,NA,10,19,1962,10,24,15.5,10/24/62,R,37
300,Gallup Poll,1582,NA,4,6,1962,4,11,211.5,4/11/62,D,60
