subgroup,startdate,enddate,pollster,grade,samplesize,population,weight,influence,dem,rep,adjusted_dem,adjusted_rep,multiversions,tracking,url,poll_id,question_id,createddate,timestamp
All polls,1/28/21,1/30/21,Morning Consult,B,14196,rv,0.05598434,0,45,40,44.294695,40.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80116,160551,9/8/22,9/21/22 17:05
All polls,1/29/21,1/31/21,Morning Consult,B,14343,rv,0.05521472,0,45,41,44.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80117,160552,9/8/22,9/21/22 17:05
All polls,1/30/21,2/1/21,Morning Consult,B,14184,rv,0.05402979,0,45,41,44.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80118,160553,9/8/22,9/21/22 17:05
All polls,1/31/21,2/2/21,Morning Consult,B,14080,rv,0.05298632,0,45,41,44.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80119,160554,9/8/22,9/21/22 17:05
All polls,2/1/21,2/3/21,Morning Consult,B,12887,rv,0.05033487,0,45,41,44.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80120,160555,9/8/22,9/21/22 17:05
All polls,2/2/21,2/4/21,Morning Consult,B,12781,rv,0.04940492,0,45,41,44.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80121,160556,9/8/22,9/21/22 17:05
All polls,2/3/21,2/5/21,Morning Consult,B,11742,rv,0.0470559,0,45,41,44.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80122,160557,9/8/22,9/21/22 17:05
All polls,2/4/21,2/6/21,Morning Consult,B,12644,rv,0.04778164,0,45,41,44.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80123,160558,9/8/22,9/21/22 17:05
All polls,2/5/21,2/7/21,Morning Consult,B,13649,rv,0.04859062,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80124,160559,9/8/22,9/21/22 17:05
All polls,2/6/21,2/8/21,Morning Consult,B,14202,rv,0.04871573,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80125,160560,9/8/22,9/21/22 17:05
All polls,2/7/21,2/9/21,Morning Consult,B,14276,rv,0.04819452,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80126,160561,9/8/22,9/21/22 17:05
All polls,2/8/21,2/10/21,Morning Consult,B,13269,rv,0.04622922,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80127,160562,9/8/22,9/21/22 17:05
All polls,2/9/21,2/11/21,Morning Consult,B,13241,rv,0.04564137,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80128,160563,9/8/22,9/21/22 17:05
All polls,2/10/21,2/12/21,Morning Consult,B,12426,rv,0.0439853,0,45,40,44.294695,40.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80129,160564,9/8/22,9/21/22 17:05
All polls,2/11/21,2/13/21,Morning Consult,B,12565,rv,0.04369074,0,45,40,44.294695,40.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80130,160565,9/8/22,9/21/22 17:05
All polls,2/12/21,2/14/21,Morning Consult,B,13339,rv,0.04426781,0,45,40,44.294695,40.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80131,160566,9/8/22,9/21/22 17:05
All polls,2/13/21,2/15/21,Morning Consult,B,14263,rv,0.04499916,0,45,41,44.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80132,160567,9/8/22,9/21/22 17:05
All polls,2/14/21,2/16/21,Morning Consult,B,14401,rv,0.04472279,0,45,41,44.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80133,160568,9/8/22,9/21/22 17:05
All polls,2/12/21,2/18/21,Echelon Insights,B/C,1005,rv,0.72685144,0,44,44,41.833042,43.682706,,,https://echeloninsights.com/in-the-news/march-omnibus-political/,74400,140351,3/24/21,9/21/22 17:05
All polls,2/15/21,2/17/21,Morning Consult,B,13794,rv,0.04353759,0,45,41,44.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80134,160569,9/8/22,9/21/22 17:05
All polls,2/16/21,2/18/21,Morning Consult,B,13371,rv,0.04260144,0,45,41,44.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80135,160570,9/8/22,9/21/22 17:05
All polls,2/17/21,2/19/21,Morning Consult,B,12952,rv,0.04168828,0,45,40,44.294695,40.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80136,160571,9/8/22,9/21/22 17:05
All polls,2/18/21,2/20/21,Morning Consult,B,12907,rv,0.04127394,0,45,40,44.294695,40.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80137,160572,9/8/22,9/21/22 17:05
All polls,2/19/21,2/21/21,Morning Consult,B,13504,rv,0.04168147,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80138,160573,9/8/22,9/21/22 17:05
All polls,2/20/21,2/22/21,Morning Consult,B,13182,rv,0.04095463,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80139,160574,9/8/22,9/21/22 17:05
All polls,2/18/21,2/23/21,GQR,B,1000,rv,1.1342245,0,47.666667,42.333333,45.450804,40.60782,*,,https://democracycorps.com/national-surveys/new-democracy-corps-national-phone-poll-fixed-to-accommodate-trumps-right-wing-populism/,74469,140128,3/10/21,9/21/22 17:05
All polls,2/21/21,2/23/21,Morning Consult,B,12503,rv,0.03979265,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80140,160575,9/8/22,9/21/22 17:05
All polls,2/22/21,2/24/21,Morning Consult,B,11559,rv,0.03828057,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80141,160576,9/8/22,9/21/22 17:05
All polls,2/23/21,2/25/21,Morning Consult,B,11741,rv,0.03824922,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80142,160577,9/8/22,9/21/22 17:05
All polls,2/22/21,2/25/21,NRSC,,1200,lv,1.055869,0,39,38,40.675874,39.045721,,,https://static.politico.com/46/bc/107f15c4455fb427632f492b4deb/nrsc-national-survey.pdf,74745,140879,4/30/21,9/21/22 17:05
All polls,2/24/21,2/26/21,Morning Consult,B,11923,rv,0.03822439,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80143,160578,9/8/22,9/21/22 17:05
All polls,2/25/21,2/27/21,Morning Consult,B,12437,rv,0.03862195,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80144,160579,9/8/22,9/21/22 17:05
All polls,2/24/21,2/28/21,McLaughlin & Associates,C/D,1000,lv,0.43376534,0,46,46,45.091421,43.108536,,,https://mclaughlinonline.com/pols/wp-content/uploads/2021/03/National-Monthly-For-Release-3-03-21.pdf,74444,140041,3/3/21,9/21/22 17:05
All polls,2/26/21,2/28/21,Léger,B/C,1002,a,0.96294561,0,39,31,42.071505,35.962689,,,https://leger360.com/wp-content/uploads/2021/03/Legers-North-American-Tracker-March-1st-2021-min.pdf,74438,139992,3/2/21,9/21/22 17:05
All polls,2/26/21,2/28/21,Morning Consult,B,13831,rv,0.04004714,0,45,41,44.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80145,160580,9/8/22,9/21/22 17:05
All polls,2/27/21,3/1/21,Morning Consult,B,13816,rv,0.03979168,0,45,41,44.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80146,160581,9/8/22,9/21/22 17:05
All polls,2/28/21,3/2/21,Morning Consult,B,13534,rv,0.03924125,0,45,41,44.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80147,160582,9/8/22,9/21/22 17:05
All polls,3/1/21,3/3/21,Morning Consult,B,12209,rv,0.03745368,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80148,160583,9/8/22,9/21/22 17:05
All polls,3/2/21,3/4/21,Morning Consult,B,12296,rv,0.03736649,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80149,160584,9/8/22,9/21/22 17:05
All polls,3/3/21,3/5/21,Morning Consult,B,10984,rv,0.03554164,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80150,160585,9/8/22,9/21/22 17:05
All polls,3/4/21,3/6/21,Morning Consult,B,11291,rv,0.03576664,0,44,42,43.294695,42.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80151,160586,9/8/22,9/21/22 17:05
All polls,3/5/21,3/7/21,Morning Consult,B,12631,rv,0.03724019,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80152,160587,9/8/22,9/21/22 17:05
All polls,3/6/21,3/8/21,Morning Consult,B,13701,rv,0.03830858,0,45,41,44.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80153,160588,9/8/22,9/21/22 17:05
All polls,3/7/21,3/9/21,Morning Consult,B,13677,rv,0.03812963,0,45,41,44.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80154,160589,9/8/22,9/21/22 17:05
All polls,3/8/21,3/10/21,Morning Consult,B,12090,rv,0.03615918,0,45,41,44.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80155,160590,9/8/22,9/21/22 17:05
All polls,3/9/21,3/11/21,Morning Consult,B,11821,rv,0.0357102,0,45,41,44.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80156,160591,9/8/22,9/21/22 17:05
All polls,3/10/21,3/12/21,Morning Consult,B,11158,rv,0.03478128,0,45,41,44.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80157,160592,9/8/22,9/21/22 17:05
All polls,3/11/21,3/13/21,Morning Consult,B,11602,rv,0.03522077,0,45,41,44.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80158,160593,9/8/22,9/21/22 17:05
All polls,3/12/21,3/14/21,Morning Consult,B,13018,rv,0.03677706,0,45,41,44.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80159,160594,9/8/22,9/21/22 17:05
All polls,3/13/21,3/15/21,Morning Consult,B,13400,rv,0.03710904,0,45,41,44.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80160,160595,9/8/22,9/21/22 17:05
All polls,3/14/21,3/16/21,Morning Consult,B,12968,rv,0.03654031,0,45,41,44.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80161,160596,9/8/22,9/21/22 17:05
All polls,3/15/21,3/17/21,Morning Consult,B,11448,rv,0.03468418,0,45,40,44.294695,40.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80162,160597,9/8/22,9/21/22 17:05
All polls,3/16/21,3/18/21,Morning Consult,B,11162,rv,0.03425902,0,44,40,43.294695,40.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80163,160598,9/8/22,9/21/22 17:05
All polls,3/17/21,3/19/21,Morning Consult,B,10329,rv,0.03314035,0,44,40,43.294695,40.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80164,160599,9/8/22,9/21/22 17:05
All polls,3/15/21,3/21/21,Echelon Insights,B/C,1008,rv,0.62552506,0,46,42,43.833042,41.682706,,,https://echeloninsights.com/in-the-news/march-omnibus-political/,74557,140352,3/24/21,9/21/22 17:05
All polls,3/18/21,3/20/21,Morning Consult,B,10142,rv,0.03282791,0,44,40,43.294695,40.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80165,160600,9/8/22,9/21/22 17:05
All polls,3/19/21,3/21/21,Morning Consult,B,10150,rv,0.03276729,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80166,160601,9/8/22,9/21/22 17:05
All polls,3/20/21,3/22/21,Morning Consult,B,10170,rv,0.03272222,0,45,41,44.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80167,160602,9/8/22,9/21/22 17:05
All polls,3/21/21,3/23/21,Morning Consult,B,9274,rv,0.03146894,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80168,160603,9/8/22,9/21/22 17:05
All polls,3/22/21,3/24/21,Morning Consult,B,9265,rv,0.03138846,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80169,160604,9/8/22,9/21/22 17:05
All polls,3/23/21,3/25/21,Morning Consult,B,10020,rv,0.0323168,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80170,160605,9/8/22,9/21/22 17:05
All polls,3/24/21,3/26/21,Morning Consult,B,10918,rv,0.03337217,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80171,160606,9/8/22,9/21/22 17:05
All polls,3/25/21,3/27/21,Morning Consult,B,11153,rv,0.03358391,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80173,160608,9/8/22,9/21/22 17:05
All polls,3/26/21,3/28/21,Morning Consult,B,12000,rv,0.03450622,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80174,160609,9/8/22,9/21/22 17:05
All polls,3/27/21,3/29/21,Morning Consult,B,12176,rv,0.03463274,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80175,160610,9/8/22,9/21/22 17:05
All polls,3/28/21,3/30/21,Morning Consult,B,12460,rv,0.03487893,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80176,160611,9/8/22,9/21/22 17:05
All polls,3/29/21,3/31/21,Morning Consult,B,12337,rv,0.03466794,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80177,160612,9/8/22,9/21/22 17:05
All polls,3/30/21,4/1/21,Morning Consult,B,12632,rv,0.03492494,0,43,41,42.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80178,160613,9/8/22,9/21/22 17:05
All polls,3/31/21,4/2/21,Morning Consult,B,12465,rv,0.03466887,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80179,160614,9/8/22,9/21/22 17:05
All polls,4/1/21,4/3/21,Morning Consult,B,12400,rv,0.03452681,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80180,160615,9/8/22,9/21/22 17:05
All polls,4/2/21,4/4/21,Morning Consult,B,13597,rv,0.0357519,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80181,160616,9/8/22,9/21/22 17:05
All polls,4/3/21,4/5/21,Morning Consult,B,13900,rv,0.03599828,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80182,160617,9/8/22,9/21/22 17:05
All polls,4/4/21,4/6/21,Morning Consult,B,13727,rv,0.03575051,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80183,160618,9/8/22,9/21/22 17:05
All polls,4/3/21,4/7/21,PEM Management Corporation,,1000,lv,0.69027885,0,39.8,42.7,41.204692,42.15424,,,https://boltonsuperpac.com/pdfs/crostabs_04202021.pdf,74681,140689,4/20/21,9/21/22 17:05
All polls,4/5/21,4/7/21,Morning Consult,B,12070,rv,0.03389485,0,44,40,43.294695,40.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80184,160619,9/8/22,9/21/22 17:05
All polls,4/6/21,4/8/21,Morning Consult,B,11161,rv,0.03278995,0,44,40,43.294695,40.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80185,160620,9/8/22,9/21/22 17:05
All polls,4/7/21,4/9/21,Morning Consult,B,10142,rv,0.03150049,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80186,160621,9/8/22,9/21/22 17:05
All polls,4/7/21,4/11/21,The Winston Group,A/B,1000,rv,1.215059,0,45,41,44.019456,40.943714,,,https://www.winningtheissues.org/wp-content/uploads/2021/08/Winning-the-Issues-April-2021-National-Survey.pdf,75474,143966,8/6/21,9/21/22 17:05
All polls,4/8/21,4/10/21,Morning Consult,B,10455,rv,0.03182693,0,44,42,43.294695,42.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80187,160622,9/8/22,9/21/22 17:05
All polls,4/9/21,4/11/21,Morning Consult,B,11286,rv,0.03275422,0,44,42,43.294695,42.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80188,160623,9/8/22,9/21/22 17:05
All polls,4/10/21,4/12/21,Morning Consult,B,10410,rv,0.03165329,0,44,42,43.294695,42.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80189,160624,9/8/22,9/21/22 17:05
All polls,4/8/21,4/13/21,McLaughlin & Associates,C/D,1000,lv,0.38265845,0,46,46.4,45.091421,43.508536,,,https://www.ammoland.com/2021/04/new-mclaughlin-poll-strong-2a-support-not-so-much-for-exec-orders/#axzz6sCmt62BU,74665,140646,4/16/21,9/21/22 17:05
All polls,4/11/21,4/13/21,Morning Consult,B,9686,rv,0.03069596,0,43,41,42.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80190,160625,9/8/22,9/21/22 17:05
All polls,4/12/21,4/14/21,Morning Consult,B,8645,rv,0.02927577,0,43,41,42.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80191,160626,9/8/22,9/21/22 17:05
All polls,4/13/21,4/15/21,Morning Consult,B,10660,rv,0.03177376,0,43,41,42.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80192,160627,9/8/22,9/21/22 17:05
All polls,4/12/21,4/16/21,Ipsos,B-,4423,a,1.2202031,0,39,31,44.185323,38.479643,,,https://www.ipsos.com/sites/default/files/ct/news/documents/2021-05/Reuters%20Ipsos%20Large%20Issue%20Poll%20%232%20Topline%20%20Write-up%20-%20Biden%20100%20Days%20-%2012%20April%20thru%2016%20April%202021.pdf,74812,142388,5/19/21,9/21/22 17:05
All polls,4/14/21,4/16/21,Morning Consult,B,10855,rv,0.03194314,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80193,160628,9/8/22,9/21/22 17:05
All polls,4/15/21,4/17/21,RMG Research,B-,1200,rv,0.70755667,0,43,39,45.025037,40.475264,,,https://scottrasmussen.com/generic-congressional-ballot-democrats-43-republicans-39/,74673,140667,4/19/21,9/21/22 17:05
All polls,4/15/21,4/17/21,Morning Consult,B,11220,rv,0.03230584,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80194,160629,9/8/22,9/21/22 17:05
All polls,4/16/21,4/18/21,Morning Consult,B,11528,rv,0.03259481,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80195,160630,9/8/22,9/21/22 17:05
All polls,4/15/21,4/20/21,Change Research,B-,1025,rv,0.96605047,0,48,43,46.046059,42.171307,,,https://twitter.com/ChangePolls/status/1388132970536505344,74730,140873,4/30/21,9/21/22 17:05
All polls,4/17/21,4/19/21,Morning Consult,B,11973,rv,0.03302947,0,43,41,42.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80196,160631,9/8/22,9/21/22 17:05
All polls,4/17/21,4/20/21,Hart Research Associates/Public Opinion Strategies,B+,790,rv,1.1016758,0,47,42,46.329633,41.086358,,,https://www.documentcloud.org/documents/20690434-210098-nbc-news-april-poll-4-25-21-release,74703,140773,4/26/21,9/21/22 17:05
All polls,4/17/21,4/20/21,YouGov,B+,1168,rv,0.49856941,0,45,37,44.925035,40.969114,,,https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention,74683,144500,8/26/21,9/21/22 17:05
All polls,4/18/21,4/20/21,Morning Consult,B,11663,rv,0.03262356,0,43,41,42.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80197,160632,9/8/22,9/21/22 17:05
All polls,4/19/21,4/21/21,Morning Consult,B,10473,rv,0.03119128,0,43,42,42.294695,42.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80198,160633,9/8/22,9/21/22 17:05
All polls,4/16/21,4/23/21,Echelon Insights,B/C,1043,rv,0.58723229,0,46,42,43.833042,41.682706,,,https://echeloninsights.com/in-the-news/april-omnibus-political/,74731,140848,4/28/21,9/21/22 17:05
All polls,4/20/21,4/22/21,Morning Consult,B,10356,rv,0.03099408,0,43,41,42.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80199,160634,9/8/22,9/21/22 17:05
All polls,4/21/21,4/23/21,Morning Consult,B,10988,rv,0.03167825,0,43,41,42.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80200,160635,9/8/22,9/21/22 17:05
All polls,4/21/21,4/23/21,YouGov,B+,1000,a,0.45067816,0,45,38,44.925035,41.969114,,,https://polsci.umass.edu/toplines-and-crosstabs-april-2021-election-reform,74708,140862,4/29/21,9/21/22 17:05
All polls,4/22/21,4/24/21,Morning Consult,B,12290,rv,0.03306784,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80201,160636,9/8/22,9/21/22 17:05
All polls,4/23/21,4/25/21,Morning Consult,B,13939,rv,0.03471166,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80202,160637,9/8/22,9/21/22 17:05
All polls,4/24/21,4/26/21,Morning Consult,B,14804,rv,0.03549408,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80203,160638,9/8/22,9/21/22 17:05
All polls,4/24/21,4/27/21,YouGov,B+,1138,rv,0.45442482,0,43,38,42.925035,41.969114,,,https://today.yougov.com/topics/politics/trackers/congressional-ballot-voting-intention,75771,144501,8/26/21,9/21/22 17:05
All polls,4/25/21,4/27/21,Morning Consult,B,13804,rv,0.03445542,0,43,41,42.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80204,160639,9/8/22,9/21/22 17:05
All polls,4/26/21,4/28/21,Morning Consult,B,12661,rv,0.03322948,0,43,41,42.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80205,160640,9/8/22,9/21/22 17:05
All polls,4/27/21,4/29/21,Morning Consult,B,12856,rv,0.03337949,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80206,160641,9/8/22,9/21/22 17:05
All polls,4/28/21,4/30/21,Morning Consult,B,12503,rv,0.03295787,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80207,160642,9/8/22,9/21/22 17:05
All polls,4/29/21,5/1/21,Morning Consult,B,12884,rv,0.03330415,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80208,160643,9/8/22,9/21/22 17:05
All polls,4/30/21,5/2/21,Morning Consult,B,12945,rv,0.03331612,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80209,160644,9/8/22,9/21/22 17:05
All polls,5/1/21,5/3/21,Morning Consult,B,13286,rv,0.03361412,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80210,160645,9/8/22,9/21/22 17:05
All polls,5/2/21,5/4/21,Morning Consult,B,13049,rv,0.03332454,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80211,160646,9/8/22,9/21/22 17:05
All polls,5/3/21,5/5/21,Morning Consult,B,12338,rv,0.03254031,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80212,160647,9/8/22,9/21/22 17:05
All polls,5/4/21,5/6/21,Morning Consult,B,13534,rv,0.03372089,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80213,160648,9/8/22,9/21/22 17:05
All polls,5/5/21,5/7/21,Morning Consult,B,13755,rv,0.03389412,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80214,160649,9/8/22,9/21/22 17:05
All polls,5/6/21,5/8/21,Morning Consult,B,13407,rv,0.03350324,0,44,41,43.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80215,160650,9/8/22,9/21/22 17:05
All polls,5/6/21,5/8/21,RMG Research,B-,1000,rv,0.59655219,0,41,40,43.025037,41.475264,,,https://scottrasmussen.com/generic-congressional-ballot-democrats-41-republican-40/,74803,142337,5/13/21,9/21/22 17:05
All polls,5/5/21,5/9/21,Cygnal,B+,1030,a,1.2530866,0,43.9,41.4,42.653574,39.722658,,,https://projects.fivethirtyeight.com/polls/20210525_US_Cygnal.pdf,74847,142547,5/25/21,9/21/22 17:05
All polls,5/7/21,5/9/21,Morning Consult,B,13324,rv,0.03337488,0,45,41,44.294695,41.933681,,T,https://morningconsult.com/2022-midterm-elections-tracker/,80216,160651,9/8/22,9/21/22 17:05
